feature_set,split_seed,endpoint,threshold,n_rows,n_ligands,n_ecfp_clusters,n_superclusters,n_rows_unknown_similarity,macro_mae_ligand,pooled_mae,offset_mae,shape_mae,shape_r2,median_ligand_mae,worst_quartile_ligand_mae,frac_within_1_log,frac_within_0_5_log,rank_spearman,sign_accuracy,macro_mae,n_eff_pooled_rows,n_macro_units,arm
MC_lig2d_ext_massaction,104729,nn<0.4,0.4,494,33,33,32,0,1.550176629533823,1.4538658291291846,1.432953387176549,0.43890855337256507,0.03316357532029579,1.3721894875676435,2.7433773553302365,0.34615384615384615,0.1862348178137652,0.05306373062489987,0.7233691756272401,1.550176629533823,4.308697341007804,33,BASE
MC_lig2d_ext_massaction,104729,nn<0.6,0.6,1942,94,88,57,0,1.3829285641263527,1.31279036340111,1.237797666429521,0.5536496094768797,0.19836050596020416,1.2519566117499603,2.490750103944712,0.4624098867147271,0.23583934088568487,0.24210055312019998,0.721813077123851,1.3898273764034572,12.395690357865952,88,BASE
MC_lig2d_ext_massaction,104729,all,,5248,152,131,79,0,1.224951812714296,1.2233552011535398,1.0746781133169245,0.5246169129537591,0.19176569359016205,1.0932571391811208,2.3136159142098918,0.4794207317073171,0.2541920731707317,0.31484848981027264,0.6478071952175638,1.215066251232834,6.256051615740402,131,BASE
MC_lig2d_ext_massaction,104729,nn<0.4,0.4,494,33,33,32,0,1.0571622261934694,1.2222512999238526,0.9868948104250981,0.35642932488422246,0.053139254662459945,0.9130112070817241,2.2685930566295713,0.46153846153846156,0.2874493927125506,0.5277897249150709,0.6129749103942652,1.0571622261934692,4.308697341007804,33,EXPANDED
MC_lig2d_ext_massaction,104729,nn<0.6,0.6,1942,94,88,57,0,1.2065109863652133,1.3015974449511973,1.0840819430695063,0.514700091319213,0.172200388261737,1.057059990419321,2.442450677861295,0.4747682801235839,0.26416065911431513,0.4945514931687292,0.695895851409787,1.1923130806307372,12.395690357865952,88,EXPANDED
MC_lig2d_ext_massaction,104729,all,,5248,152,131,79,0,1.0933248355060428,1.216071973005593,0.9545065511849318,0.5045959596717603,0.151209178146141,0.9568164685680207,2.193954980605317,0.4811356707317073,0.27534298780487804,0.46917535277233374,0.6232512568968387,1.076079507943977,6.256051615740402,131,EXPANDED
MC_lig2d_ext_massaction,104729,nn<0.4,0.4,494,33,33,32,0,1.0556838469005392,1.2241155143561913,0.9708505069741699,0.3591199915464818,0.053805691042392856,0.8655073362282577,2.2037968311157963,0.4534412955465587,0.2651821862348178,0.4761205627177554,0.616505376344086,1.0556838469005394,4.308697341007804,33,EXPANDED_ROWMATCHED
MC_lig2d_ext_massaction,104729,nn<0.6,0.6,1942,94,88,57,0,1.2027778990855627,1.2731833003342954,1.0693959526071102,0.5219010016253197,0.16384009825336576,1.0856849241249378,2.3779658896526468,0.49433573635427397,0.2610710607621009,0.4526439754885556,0.68645024301808,1.1892678043368465,12.395690357865952,88,EXPANDED_ROWMATCHED
MC_lig2d_ext_massaction,104729,all,,5248,152,131,79,0,1.0935778215980259,1.193325125088486,0.9451278253538138,0.5095897729105513,0.14194555168271894,0.960490371255157,2.1533776676852403,0.49352134146341464,0.2740091463414634,0.45824063453856345,0.6126674684846791,1.0770443625989592,6.256051615740402,131,EXPANDED_ROWMATCHED
MC_lig2d_ext_massaction,104729,nn<0.4,0.4,494,33,33,32,0,1.6038169818764478,1.5645828184629174,1.540267955409361,0.41456414012531634,0.0626331814225719,1.583776956915184,2.795688518801621,0.3360323886639676,0.17408906882591094,0.1541471810214078,0.7098207885304659,1.603816981876448,4.308697341007804,33,EXPANDED_SHUFFLED
MC_lig2d_ext_massaction,104729,nn<0.6,0.6,1942,94,88,57,0,1.3859927142734343,1.3805355950475697,1.2600983987807437,0.5440503468253424,0.1476027059760766,1.2153269832367355,2.528070443250567,0.44181256436663235,0.2255406797116375,0.33247626565798216,0.7202082407466193,1.3866146404383703,12.395690357865952,88,EXPANDED_SHUFFLED
MC_lig2d_ext_massaction,104729,all,,5248,152,131,79,0,1.2169917597470503,1.2372964747032564,1.0713135915397114,0.5323350022140344,0.15743353781789549,1.0362603550298237,2.3002101711512366,0.47884908536585363,0.25209603658536583,0.34510256534890754,0.6274393428860633,1.2115481084687412,6.256051615740402,131,EXPANDED_SHUFFLED
