feature_set,endpoint,kind,units,gain,units_improved
MC_lig2d_ext_massaction,all,BASE-eligible only,72.0,-0.021540517114389517,0.4027777777777778
MC_lig2d_ext_massaction,all,added chemistry only,57.0,0.35389241456646775,0.7017543859649122
MC_lig2d_ext_massaction,all,mixed,2.0,-0.20684351360617048,0.0
MC_lig2d_ext_massaction,nn<0.4,BASE-eligible only,7.0,0.24016211456035533,0.7142857142857143
MC_lig2d_ext_massaction,nn<0.4,added chemistry only,26.0,0.5610900195503532,0.7307692307692307
