comparison,reference,candidate,stratum,n_extractants,n_pairs,macro_delta_mae,median_delta_mae,extractants_improved,fraction_improved,ci95_low,ci95_high
A2_vs_A0,A2,A0,all,34,6699,-0.31920442041437075,-0.2583693459062024,8,0.23529411764705882,-0.48556244949564187,-0.16856677348650995
A2_vs_A0,A2,A0,max_train_tanimoto_lt_0.9,28,3274,-0.3072384105355294,-0.26087729539433424,7,0.25,-0.47250314075938005,-0.14547916606748906
A2_vs_A0,A2,A0,max_train_tanimoto_ge_0.9,6,3425,-0.3750457998489638,-0.23079400128705832,1,0.16666666666666666,-0.8310563897601054,0.03823079773332255
A2_vs_A0,A2,A0,max_train_tanimoto_lt_0.8,20,2075,-0.24593649097108203,-0.23269495689062233,5,0.25,-0.4259819217644784,-0.06057323725544394
A2_vs_A0,A2,A0,max_train_tanimoto_ge_0.8,14,4624,-0.4238728910476404,-0.28492415217845324,3,0.21428571428571427,-0.6850332364411156,-0.14351530692469355
A2_vs_A0,A2,A0,max_train_tanimoto_lt_0.7,15,1637,-0.1754379289209032,-0.09928802536158132,5,0.3333333333333333,-0.3871180761783695,0.03332714710558326
A2_vs_A0,A2,A0,max_train_tanimoto_ge_0.7,19,5062,-0.43270428211973994,-0.3109940760973069,3,0.15789473684210525,-0.6259043867138834,-0.2266643593977742
A2_vs_A1,A2,A1,all,34,6699,-0.028906438849493184,-0.011480897263167686,12,0.35294117647058826,-0.06374076948115673,0.0043749847434947035
A2_vs_A1,A2,A1,max_train_tanimoto_lt_0.9,28,3274,-0.021742713235216943,-0.011480897263167686,10,0.35714285714285715,-0.05393024649322722,0.01440992611100514
A2_vs_A1,A2,A1,max_train_tanimoto_ge_0.9,6,3425,-0.0623371583827823,-0.06418552022644847,2,0.3333333333333333,-0.14700591596548315,0.02471894832331929
A2_vs_A1,A2,A1,max_train_tanimoto_lt_0.8,20,2075,-0.013427885988392469,-0.005141389971807492,8,0.4,-0.06052814030346209,0.03640336888815321
A2_vs_A1,A2,A1,max_train_tanimoto_ge_0.8,14,4624,-0.051018657222494206,-0.036607697044071685,4,0.2857142857142857,-0.0985989258497071,-0.009076072573772666
A2_vs_A1,A2,A1,max_train_tanimoto_lt_0.7,15,1637,-0.013799942999720139,-0.014792948972172898,6,0.4,-0.07182715962919489,0.04554783776371781
A2_vs_A1,A2,A1,max_train_tanimoto_ge_0.7,19,5062,-0.04083261978352454,-0.007758093270353553,6,0.3157894736842105,-0.07857552986090678,-0.00659823900769766
A2_vs_A3,A2,A3,all,34,6699,-0.046066420841176674,-0.02599878304744138,10,0.29411764705882354,-0.079558356809571,-0.01620717865926284
A2_vs_A3,A2,A3,max_train_tanimoto_lt_0.9,28,3274,-0.04090589889693541,-0.0246651442516422,9,0.32142857142857145,-0.07296633251861881,-0.007674829534925131
A2_vs_A3,A2,A3,max_train_tanimoto_ge_0.9,6,3425,-0.0701488565809692,-0.07292815698650246,1,0.16666666666666666,-0.15887976581860597,0.026761449471161356
A2_vs_A3,A2,A3,max_train_tanimoto_lt_0.8,20,2075,-0.03600702701657424,-0.02401004397204662,8,0.4,-0.0771019705957634,0.00649148960846167
A2_vs_A3,A2,A3,max_train_tanimoto_ge_0.8,14,4624,-0.06043698344775157,-0.02599878304744138,2,0.14285714285714285,-0.10626032536503781,-0.01666744640222075
A2_vs_A3,A2,A3,max_train_tanimoto_lt_0.7,15,1637,-0.0380959881849127,-0.009417724355937712,6,0.4,-0.09243220589025393,0.015552600720547975
A2_vs_A3,A2,A3,max_train_tanimoto_ge_0.7,19,5062,-0.052358867675069275,-0.033224748730348905,4,0.21052631578947367,-0.0889668416700435,-0.013054041886668283
A2_vs_A4,A2,A4,all,34,6699,-0.011049455678685373,-0.008136784873458043,13,0.38235294117647056,-0.022532110769011213,-0.00034612650623311666
A2_vs_A4,A2,A4,max_train_tanimoto_lt_0.9,28,3274,-0.010258533300863052,-0.008136784873458043,11,0.39285714285714285,-0.02350205671421299,0.0030797579534949894
A2_vs_A4,A2,A4,max_train_tanimoto_ge_0.9,6,3425,-0.014740426775189547,-0.013764928522778108,2,0.3333333333333333,-0.03221941931764305,0.0009783370880060243
A2_vs_A4,A2,A4,max_train_tanimoto_lt_0.8,20,2075,-0.0058412141446791506,0.0004960445590111301,10,0.5,-0.02326496216550978,0.00987527667036413
A2_vs_A4,A2,A4,max_train_tanimoto_ge_0.8,14,4624,-0.018489800727265693,-0.010345889623304488,3,0.21428571428571427,-0.031096470529331097,-0.007577405418184604
A2_vs_A4,A2,A4,max_train_tanimoto_lt_0.7,15,1637,-0.009137832746299764,-0.0001697853676649319,7,0.4666666666666667,-0.03048939053175956,0.010547184041178723
A2_vs_A4,A2,A4,max_train_tanimoto_ge_0.7,19,5062,-0.01255863167793717,-0.009326962597919708,6,0.3157894736842105,-0.023392773515509016,-0.0024894801500818476
A2_vs_A5,A2,A5,all,34,6699,-0.013233140567472473,-0.007525403680672255,14,0.4117647058823529,-0.023136178065321204,-0.0035949197909566676
A2_vs_A5,A2,A5,max_train_tanimoto_lt_0.9,28,3274,-0.012829421436873554,-0.004484009278555287,12,0.42857142857142855,-0.023446406867786134,-0.0029791705608367535
A2_vs_A5,A2,A5,max_train_tanimoto_ge_0.9,6,3425,-0.015117163176934095,-0.023397371716400606,2,0.3333333333333333,-0.038267087555719836,0.011045236397146201
