comparison,reference,candidate,point_delta_mae,ci95_low,ci95_high,p_candidate_better,extractants_improved,extractants_total,bootstrap_replicates,bootstrap_seed,bootstrap_unit,positive_delta_means_improvement,multiplicity_preserved
A2_current_champion_vs_H1_CATBOOST_NONE_RMSE,A2_current_champion,H1_CATBOOST_NONE_RMSE,-0.018066923282157116,-0.041961493127354345,0.004432412680246474,0.0587,16,34,10000,8805714,extractant,True,True
A2_current_champion_vs_H1_CATBOOST_NONE_MAE,A2_current_champion,H1_CATBOOST_NONE_MAE,-0.01994373017362303,-0.040407511760404136,-0.00013407075593542734,0.024,14,34,10000,8805714,extractant,True,True
A2_current_champion_vs_H1_CATBOOST_NONE_HUBER,A2_current_champion,H1_CATBOOST_NONE_HUBER,-0.028746750714745965,-0.05879496389429462,-0.0036740843864970034,0.0114,12,34,10000,8805714,extractant,True,True
A2_current_champion_vs_H1_CATBOOST_GROUP_SQRT_RMSE,A2_current_champion,H1_CATBOOST_GROUP_SQRT_RMSE,-0.023764336441919318,-0.04590818331192703,-0.002476890848635976,0.0143,11,34,10000,8805714,extractant,True,True
A2_current_champion_vs_H1_CATBOOST_GROUP_SQRT_MAE,A2_current_champion,H1_CATBOOST_GROUP_SQRT_MAE,-0.029313702423937424,-0.05679487633182001,-0.0024176822725013552,0.0157,16,34,10000,8805714,extractant,True,True
A2_current_champion_vs_H1_CATBOOST_GROUP_SQRT_HUBER,A2_current_champion,H1_CATBOOST_GROUP_SQRT_HUBER,-0.011026283660887936,-0.03722530304659008,0.014573036079598214,0.207,13,34,10000,8805714,extractant,True,True
A2_current_champion_vs_H1_CATBOOST_GROUP_EQUAL_RMSE,A2_current_champion,H1_CATBOOST_GROUP_EQUAL_RMSE,-0.028739751575377698,-0.05417598509147038,-0.0032172051767996907,0.0127,12,34,10000,8805714,extractant,True,True
A2_current_champion_vs_H1_CATBOOST_GROUP_EQUAL_MAE,A2_current_champion,H1_CATBOOST_GROUP_EQUAL_MAE,-0.018662178008618982,-0.04556081829309808,0.007408453810398312,0.0816,15,34,10000,8805714,extractant,True,True
A2_current_champion_vs_H1_CATBOOST_GROUP_EQUAL_HUBER,A2_current_champion,H1_CATBOOST_GROUP_EQUAL_HUBER,-0.0380452624342652,-0.06981696266914902,-0.009325800555179403,0.0041,9,34,10000,8805714,extractant,True,True
A2_current_champion_vs_H2_E3_RAW_REAL,A2_current_champion,H2_E3_RAW_REAL,-0.0067889795085811135,-0.024352912928799812,0.010131456099204144,0.2225,17,34,10000,8805714,extractant,True,True
A2_current_champion_vs_H2_E3_RAW_SHUFFLED,A2_current_champion,H2_E3_RAW_SHUFFLED,-0.006885388512533468,-0.02455229828116142,0.010270948913313534,0.2198,17,34,10000,8805714,extractant,True,True
A2_current_champion_vs_H2_E3_COMPACT_REAL,A2_current_champion,H2_E3_COMPACT_REAL,-0.006780283310107061,-0.024355338013042675,0.01014103241436077,0.2238,17,34,10000,8805714,extractant,True,True
A2_current_champion_vs_H2_E3_COMPACT_SHUFFLED,A2_current_champion,H2_E3_COMPACT_SHUFFLED,-0.007058989950131199,-0.02486670784225097,0.010183625300368275,0.2158,17,34,10000,8805714,extractant,True,True
A2_current_champion_vs_H2_E3_STABLE_REAL,A2_current_champion,H2_E3_STABLE_REAL,-0.008781473675162209,-0.025910482617204307,0.00759714510157041,0.1538,16,34,10000,8805714,extractant,True,True
A2_current_champion_vs_H2_E3_STABLE_SHUFFLED,A2_current_champion,H2_E3_STABLE_SHUFFLED,-0.00685769785048892,-0.024522219262430138,0.010113779355103433,0.2223,17,34,10000,8805714,extractant,True,True
A2_current_champion_vs_H3_A2,A2_current_champion,H3_A2,-0.0635946865334254,-0.12028498357989463,-0.010565021522690937,0.0085,10,34,10000,8805714,extractant,True,True
A2_current_champion_vs_H3_A2_ELEC,A2_current_champion,H3_A2_ELEC,-0.07292308443302087,-0.12413058024960946,-0.026580726922195468,0.0006,7,34,10000,8805714,extractant,True,True
A2_current_champion_vs_H3_A2_LABEL_SHUFFLED,A2_current_champion,H3_A2_LABEL_SHUFFLED,-0.09771185865758097,-0.15834646596914426,-0.03850752291679033,0.0005,12,34,10000,8805714,extractant,True,True
A2_current_champion_vs_H3_A2_ELEC_LABEL_SHUFFLED,A2_current_champion,H3_A2_ELEC_LABEL_SHUFFLED,-0.10973148297822846,-0.17237212779694516,-0.04923081455559556,0.0001,11,34,10000,8805714,extractant,True,True
H2_E3_RAW_SHUFFLED_vs_H2_E3_RAW_REAL,H2_E3_RAW_SHUFFLED,H2_E3_RAW_REAL,9.640900395235634e-05,-0.0013103372682397416,0.0016504799835441249,0.54,6,34,10000,8805714,extractant,True,True
H2_E3_COMPACT_SHUFFLED_vs_H2_E3_COMPACT_REAL,H2_E3_COMPACT_SHUFFLED,H2_E3_COMPACT_REAL,0.0002787066400241398,-0.001161052608498716,0.0018558469313209192,0.6333,11,34,10000,8805714,extractant,True,True
H2_E3_STABLE_SHUFFLED_vs_H2_E3_STABLE_REAL,H2_E3_STABLE_SHUFFLED,H2_E3_STABLE_REAL,-0.0019237758246732856,-0.005312625179292825,0.0005279230344006863,0.0964,15,34,10000,8805714,extractant,True,True
H3_A2_LABEL_SHUFFLED_vs_H3_A2,H3_A2_LABEL_SHUFFLED,H3_A2,0.03411717212415556,-0.04522037371254645,0.10951056951466152,0.8049,19,34,10000,8805714,extractant,True,True
H3_A2_ELEC_LABEL_SHUFFLED_vs_H3_A2_ELEC,H3_A2_ELEC_LABEL_SHUFFLED,H3_A2_ELEC,0.0368083985452076,-0.03083591518391872,0.10237890630365161,0.861,21,34,10000,8805714,extractant,True,True
