outer_fold,arm,candidate_index,inner_macro_mae,inner_mae,inner_r2,max_features,min_samples_leaf,selected,search_phase,weighting_scheme,loss_name,loss_function,depth,learning_rate,l2_leaf_reg,iterations,random_strength,bagging_temperature,rsm,phase_selected,correction_kind,correction_parameters,lambda,parameters,mean_epochs_trained
0,A2_current_champion,0,0.3610961912910971,0.3704746488946929,0.4894361033949459,0.35,2.0,True,,,,,,,,,,,,,,,,,
0,A2_current_champion,1,0.36956065376857267,0.3828589229676048,0.43743190963387146,0.7,2.0,False,,,,,,,,,,,,,,,,,
0,A2_current_champion,2,0.3955454814368327,0.41133863818299776,0.36192057968986036,1.0,4.0,False,,,,,,,,,,,,,,,,,
0,H1_CATBOOST_NONE_RMSE,0,0.37953929436211425,,,,,False,screening,none,rmse,RMSE,4.0,0.1,3.0,500.0,0.5,0.0,1.0,False,,,,,
0,H1_CATBOOST_NONE_RMSE,1,0.36508415066544986,,,,,False,screening,none,rmse,RMSE,6.0,0.05,3.0,1200.0,1.0,1.0,0.7,True,,,,,
0,H1_CATBOOST_NONE_RMSE,0,0.3407442203933126,,,,,True,expanded,none,rmse,RMSE,8.0,0.025,30.0,2000.0,2.0,1.0,0.7,True,,,,,
0,H1_CATBOOST_NONE_RMSE,1,0.3523089958651901,,,,,False,expanded,none,rmse,RMSE,9.0,0.01,30.0,3000.0,2.0,2.0,0.5,False,,,,,
0,H1_CATBOOST_NONE_MAE,0,0.418953638312356,,,,,False,screening,none,mae,MAE,4.0,0.1,3.0,500.0,0.5,0.0,1.0,False,,,,,
0,H1_CATBOOST_NONE_MAE,1,0.36659132908565356,,,,,False,screening,none,mae,MAE,6.0,0.05,3.0,1200.0,1.0,1.0,0.7,True,,,,,
0,H1_CATBOOST_NONE_MAE,0,0.35332087320445416,,,,,False,expanded,none,mae,MAE,8.0,0.025,30.0,2000.0,2.0,1.0,0.7,False,,,,,
0,H1_CATBOOST_NONE_MAE,1,0.3511630977485129,,,,,True,expanded,none,mae,MAE,9.0,0.01,30.0,3000.0,2.0,2.0,0.5,True,,,,,
0,H1_CATBOOST_NONE_HUBER,0,0.3958819377974321,,,,,False,screening,none,huber,Huber:delta=1.0,4.0,0.1,3.0,500.0,0.5,0.0,1.0,False,,,,,
0,H1_CATBOOST_NONE_HUBER,1,0.3750809181865623,,,,,True,screening,none,huber,Huber:delta=1.0,6.0,0.05,3.0,1200.0,1.0,1.0,0.7,True,,,,,
