arm,n_rows,n_extractants,equal_extractant_macro_mae,pooled_micro_mae,median_extractant_mae,worst_quartile_extractant_mae,fraction_extractants_improved_vs_A2,extractants_improved_vs_A2,pooled_r2,equal_extractant_macro_r2,median_extractant_r2,extractants_in_r2_metrics,pearson_squared_scale_free,prediction_dispersion_ratio,adjacent_ln_mae,nonadjacent_ln_mae,sign_accuracy,pooled_statistics_are_row_weighted
A2_current_champion,6699,34,0.3103453516775655,0.41585534342754854,0.2677531922768207,0.5507460752989823,0.0,0,0.3293963478164008,-0.8699892750166257,0.5554678416123533,31,0.3745228223634445,0.7411364654736348,0.11872562223929796,0.47302822142763723,0.8475891924167787,True
H1_CATBOOST_NONE_RMSE,6699,34,0.32841227495972264,0.42422225349801657,0.28841604351194017,0.592486576110089,0.47058823529411764,16,0.3023423783994561,-0.9699640511171049,0.5867852559380299,31,0.362192227602708,0.7431774251725995,0.11806015841866462,0.4831331158655458,0.8292282430213465,True
H1_CATBOOST_NONE_MAE,6699,34,0.3302890818511885,0.4196063424688418,0.27159412248051285,0.5764319509758016,0.4117647058823529,14,0.33701498524846885,-0.9396837421757892,0.566496634045657,31,0.378031785264911,0.7212709256572266,0.1162763142009519,0.477972266384397,0.8598298253470668,True
H1_CATBOOST_NONE_HUBER,6699,34,0.3390921023923115,0.4314147245951831,0.2783899428043619,0.600302640704021,0.35294117647058826,12,0.28918336868444483,-1.1424728004860334,0.46707790292736895,31,0.34964230813855995,0.751106860402736,0.12082652685444967,0.49117724537797636,0.825347066726377,True
H1_CATBOOST_GROUP_SQRT_RMSE,6699,34,0.3341096881194848,0.4260204279594004,0.31154602041367463,0.5593157400251181,0.3235294117647059,11,0.30828797875409664,-0.838663910083013,0.5926836905836979,31,0.36009067565412295,0.7229974701859034,0.11725606079109104,0.4854320123148547,0.844752948201224,True
H1_CATBOOST_GROUP_SQRT_MAE,6699,34,0.3396590541015029,0.4308548198702895,0.31628937487513065,0.580288563598429,0.47058823529411764,16,0.3027925391704335,-0.9559724483243539,0.5385654976319919,31,0.3540220388769323,0.7337444467344648,0.12496359289836612,0.4897135625468023,0.8556500970294074,True
H1_CATBOOST_GROUP_SQRT_HUBER,6699,34,0.3213716353384535,0.41782092300037843,0.29319857015695505,0.5570996578936014,0.38235294117647056,13,0.3355411864428667,-0.7829323861445678,0.602092228792547,31,0.38770915950596846,0.7138114648645865,0.12226560919323852,0.47469085789278115,0.8380355276907001,True
H1_CATBOOST_GROUP_EQUAL_RMSE,6699,34,0.3390851032529432,0.4273137605630824,0.3432697203155749,0.540323858759539,0.35294117647058826,12,0.32542392462737024,-0.7848368062009172,0.5163195787188803,31,0.37833497771389935,0.7241136377306927,0.12341226835277093,0.4857896439876724,0.8268398268398268,True
H1_CATBOOST_GROUP_EQUAL_MAE,6699,34,0.3290075296861845,0.41747729645996,0.27996677912257917,0.5725386546884026,0.4411764705882353,15,0.35192318838065195,-0.8827731106260959,0.5541700381020885,31,0.39091336871726223,0.7236743813909196,0.12148060626422631,0.47443215977458947,0.83833407971339,True
H1_CATBOOST_GROUP_EQUAL_HUBER,6699,34,0.3483906141118307,0.421560511063485,0.32285159395176577,0.578111483788294,0.2647058823529412,9,0.34362177824217366,-0.7902505327367905,0.5539184280984074,31,0.3882578349473969,0.7373157318423372,0.1300091739818991,0.47766001184404644,0.8280340349305867,True
H2_E3_RAW_REAL,6699,34,0.3171343311861466,0.4148140876524101,0.28841604351194017,0.5653565706284716,0.5,17,0.35031451784075673,-0.8353762322737232,0.5867852559380299,31,0.3966590296000085,0.7429262113886909,0.12311370950229122,0.4709422665025843,0.8302731751007613,True
H2_E3_RAW_SHUFFLED,6699,34,0.31723074019009895,0.4154234471130126,0.28759862190120267,0.5673072849734385,0.5,17,0.3464643878177065,-0.838767017878899,0.5867852559380299,31,0.3945101606934466,0.7437732083301885,0.12084372982022355,0.4721056604262033,0.8275862068965517,True
H2_E3_COMPACT_REAL,6699,34,0.31712563498767254,0.41490387820495583,0.28841604351194017,0.5658146777059843,0.5,17,0.3484402982301218,-0.8360811038649567,0.5867852559380299,31,0.3952438293165585,0.7439961168452656,0.11996130694974581,0.47165591087261016,0.8281833109419316,True
H2_E3_COMPACT_SHUFFLED,6699,34,0.3174043416276967,0.4150577134858437,0.28695200407441634,0.5681663152162408,0.5,17,0.3472246476759102,-0.8358411765634606,0.5839266965838943,31,0.3949106469264077,0.7426726531469519,0.12086927252597988,0.47166463849075874,0.8308702791461412,True
H2_E3_STABLE_REAL,6699,34,0.31912682535272774,0.41711828846062193,0.2866291449784085,0.5671776477034395,0.47058823529411764,16,0.34282720559219626,-0.8438807696937771,0.5645529792303754,31,0.39091692275398787,0.7413077318777603,0.12118393179860082,0.47406115772933755,0.8280340349305867,True
H2_E3_STABLE_SHUFFLED,6699,34,0.3172030495280544,0.41535072560469927,0.28845778896456764,0.5661408841615988,0.5,17,0.34720287441332864,-0.8360008304013228,0.5866862004679001,31,0.39464288532095976,0.7427319579222424,0.12035053597302452,0.4721138450407691,0.8313181071801762,True
H3_A2,6699,34,0.37394003821099087,0.42081619340335336,0.3300552118257547,0.617032192566025,0.29411764705882354,10,0.33743866701795255,-0.8432420655927487,0.18783084708522324,31,0.39400923216257533,0.7868879988137903,0.12828042131810627,0.47710511644076037,0.858337065233617,True
