outer_fold,selected_stage1_arm,inner_macro_mae,weighting_scheme,loss_name,search_phase,selected_candidate_index
0,H1_CATBOOST_NONE_RMSE,0.3407442203933126,none,rmse,expanded,0
1,H1_CATBOOST_NONE_RMSE,0.3630669238084743,none,rmse,expanded,1
2,H1_CATBOOST_NONE_MAE,0.33488375471519566,none,mae,expanded,1
3,H1_CATBOOST_GROUP_EQUAL_RMSE,0.3561098029430846,group_equal,rmse,expanded,0
4,H1_CATBOOST_NONE_RMSE,0.3197725795386977,none,rmse,expanded,0
