ablation,estimator_kind,outer_fold,candidate_index,inner_fold_count,inner_split_seed,max_features,min_samples_leaf,inner_macro_group_mae,inner_n_rows,inner_mae,inner_rmse,inner_r2,inner_pearson,inner_spearman,selected
A0,forest,0,0,3,104729,0.35,2,0.7225140945164015,5743,0.7156825323305965,1.0078191317850875,-0.7903520895381293,0.0005828434988633124,0.03389317920859568,True
A0,forest,0,1,3,104729,0.7,2,0.7225140945164015,5743,0.7156825323305965,1.0078191317850875,-0.7903520895381293,0.09612761040823799,-0.07393363676598973,False
A0,forest,0,2,3,104729,1.0,4,0.7225140945164015,5743,0.7156825323305965,1.0078191317850875,-0.7903520895381293,-0.0473492548869149,-0.06389099347561966,False
A1,forest,0,0,3,104729,0.35,2,0.3774365220710865,5743,0.49533117112147085,0.7451020733314179,0.02140093994352721,0.46130552604227065,0.4421012713379564,True
A1,forest,0,1,3,104729,0.7,2,0.3979868757552284,5743,0.5326857685647467,0.8096157069175408,-0.1553966412778769,0.3871969048445798,0.31979083103484884,False
A1,forest,0,2,3,104729,1.0,4,0.40501622714882807,5743,0.5585559310367364,0.8628466767179406,-0.3123223098618728,0.32582768236505705,0.2770849814303163,False
A2,forest,0,0,3,104729,0.35,2,0.3467898898475151,5743,0.3712512411418122,0.5412603045840501,0.48360074656680185,0.7004861687156827,0.7153158583274473,True
A2,forest,0,1,3,104729,0.7,2,0.3488285040004145,5743,0.38317813127825484,0.558701985785173,0.4497834106584443,0.6784228632247168,0.7065067860368609,False
A2,forest,0,2,3,104729,1.0,4,0.36790348737692974,5743,0.40570327780107457,0.5902423401559671,0.38590725011172455,0.6368635802774644,0.6891657617309767,False
A3,forest,0,0,3,104729,0.35,2,0.36120448099805263,5743,0.5044204795237244,0.7704090300787724,-0.046203044935439364,0.4226635944749317,0.3609392097422665,True
A3,forest,0,1,3,104729,0.7,2,0.36526349266759056,5743,0.520291303209039,0.8058824187946515,-0.14476571227796908,0.3809210128130137,0.321860219981197,False
A3,forest,0,2,3,104729,1.0,4,0.37305888781916946,5743,0.5380125161148094,0.8445040708457893,-0.2571200275170331,0.3323767919485349,0.3126200771720776,False
A4,forest,0,0,3,104729,0.35,2,0.3458047601657509,5743,0.36308008593739394,0.5311099616832973,0.502787377786615,0.7119312113447742,0.7300232800918095,True
