arm,macro_all_90_extractants,macro_on_24_oracle_extractants,oracle,gap_claimed,gap_like_for_like
X_ENS_DIRECT+LOWRANK_K2,0.481,0.4052,0.2864,0.1946,0.1188
C_DIRECT_ROW,0.4953,0.4258,0.2864,0.2089,0.1394
M_SELECTED,0.5014,0.4261,0.2864,0.215,0.1397
B1_MEAN_CURVE,0.6033,0.4693,0.2864,0.3169,0.1829
