scope,macro_mae,n_rows
all cells / all extractants (published ref),0.48098083670010805,70750
restricted to the 450 oracle-covered cells,0.40519950327891463,50410
restricted to the 24 oracle-covered extractants,0.40519950327891463,50410
"restricted to the exact 9801 oracle-covered (cell,A,B)",0.40508025621570826,49005
