extr_i,n_pairs,sf_mae,r_med,name
CCCCC(CC)CN(CC(CC)CCCC)C(=O)COCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,6,0.07907187499437272,0.9732603240391078,T2EHDGA
CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,76,0.34461244606641733,0.9499667176265832,DBD1MHDGA
CCCCCCCCCCCCN(C)C(=O)C1CC(OC)CC(C(=O)N(C)CCCCCCCCCCCC)O1,3,0.1844190609561943,0.9927459605691787,DMDO-HPyranDGA
CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC,26,0.34816018083701117,0.8262351101565937,TDdDGA
CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCCOCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC,20,0.21151413328593285,0.9613334405664098,DOODA (C12)
CCCCCCCCCCN(CCCCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,10,0.10722904244654885,0.9915262363148198,mTDDGA
CCCCCCCCCCN(CCCCCCCCCC)C(=O)COCC(=O)N(CCCCCC)CCCCCC,190,0.1378766734696997,0.6704577090975281,DHD2DGA
CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,375,0.41623865292354995,0.9450762405862827,DMDODGA
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,2245,0.35227781008154657,0.9443747490086609,TODGA
CCCCCCCCN(CCCCCCCC)C(=O)c1ccc2ccc3ccc(C(=O)N(CCCCCCCC)CCCCCCCC)nc3c2n1,1,0.36377996461110973,-0.09598790641958324,2-N-2-N-9-N-9-N-tetraoctyl-1-10-phenanthroline-2-9-dicarboxamide
CCCCCCCCP(=O)(CCCCCCCC)Cc1cccc(CP(=O)(CCCCCCCC)CCCCCCCC)[n+]1[O-],1,0.27476417182417573,0.9181414335499483,2-6-bis(dioctylphosphorylmethyl)-1-oxidopyridin-1-ium
CCCCCCN(CCCCCC)C(=O)COCC(=O)N(CCCCCC)CCCCCC,1,0.0,1.0,THDGA
CCCCCCn1c(-c2ccccc2)c(-c2ccccc2)c2cc3ccc4cc5c(-c6ccccc6)c(-c6ccccc6)n(CCCCCC)c(=O)c5nc4c3nc2c1=O,1,1.0403976669230772,0.9497428997459176,6-19-dihexyl-7-8-17-18-tetraphenyl-3-6-19-22-tetrazapentacyclo[12.8.0.02-11.04-9.016-21]docosa-1(22)-2-4(9)-7-10-12-14-16(21)-17-nonaene-5-20-dione
CCCCCc1nnc(-c2cccc(-c3cccc(-c4nnc(CCCCC)c(CCCCC)n4)n3)n2)nc1CCCCC,120,0.34778099244619176,0.9513234338849477,C5BTBP
CCCCN(CCCC)C(=O)COCC(=O)N(CCCC)CCCC,15,0.4160976418752975,0.9930802505409777,TBDGA
CCCN(CCC)C(=O)COCC(=O)N(CCC)CCC,16,0.26115066336102905,0.8453814276992737,TPrDGA
CCN(CC)C(=O)COCC(=O)N(CC)CC,30,0.12701060752169718,0.7308882537799647,TEDGA
CN(C(=O)COCC(=O)N(C)c1ccccc1)c1ccccc1,30,0.30971346970161767,0.8683317182214042,DMDPDGA
CN(C(=O)c1cccc(C(=O)N(C)c2ccccc2)n1)c1ccccc1,45,0.4014604368413246,0.46900642894187206,DMDPhPDA
O=C(c1cc(Cl)c2ccc3c(Cl)cc(C(=O)N4CCCC4)nc3c2n1)N1CCCC1,1,0.08675279750549485,0.8221689892138836,[4-7-dichloro-9-(pyrrolidine-1-carbonyl)-1-10-phenanthrolin-2-yl]-pyrrolidin-1-ylmethanone
