quantity,value
own oracle macro,0.2863698039785915
control oracle macro,0.4411517503701702
random oracle macro,0.6921471170294905
best arm macro all 90,0.481
best arm macro on 24,0.4052
best arm macro on 56,0.4307
gap claimed (own vs arm all),0.19463019602140846
gap matched (own vs arm on 24),0.11883019602140849
