cell_id,extractant,n_metals,amplitude,curvature,curve_sd,r2,r2_linear
0f09c750ad725e62,C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1,5,0.19163273416357945,0.060832652601625375,0.2486993144977434,0.982673693775667,0.9551535499538775
109e14b8ccc21bad,C1COCCOCCOCCOCCOCCO1,5,0.1711787531736182,0.12124871102396227,0.29057838046024087,0.9838735034641355,0.9037879778781744
7ae1cf22d55d9cc1,CC(C)CCCC(C)CCCCN(C)C(=O)COCC(=O)N(C)CCCCC(C)CCCC(C)C,14,-0.41347681814696813,-0.18341283638894884,0.5091355660892727,0.9887831303279441,0.8946563522140436
2d78f120adfe3686,CC(C)CCCCCP(=O)(CC(=O)N(CC(C)C)CC(C)C)c1ccccc1,6,0.3368589257104626,-0.31896104101134987,0.184138611261527,0.9567295806532814,0.759592353946492
b3e96da836b2a8d7,CC(C)CN(CC(C)C)C(=O)COCC(=O)N(CC(C)C)CC(C)C,8,-0.2915092882205742,-0.04911285106039548,0.30284519432303675,0.9623925255462082,0.9372838394881225
80c823b698d1e2e3,CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)CCC6(C)C)n4)n3)nnc21,14,-0.16555438700881547,-0.33846793512255513,0.45989879253987964,0.7938215831889988,0.40096762192213564
7ad5ac5e8cdc02e6,CC12CCC(c3nnc(-c4cccc(-c5nnc6c(n5)C5(C)CCC6C5(C)C)n4)nc31)C2(C)C,14,-1.1619342897926832,-0.411851026857625,1.3834780448575714,0.9675158269547676,0.9032387121029162
d0c6d7ffec5d58c3,CCCCC(CC)CN(C)C(=O)COCC(=O)N(C)CC(CC)CCCC,14,-0.46292617623012966,-0.283151815670847,0.6230147099084412,0.9811585522269901,0.8313409950773523
b0a65fc4ebf31640,CCCCC(CC)CN(CC(CC)CCCC)C(=O)COCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,14,-0.228886968417165,-0.054389473426689594,0.2635055025637885,0.9244094450975566,0.8935085583353223
5336017ed36fd28f,CCCCC(CC)CN(CC(CC)CCCC)C(=O)COCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,14,-0.25718998234181645,-0.05818411491274844,0.29239423345049426,0.9378439690984646,0.9091234774902601
5a6a2f3bf13a7d55,CCCCC(CC)CN(CC(CC)CCCC)C(=O)COCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,8,-0.3108539750035556,-0.018092380722236734,0.30409969231173506,0.9733111678665651,0.9699318072222886
c61ecb085d8df371,CCCCC(CC)CN(CC(CC)CCCC)C(=O)COCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,8,-0.3108539750035556,-0.018092380722236734,0.30409969231173506,0.9733111678665651,0.9699318072222886
51b8bb1801b4ae88,CCCCC(CC)CP(=O)(CC(=O)N(CC(C)C)CC(C)C)c1ccccc1,6,0.3557710959292096,-0.29073209071082673,0.14396437947477358,0.9440540133481315,0.6761008226121445
4f2be71378594542,CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,6,-0.6895709290580362,0.0664447526850157,0.5325708155895184,0.9576540286940165,0.9544729775216941
b35f13943d04ca50,CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,6,-0.45749897739893003,0.04985502697428801,0.35022747542698246,0.9829946794379921,0.9788535244148324
d871da32cd728745,CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,6,-0.7198141775310241,0.15021225460761523,0.5711912810754491,0.980165203575238,0.9660316426659454
ee9ed6c5b9f7b397,CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,6,-0.7647728259575238,0.11352482949291487,0.6007390369236869,0.9590092772945203,0.9517111066592354
9ed4efa5a12f8c67,CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,5,-0.5605269125134498,0.38951258551901724,0.5262058685141375,0.9628329159397723,0.9231134019308067
0f9c166921b14844,CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,5,-0.4975516273673968,-0.1714126432653627,0.3264048971439436,0.9989194364042274,0.9666816512108519
71dc32e0ed7e16a2,CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,5,-0.7032666914653731,-0.4054741993861292,0.4788849813987411,0.994395375171106,0.9105929009985799
