arm,policy,k,form,lam,n_configs_screened,macro_selection,macro_k0_selection,delta_selection
A2_refit,adjacent,1,scale,0.3,24,0.35267023865440456,0.3694724700894134,0.016802231435008863
A2_refit,adjacent,2,trend,0.3,24,0.3352865715067519,0.3694724700894134,0.03418589858266152
A2_refit,adjacent,3,trend,0.3,24,0.324040127003952,0.3694724700894134,0.0454323430854614
A2_refit,adjacent,5,trend,0.3,24,0.30026264665592745,0.3694724700894134,0.06920982343348597
A2_refit,adjacent,10,trend,0.1,24,0.24393562199796875,0.3694724700894134,0.12553684809144466
A2_refit,cross_condition,1,scale,0.3,24,0.3191870458276437,0.35637665972678034,0.037189613899136664
A2_refit,cross_condition,2,trend,0.3,24,0.28354178915854,0.35637665972678034,0.07283487056824034
A2_refit,cross_condition,3,trend,0.1,24,0.2650771462343422,0.35637665972678034,0.09129951349243814
A2_refit,cross_condition,5,trend,0.3,24,0.2562846216030632,0.35637665972678034,0.10009203812371714
A2_refit,cross_condition,10,trend,0.3,24,0.25071641952563783,0.35637665972678034,0.10566024020114251
A2_refit,foreign,1,scale,10.0,24,0.31309019071434496,0.3110840736711859,-0.0020061170431590614
A2_refit,foreign,2,scale,10.0,24,0.31567831992974094,0.3110840736711859,-0.004594246258555035
A2_refit,foreign,3,scale,10.0,24,0.315497975844487,0.3110840736711859,-0.004413902173301121
A2_refit,foreign,5,scale,10.0,24,0.3185675540374739,0.3110840736711859,-0.007483480366287987
A2_refit,foreign,10,scale,10.0,24,0.32969976718460403,0.3110840736711859,-0.01861569351341813
A2_refit,random,1,scale,0.1,24,0.2752860721549288,0.32987839465933144,0.05459232250440266
A2_refit,random,2,scale,0.1,24,0.2468561961745855,0.32987839465933144,0.08302219848474593
A2_refit,random,3,trend,0.1,24,0.2206428971612191,0.32987839465933144,0.10923549749811234
A2_refit,random,5,trend,0.03,24,0.1969792932528554,0.32987839465933144,0.13289910140647604
A2_refit,random,10,trend,0.03,24,0.17766263668946403,0.32987839465933144,0.15221575796986742
A2_refit,widest,1,scale,1.0,24,0.22513840980387934,0.29986440138377185,0.07472599157989251
A2_refit,widest,2,trend,0.3,24,0.20960318891836027,0.29986440138377185,0.09026121246541158
A2_refit,widest,3,trend,0.1,24,0.20082810544980517,0.29986440138377185,0.09903629593396668
A2_refit,widest,5,trend,0.1,24,0.19511044018409596,0.29986440138377185,0.1047539611996759
A2_refit,widest,10,trend,0.1,24,0.1831171235700253,0.29986440138377185,0.11674727781374655
A2_refit_TP,adjacent,1,affine,1.0,24,0.3528706559857647,0.36861168693100266,0.015741030945237933
A2_refit_TP,adjacent,2,trend,0.3,24,0.3356868496667207,0.36861168693100266,0.03292483726428197
A2_refit_TP,adjacent,3,trend,0.3,24,0.3246434846545716,0.36861168693100266,0.043968202276431056
A2_refit_TP,adjacent,5,trend,0.3,24,0.30068975292722266,0.36861168693100266,0.06792193400378
A2_refit_TP,adjacent,10,trend,0.03,24,0.23331926111384843,0.36861168693100266,0.13529242581715423
A2_refit_TP,cross_condition,1,scale,0.1,24,0.31704768699893837,0.3545114877612915,0.03746380076235312
A2_refit_TP,cross_condition,2,trend,0.3,24,0.28052724533586504,0.3545114877612915,0.07398424242542645
A2_refit_TP,cross_condition,3,trend,0.1,24,0.26310243809408307,0.3545114877612915,0.09140904966720842
A2_refit_TP,cross_condition,5,trend,0.3,24,0.25436165978648806,0.3545114877612915,0.10014982797480343
A2_refit_TP,cross_condition,10,trend,0.3,24,0.24954039211583307,0.3545114877612915,0.10497109564545842
A2_refit_TP,foreign,1,scale,10.0,24,0.31305265674540766,0.31093023374501705,-0.0021224230003906164
A2_refit_TP,foreign,2,scale,10.0,24,0.315530676012793,0.31093023374501705,-0.0046004422677759504
A2_refit_TP,foreign,3,scale,10.0,24,0.3152489420076345,0.31093023374501705,-0.004318708262617432
A2_refit_TP,foreign,5,scale,10.0,24,0.3182123635083509,0.31093023374501705,-0.007282129763333867
A2_refit_TP,foreign,10,scale,10.0,24,0.329438959392068,0.31093023374501705,-0.018508725647050972
A2_refit_TP,random,1,scale,0.1,24,0.2707362210851118,0.32994160388902766,0.05920538280391585
A2_refit_TP,random,2,scale,0.1,24,0.24225875796035576,0.32994160388902766,0.0876828459286719
A2_refit_TP,random,3,trend,0.03,24,0.21616431359489682,0.32994160388902766,0.11377729029413083
A2_refit_TP,random,5,trend,0.03,24,0.18826639890982397,0.32994160388902766,0.1416752049792037
A2_refit_TP,random,10,trend,0.03,24,0.1688016665907544,0.32994160388902766,0.16113993729827325
A2_refit_TP,widest,1,scale,0.3,24,0.22029250118582122,0.30125185412698896,0.08095935294116774
A2_refit_TP,widest,2,trend,0.3,24,0.2053846659839294,0.30125185412698896,0.09586718814305956
A2_refit_TP,widest,3,trend,0.1,24,0.19521484288332208,0.30125185412698896,0.10603701124366688
A2_refit_TP,widest,5,trend,0.1,24,0.18802531016388105,0.30125185412698896,0.11322654396310791
A2_refit_TP,widest,10,trend,0.1,24,0.17496550641123687,0.30125185412698896,0.1262863477157521
PAIRMEAN_baseline,adjacent,1,scale,0.03,24,0.4558449525975587,0.5181135688383538,0.062268616240795105
PAIRMEAN_baseline,adjacent,2,scale,0.03,24,0.4011969717574447,0.5181135688383538,0.11691659708090912
PAIRMEAN_baseline,adjacent,3,scale,0.03,24,0.3682753165532696,0.5181135688383538,0.14983825228508418
PAIRMEAN_baseline,adjacent,5,scale,0.03,24,0.3249393561823002,0.5181135688383538,0.1931742126560536
PAIRMEAN_baseline,adjacent,10,trend,0.03,24,0.2541433947719722,0.5181135688383538,0.2639701740663816
PAIRMEAN_baseline,cross_condition,1,scale,0.1,24,0.31742468749764885,0.3927684314898995,0.07534374399225063
PAIRMEAN_baseline,cross_condition,2,trend,0.3,24,0.2730547529632085,0.3927684314898995,0.11971367852669096
PAIRMEAN_baseline,cross_condition,3,trend,0.1,24,0.2546424910000847,0.3927684314898995,0.1381259404898148
PAIRMEAN_baseline,cross_condition,5,trend,0.3,24,0.25108418558692813,0.3927684314898995,0.14168424590297135
PAIRMEAN_baseline,cross_condition,10,trend,0.3,24,0.23694979006308134,0.3927684314898995,0.15581864142681814
PAIRMEAN_baseline,foreign,1,scale,10.0,24,0.4520278970013032,0.450199077899879,-0.001828819101424184
PAIRMEAN_baseline,foreign,2,scale,10.0,24,0.4534343412209445,0.450199077899879,-0.0032352633210654957
PAIRMEAN_baseline,foreign,3,scale,10.0,24,0.4548997275062902,0.450199077899879,-0.0047006496064112
PAIRMEAN_baseline,foreign,5,scale,10.0,24,0.4595930400369391,0.450199077899879,-0.009393962137060119
PAIRMEAN_baseline,foreign,10,scale,10.0,24,0.47076616984692493,0.450199077899879,-0.020567091947045923
