arm,seed,policy,form,lam,k,n_ext,n_rows,n_rows_free,n_draws,macro_mae,macro_mae_draw_sd,macro_mae_free,pooled_mae,pooled_r2,macro_r2_median,dispersion_ratio,sign_acc,reject_frac
A2_refit,104729,adjacent,affine,0.03,1,32,6362.0,5966.0,20,0.3362929326138919,0.01910656507495334,0.3649271145238807,0.4289008340474144,0.33344130137812167,0.3498693915924962,0.7804254080390058,0.8289845960389816,0.0
A2_refit,104729,adjacent,affine,0.03,2,32,6362.0,5966.0,20,0.36011424581752555,0.03189474284811149,0.3884922298859449,0.42632358745468385,0.29777333805972467,0.22776348012658007,0.815816049476567,0.8465498270983968,0.0
A2_refit,104729,adjacent,affine,0.03,3,32,6362.0,5966.0,20,0.34584318558603494,0.03461873522626822,0.3629629207602235,0.41988986461713357,0.27848211633043024,0.24656075726251356,0.8204348532524962,0.8509981138006916,0.0
A2_refit,104729,adjacent,affine,0.03,5,32,6362.0,5966.0,20,0.34494857182922056,0.03134640219386719,0.3429084095796747,0.41656393470077335,0.2580890998959166,0.2710880553375213,0.8509135967391697,0.8536466519962277,0.0
A2_refit,104729,adjacent,affine,0.03,10,32,6362.0,5966.0,20,0.24649196186857406,0.014138534387941035,0.2708725428376819,0.38728569793777656,0.354977565873166,0.46942862235609584,0.7795931990513942,0.842384470292361,0.0
A2_refit,104729,adjacent,affine,0.1,1,32,6362.0,5966.0,20,0.333376755094504,0.018052886923460836,0.3628012345972004,0.42718086676997447,0.3361464013815601,0.3578410855904308,0.7767305829398035,0.8312951901917636,0.0
A2_refit,104729,adjacent,affine,0.1,2,32,6362.0,5966.0,20,0.31943415951684156,0.017561948183094648,0.34588004906381525,0.41002206201956665,0.3696962859683378,0.37961595424811384,0.764933458747754,0.8475322225715184,0.0
A2_refit,104729,adjacent,affine,0.1,3,32,6362.0,5966.0,20,0.3113505338542121,0.021862392840782004,0.33235539044564455,0.400635124505092,0.385247452928811,0.370347243787304,0.7608661899225349,0.8515561144294248,0.0
A2_refit,104729,adjacent,affine,0.1,5,32,6362.0,5966.0,20,0.30685579741743124,0.020931154466122773,0.3164566782236338,0.395584202762183,0.3857767425086242,0.39847097055961866,0.7720861957669315,0.8531122288588493,0.0
A2_refit,104729,adjacent,affine,0.1,10,32,6362.0,5966.0,20,0.24510884858310597,0.011455864110544335,0.2690101269300208,0.3788238192472696,0.41336317663229893,0.506180062005401,0.745977823158247,0.8542203709525307,0.0
A2_refit,104729,adjacent,affine,0.3,1,32,6362.0,5966.0,20,0.3274520641649261,0.015761683403902046,0.358745088249911,0.42392826581303894,0.34034420413359345,0.3768988555127997,0.7691687914967351,0.8366629990569004,0.0
A2_refit,104729,adjacent,affine,0.3,2,32,6362.0,5966.0,20,0.30914099481916063,0.01240184759019581,0.3390464534907274,0.4088579759498809,0.3746560381185239,0.42597942070545536,0.7553882373424774,0.8474693492612386,0.0
A2_refit,104729,adjacent,affine,0.3,3,32,6362.0,5966.0,20,0.3016634618358577,0.014512422510376601,0.3291753065978743,0.3996202341142837,0.3973205066929312,0.4155973808546024,0.7494426189011236,0.850007859163785,0.0
A2_refit,104729,adjacent,affine,0.3,5,32,6362.0,5966.0,20,0.28745028652327104,0.012219245769354119,0.3098911744945319,0.39278086605760937,0.4086232431937029,0.4485761735469816,0.7482046399230221,0.8513203395158755,0.0
A2_refit,104729,adjacent,affine,0.3,10,32,6362.0,5966.0,20,0.2528308913647958,0.007824341433299388,0.2787532856781977,0.38056378418031894,0.42993142699262865,0.5019885229440988,0.7333452991081774,0.8546369066331343,0.0
A2_refit,104729,adjacent,affine,1.0,1,32,6362.0,5966.0,20,0.3204750878717229,0.011485327002814289,0.3554466709063275,0.42083958317880776,0.34052831110335785,0.399260257313951,0.7580847145308652,0.8443728387299592,0.0
A2_refit,104729,adjacent,affine,1.0,2,32,6362.0,5966.0,20,0.30935740811738666,0.00963102117824277,0.3436582961708644,0.41160053256177875,0.36360276891625853,0.43416390002784067,0.7520855761162448,0.8500864508016347,0.0
A2_refit,104729,adjacent,affine,1.0,3,32,6362.0,5966.0,20,0.30403614990577055,0.010309381826646332,0.3370889189200053,0.40433707005228203,0.38363769636824296,0.4205674753043539,0.7479586497933651,0.852051241747878,0.0
A2_refit,104729,adjacent,affine,1.0,5,32,6362.0,5966.0,20,0.2899666430139334,0.007672513965934869,0.32178751054239163,0.39935336044610337,0.39318027606946604,0.45112355498750645,0.7456843730399954,0.8527271298333858,0.0
A2_refit,104729,adjacent,affine,1.0,10,32,6362.0,5966.0,20,0.26975968699891123,0.004924460503675045,0.30071632876584614,0.390465170301184,0.412379557624701,0.4764489293728024,0.7376620495948175,0.8548648223828984,0.0
A2_refit,104729,adjacent,affine,3.0,1,32,6362.0,5966.0,20,0.32018646118092736,0.00695953123403637,0.3587961199432474,0.4224791411143186,0.3306506526155502,0.41042783037083314,0.7524854456142364,0.8493869852247722,0.0
A2_refit,104729,adjacent,affine,3.0,2,32,6362.0,5966.0,20,0.31323555741375886,0.006593230760838606,0.35120751289619323,0.41645437494152626,0.34609937902082544,0.42502960343136414,0.7500425215898758,0.8530414963847847,0.0
A2_refit,104729,adjacent,affine,3.0,3,32,6362.0,5966.0,20,0.30929563711736596,0.007176658910975973,0.3465565133273828,0.4108030368045207,0.36215562627182907,0.4279031935876672,0.7474792959745377,0.8538745677459918,0.0
A2_refit,104729,adjacent,affine,3.0,5,32,6362.0,5966.0,20,0.2992311469836681,0.006039473735586435,0.336378639673018,0.4071240240881311,0.37075317834810334,0.4491909423360748,0.746806697962399,0.854416850047155,0.0
A2_refit,104729,adjacent,affine,3.0,10,32,6362.0,5966.0,20,0.2857347878090126,0.0031616938916926096,0.321541015451549,0.4002919539765043,0.38736454484332894,0.4620205859119393,0.7439831762254349,0.8552420622445771,0.0
A2_refit,104729,adjacent,affine,10.0,1,32,6362.0,5966.0,20,0.3235247319218284,0.003768134968520351,0.364608307254625,0.4263331667972043,0.3188456161525266,0.418000561366959,0.751609467263754,0.8506601697579377,0.0
A2_refit,104729,adjacent,affine,10.0,2,32,6362.0,5966.0,20,0.31998673812931216,0.0037679517405504316,0.36058067730038723,0.4231672361537456,0.3266847131169052,0.4190676804817136,0.7504125674532707,0.8527271298333858,0.0
A2_refit,104729,adjacent,affine,10.0,3,32,6362.0,5966.0,20,0.3172745130856941,0.004074413665769028,0.3575478746977397,0.4196279943590027,0.3361830606998314,0.4187075375457935,0.7488363147776671,0.8538902860735618,0.0
A2_refit,104729,adjacent,affine,10.0,5,32,6362.0,5966.0,20,0.3115242701765783,0.004291519540010829,0.35123462934272787,0.4166269405368165,0.34374177420316604,0.43995877691670915,0.7483143244274706,0.855320653882427,0.0
