[18:10:17] oof runs/gen4_candidates_20260817T003449Z/oof_predictions.csv rows 33495; arms ['A2_refit_TP', 'A2_refit', 'PAIRMEAN_baseline', 'ZERO']; seeds [104729, 130363, 155921, 196613, 262147]; selection 104729; confirmation [130363, 155921, 196613, 262147]; metric mae_free
[18:10:17] ks (1, 2, 3, 5, 10); forms ('scale', 'offset', 'affine', 'trend'); lams (0.03, 0.1, 0.3, 1.0, 3.0, 10.0); policies ('random', 'adjacent', 'widest', 'foreign', 'cross_condition'); draws 20; eligibility threshold 20 pairs
[18:10:17] arm A2_refit_TP seed 104729: 32 eligible extractants (threshold 20 pairs), 2 excluded
[18:10:19] arm A2_refit_TP seed 130363: 32 eligible extractants (threshold 20 pairs), 2 excluded
[18:10:22] arm A2_refit_TP seed 155921: 32 eligible extractants (threshold 20 pairs), 2 excluded
[18:10:24] arm A2_refit_TP seed 196613: 32 eligible extractants (threshold 20 pairs), 2 excluded
[18:10:27] arm A2_refit_TP seed 262147: 32 eligible extractants (threshold 20 pairs), 2 excluded
[18:10:29] arm A2_refit seed 104729: 32 eligible extractants (threshold 20 pairs), 2 excluded
[18:10:32] arm A2_refit seed 130363: 32 eligible extractants (threshold 20 pairs), 2 excluded
[18:10:34] arm A2_refit seed 155921: 32 eligible extractants (threshold 20 pairs), 2 excluded
[18:10:37] arm A2_refit seed 196613: 32 eligible extractants (threshold 20 pairs), 2 excluded
[18:10:39] arm A2_refit seed 262147: 32 eligible extractants (threshold 20 pairs), 2 excluded
[18:10:42] arm PAIRMEAN_baseline seed 104729: 32 eligible extractants (threshold 20 pairs), 2 excluded
[18:10:44] arm PAIRMEAN_baseline seed 130363: 32 eligible extractants (threshold 20 pairs), 2 excluded
[18:10:47] arm PAIRMEAN_baseline seed 155921: 32 eligible extractants (threshold 20 pairs), 2 excluded
[18:10:49] arm PAIRMEAN_baseline seed 196613: 32 eligible extractants (threshold 20 pairs), 2 excluded
[18:10:52] arm PAIRMEAN_baseline seed 262147: 32 eligible extractants (threshold 20 pairs), 2 excluded
[18:10:54] arm ZERO seed 104729: 32 eligible extractants (threshold 20 pairs), 2 excluded
[18:10:57] arm ZERO seed 130363: 32 eligible extractants (threshold 20 pairs), 2 excluded
[18:11:00] arm ZERO seed 155921: 32 eligible extractants (threshold 20 pairs), 2 excluded
[18:11:02] arm ZERO seed 196613: 32 eligible extractants (threshold 20 pairs), 2 excluded
[18:11:05] arm ZERO seed 262147: 32 eligible extractants (threshold 20 pairs), 2 excluded
[18:11:14] study loop done in 57.5s; 6840000 stat rows
[18:11:22] written to /private/tmp/claude-501/-Users-lilshadix-PycharmProjects-ml-separator/433e3b10-d236-427b-ac76-636c8828a9f4/scratchpad/kshot_v2
