policy,k,A2_refit_TP,A2_refit,PAIRMEAN_baseline,ZERO,A2_refit_TP_vs_ZERO,A2_refit_TP_vs_PAIRMEAN_baseline,A2_refit_vs_ZERO,A2_refit_vs_PAIRMEAN_baseline
random,0,0.3321519679702895,0.3339717260162721,0.4420779843859042,0.6486682126720233,0.31651624470173384,0.10992601641561467,0.31469648665575123,0.10810625836963206
random,1,0.2788655524947407,0.28138759039079436,0.3127480069942417,0.532147354888556,0.2532818023938153,0.033882454499501,0.25075976449776166,0.03136041660344735
random,2,0.24595442058618974,0.24922886173924613,0.2654416047109204,0.3710035242963359,0.12504910371014613,0.019487184124730633,0.12177466255708974,0.016212742971674243
random,3,0.22004662307980621,0.2239778174490133,0.23880701849752434,0.32318745605759247,0.10314083297778626,0.018760395417718123,0.09920963860857918,0.014829201048511043
random,5,0.19423926928747162,0.1990589103193089,0.21465995701787494,0.29843137930836133,0.10419211002088971,0.020420687730403314,0.09937246898905244,0.015601046698566046
random,10,0.1742828407520987,0.17927292221299163,0.19703394853624767,0.2808325354330054,0.10654969468090669,0.02275110778414896,0.10155961322001378,0.017761026323256046
adjacent,0,0.37614246601040713,0.3778703883370571,0.5103549071937573,0.7698121857724756,0.39366971976206844,0.13421244118335018,0.39194179743541846,0.1324845188567002
adjacent,1,0.35929581266288657,0.35947739573589355,0.4520322484288684,0.6860009389311733,0.32670512626828674,0.09273643576598184,0.32652354319527976,0.09255485269297486
adjacent,2,0.34131861772924516,0.3395916923325114,0.4055006126210402,0.6713133137394606,0.3299946960102154,0.06418199489179505,0.33172162140694916,0.0659089202885288
adjacent,3,0.3276335560690974,0.3257701193499472,0.37423173837251084,0.6662386190188273,0.3386050629497299,0.04659818230341345,0.3404684996688801,0.04846161902256363
adjacent,5,0.3040828383862619,0.30214819064124515,0.32215163173988465,0.5990115061823328,0.2949286677960709,0.01806879335362277,0.29686331554108764,0.020003441098639496
adjacent,10,0.2362591009103995,0.24882000003153965,0.2526191032176549,0.4368142182505152,0.2005551173401157,0.0163600023072554,0.18799421821897555,0.00379910318611526
widest,0,0.3093108575244739,0.31106738196173617,0.39982474539074847,0.5844848153559423,0.2751739578314684,0.09051388786627457,0.27341743339420616,0.0887573634290123
widest,1,0.2278151106260271,0.23177157809466178,0.2438216372048644,0.4045826345780645,0.17676752395203738,0.016006526578837305,0.1728110564834027,0.012050059110202627
widest,2,0.20789390105484876,0.21264066073914925,0.21788124281236332,0.3380607972814743,0.13016689622662556,0.009987341757514562,0.12542013654232506,0.005240582073214067
widest,3,0.20078597137978155,0.2058185766802839,0.20918763195638485,0.3363212383918247,0.13553526701204316,0.008401660576603298,0.13050266171154082,0.0033690552761009573
widest,5,0.1956593414313497,0.20074880574823709,0.20270612533615529,0.326231436796497,0.13057209536514733,0.0070467839048055925,0.12548263104825993,0.0019573195879181993
widest,10,0.18494869664227095,0.1915254783474083,0.19348794882131587,0.31798435689313503,0.13303566025086408,0.008539252179044915,0.12645887854572674,0.001962470473907574
foreign,0,0.3115886151126216,0.3133584583924029,0.44314594215534087,0.6430379018302027,0.3314492867175811,0.13155732704271927,0.3296794434377998,0.12978748376293797
foreign,1,0.3132593448998852,0.3150458904709617,0.44468562617253865,0.6067872224420614,0.2935278775421762,0.13142628127265343,0.2917413319710997,0.12963973570157694
foreign,2,0.3154447398574652,0.31723055980292925,0.44573728546239944,0.5612529231447141,0.2458081832872489,0.13029254560493425,0.24402236334178484,0.1285067256594702
foreign,3,0.31717360786243515,0.3189392178843938,0.4474538205465518,0.5480231279136222,0.23084952005118703,0.13028021268411666,0.2290839100292284,0.12851460266215803
foreign,5,0.32069526385637853,0.3225115028041965,0.45172554016722455,0.5414855944633943,0.22079033060701575,0.13103027631084602,0.2189740916591978,0.12921403736302806
foreign,10,0.329532083783746,0.3313324212711482,0.46223534771470043,0.5374528570119458,0.2079207732281998,0.13270326393095444,0.20612043574079758,0.13090292644355223
cross_condition,0,0.37370180165316164,0.3748951266725669,0.3932572578067498,0.4051219383508771,0.031420136697715484,0.01955545615358817,0.030226811678310206,0.01836213113418289
cross_condition,1,0.325390732017269,0.3269426288642329,0.3230170509028298,0.3586349032460845,0.03324417122881551,-0.0023736811144391967,0.03169227438185157,-0.003925577961403137
cross_condition,2,0.28863720595437903,0.2900822414953594,0.28743218847725205,0.2968540343771093,0.008216828422730249,-0.0012050174771269795,0.006771792881749894,-0.0026500530181073345
cross_condition,3,0.2744620944443097,0.2752692638899056,0.27091647564815613,0.2727846221480784,-0.001677472296231275,-0.00354561879615356,-0.002484641741827165,-0.00435278824174945
cross_condition,5,0.2560141207078359,0.2578114679547673,0.25042508063878177,0.2516533594862369,-0.004360761221599008,-0.005589040069054141,-0.006158108468530377,-0.00738638731598551
cross_condition,10,0.2429748585043669,0.24379361127514282,0.23317155303549209,0.24180709971505193,-0.0011677587893149655,-0.009803305468874812,-0.0019865115600908867,-0.010622058239650733
