arm,policy,k,form,lam,is_control,macro_k0_confirm,macro_confirm,delta_mean_confirm,delta_mean_incl_selection,positive_confirm_seeds,seed_delta_spread,per_seed_delta,pooled_mae_k0_confirm,pooled_mae_confirm,boot_delta_confirm,ci95_low,ci95_high,p_worse_one_sided,extractants_improved,n_extractants,holm_family_size,holm_p_one_sided,passes_rule
A2_refit,adjacent,1,scale,0.3,False,0.37996986789896803,0.3611791850062658,0.01879068289270229,0.018392992601163605,4,0.0051304905317179905,104729:+0.0168;130363:+0.0164;155921:+0.0186;196613:+0.0215;262147:+0.0187,0.4341086925730939,0.42445343355234766,0.018790682892702307,0.007332049531603646,0.03170573833521551,0.0005998800239952009,20,27,80,0.015996800639872025,True
A2_refit,adjacent,2,trend,0.3,False,0.37996986789896803,0.3406679725389512,0.0393018953600168,0.03827869600454574,4,0.0060111671711251535,104729:+0.0342;130363:+0.0393;155921:+0.0381;196613:+0.0396;262147:+0.0402,0.4341086925730939,0.41071106889327325,0.03930189536001681,0.017862630686030154,0.06456567342960721,0.0001999600079984003,22,27,80,0.015996800639872025,True
A2_refit,adjacent,3,trend,0.3,False,0.37996986789896803,0.32620261743644596,0.05376725046252204,0.05210026898710991,4,0.013417590055315676,104729:+0.0454;130363:+0.0493;155921:+0.0507;196613:+0.0588;262147:+0.0562,0.4341086925730939,0.40002811271414285,0.05376725046252205,0.023941196145918015,0.08926263323704095,0.0001999600079984003,21,27,80,0.015996800639872025,True
A2_refit,adjacent,5,trend,0.3,False,0.37996986789896803,0.30261957663757455,0.07735029126139348,0.07572219769581198,4,0.025399836482950744,104729:+0.0692;130363:+0.0655;155921:+0.0755;196613:+0.0909;262147:+0.0775,0.4341086925730939,0.3855272499541027,0.07735029126139346,0.04024960207635278,0.11997805292333845,0.0001999600079984003,22,27,80,0.015996800639872025,True
A2_refit,adjacent,10,trend,0.1,False,0.37996986789896803,0.2500410945399324,0.12992877335903563,0.12905038830551746,4,0.030669716544650755,104729:+0.1255;130363:+0.1155;155921:+0.1277;196613:+0.1461;262147:+0.1304,0.4341086925730939,0.3573350731101213,0.12992877335903563,0.07096822677724798,0.19655167008573682,0.0001999600079984003,21,27,80,0.015996800639872025,True
A2_refit,cross_condition,1,scale,0.3,False,0.37952474340901354,0.33434553799042704,0.04517920541858643,0.04358128711469648,4,0.030291120583570308,104729:+0.0372;130363:+0.0363;155921:+0.0338;196613:+0.0641;262147:+0.0464,0.40557366362690217,0.3528605728803259,0.045179205418586416,0.009469225535776959,0.09225413750457484,0.002599480103979204,8,12,80,0.046790641871625675,True
A2_refit,cross_condition,2,trend,0.3,False,0.37952474340901354,0.29264564282592337,0.08687910058309019,0.08407025458012021,4,0.026557671169697483,104729:+0.0728;130363:+0.0871;155921:+0.0766;196613:+0.0994;262147:+0.0844,0.40557366362690217,0.3077652124940197,0.08687910058309019,0.017475789781026523,0.17851332954081098,0.0003999200159968006,9,12,80,0.015996800639872025,True
A2_refit,cross_condition,3,trend,0.1,False,0.37952474340901354,0.27781729330379645,0.10170745010521706,0.09962586278266128,4,0.03522554477373557,104729:+0.0913;130363:+0.0961;155921:+0.0893;196613:+0.1245;262147:+0.0970,0.40557366362690217,0.2834933086726359,0.10170745010521705,0.018454908502664746,0.2102855647382189,0.0023995200959808036,8,12,80,0.04559088182363527,True
A2_refit,cross_condition,5,trend,0.3,False,0.37952474340901354,0.2601586353619588,0.11936610804705466,0.11551129406238717,4,0.04800689348733761,104729:+0.1001;130363:+0.1106;155921:+0.1046;196613:+0.1481;262147:+0.1142,0.40557366362690217,0.26338968323541667,0.11936610804705465,0.03833216542748314,0.22787831208822265,0.0001999600079984003,10,12,80,0.015996800639872025,True
A2_refit,cross_condition,10,trend,0.3,False,0.37952474340901354,0.2420629092125191,0.13746183419649444,0.13110151539742407,4,0.053309240530329094,104729:+0.1057;130363:+0.1277;155921:+0.1352;196613:+0.1590;262147:+0.1280,0.40557366362690217,0.2443552776765136,0.1374618341964944,0.04557379146086785,0.2504267019522399,0.0001999600079984003,12,12,80,0.015996800639872025,True
A2_refit,foreign,1,scale,10.0,True,0.31392705457270714,0.31553481541011585,-0.0016077608374087393,-0.0016874320785588038,0,0.0006044659756221371,104729:-0.0020;130363:-0.0015;155921:-0.0016;196613:-0.0014;262147:-0.0020,0.4256843943236244,0.42654111372800774,-0.0016077608374087402,-0.0027442439314758907,-0.0006543212402438382,0.9998000399920016,9,32,80,,False
A2_refit,foreign,2,scale,10.0,True,0.31392705457270714,0.3176186197712263,-0.003691565198519167,-0.0038721014105263405,0,0.001454282024658804,104729:-0.0046;130363:-0.0038;155921:-0.0039;196613:-0.0031;262147:-0.0039,0.4256843943236244,0.4276994337733924,-0.0036915651985191737,-0.00602190767770059,-0.0016380264973224687,1.0,7,32,80,,False
A2_refit,foreign,3,scale,10.0,True,0.31392705457270714,0.3197995283943704,-0.005872473821663296,-0.005580759491990861,0,0.0022663072599724,104729:-0.0044;130363:-0.0067;155921:-0.0061;196613:-0.0052;262147:-0.0055,0.4256843943236244,0.42884331023919203,-0.005872473821663316,-0.009267286058578255,-0.0028842780585337977,1.0,6,32,80,,False
A2_refit,foreign,5,scale,10.0,True,0.31392705457270714,0.32349748999587713,-0.009570435423170029,-0.00915304441179362,0,0.0025493288887323273,104729:-0.0075;130363:-0.0098;155921:-0.0100;196613:-0.0088;262147:-0.0097,0.4256843943236244,0.4310061670256578,-0.00957043542317004,-0.014759873878962068,-0.0051094628959327,1.0,7,32,80,,False
A2_refit,foreign,10,scale,10.0,True,0.31392705457270714,0.33174058479278423,-0.017813530220077076,-0.017973962878745288,0,0.0019998570695313744,104729:-0.0186;130363:-0.0189;155921:-0.0169;196613:-0.0173;262147:-0.0180,0.4256843943236244,0.43503988101556196,-0.017813530220077096,-0.027121863773232,-0.009681827797196058,1.0,6,32,80,,False
A2_refit,random,1,scale,0.1,False,0.3349950588555073,0.2829129699497608,0.052082088905746574,0.05258413562547779,4,0.004349613026660315,104729:+0.0546;130363:+0.0522;155921:+0.0506;196613:+0.0549;262147:+0.0507,0.4256843943236244,0.4048009510458424,0.02629470709142811,-0.029152485078150846,0.07205805117361502,0.15696860627874426,20,32,80,0.3139372125574885,False
A2_refit,random,2,scale,0.1,False,0.3349950588555073,0.2549986007204651,0.07999645813504226,0.080601606204983,4,0.01907370981920775,104729:+0.0830;130363:+0.0683;155921:+0.0859;196613:+0.0874;262147:+0.0783,0.4256843943236244,0.39430227559901954,0.05652139344006593,0.005682758871298592,0.105937071467334,0.014797040591881624,22,32,80,0.13317336532693463,False
A2_refit,random,3,trend,0.1,False,0.3349950588555073,0.22481154752096186,0.11018351133454549,0.10999390856725885,4,0.02042310834463784,104729:+0.1092;130363:+0.0975;155921:+0.1164;196613:+0.1179;262147:+0.1090,0.4256843943236244,0.3625799722472296,0.07319598667469254,-0.0026911564261233954,0.13974610906571697,0.030393921215756847,23,32,80,0.13717256548690263,False
A2_refit,random,5,trend,0.03,False,0.3349950588555073,0.20079890462635394,0.13419615422915337,0.13393674366461789,4,0.02128713843956137,104729:+0.1329;130363:+0.1244;155921:+0.1352;196613:+0.1457;262147:+0.1315,0.4256843943236244,0.3468549547619372,0.09468469661046237,0.016471065266310786,0.16788489143019616,0.010797840431913617,26,32,80,0.1187762447510498,False
A2_refit,random,10,trend,0.03,False,0.3349950588555073,0.18042250213631997,0.15457255671918738,0.15410119696932337,4,0.019649025954873667,104729:+0.1522;130363:+0.1443;155921:+0.1555;196613:+0.1639;262147:+0.1546,0.4256843943236244,0.31229838744808297,0.12251138498161304,0.05695128065815234,0.18815753803271698,0.0001999600079984003,30,32,80,0.015996800639872025,True
A2_refit,widest,1,scale,1.0,False,0.31386812710622725,0.2353405479217502,0.07852757918447703,0.07776726166356013,4,0.01632210357894537,104729:+0.0747;130363:+0.0684;155921:+0.0792;196613:+0.0847;262147:+0.0818,0.41119691917509654,0.3723426457348001,0.07852757918447704,0.04227169249041361,0.12172516296676004,0.0001999600079984003,24,27,80,0.015996800639872025,True
A2_refit,widest,2,trend,0.3,False,0.31386812710622725,0.21340002869434654,0.10046809841188073,0.09842672122258689,4,0.015161997166367736,104729:+0.0903;130363:+0.0917;155921:+0.1016;196613:+0.1031;262147:+0.1054,0.41119691917509654,0.35857344813923153,0.10046809841188073,0.06038984153052404,0.14726547411882332,0.0001999600079984003,23,27,80,0.015996800639872025,True
A2_refit,widest,3,trend,0.1,False,0.31386812710622725,0.20759351288632033,0.10627461421990689,0.10482695056271885,4,0.016262305601645155,104729:+0.0990;130363:+0.0969;155921:+0.1060;196613:+0.1132;262147:+0.1091,0.41119691917509654,0.3578794962191465,0.10627461421990689,0.06176833113941826,0.1553733241763854,0.0001999600079984003,22,27,80,0.015996800639872025,True
A2_refit,widest,5,trend,0.1,False,0.31386812710622725,0.20407023066981184,0.1097978964364154,0.10878910938906752,4,0.01759853276531939,104729:+0.1048;130363:+0.1003;155921:+0.1075;196613:+0.1179;262147:+0.1136,0.41119691917509654,0.3559219033767753,0.10979789643641537,0.06557649424552119,0.15723796627432277,0.0001999600079984003,22,27,80,0.015996800639872025,True
A2_refit,widest,10,trend,0.1,False,0.31386812710622725,0.1945182003874141,0.11934992671881313,0.11882939693779981,4,0.018431014835462972,104729:+0.1167;130363:+0.1098;155921:+0.1169;196613:+0.1282;262147:+0.1225,0.41119691917509654,0.34655748192464686,0.11934992671881312,0.0740637126352154,0.16863972925112725,0.0001999600079984003,26,27,80,0.015996800639872025,True
A2_refit_TP,adjacent,1,affine,1.0,False,0.3780251607802582,0.360902101832167,0.017123058948091213,0.016846653347520557,4,0.0022571674635846195,104729:+0.0157;130363:+0.0180;155921:+0.0164;196613:+0.0172;262147:+0.0169,0.43384260179662526,0.42430376340211384,0.017123058948091192,0.0053486191954139825,0.029944958486070424,0.001799640071985603,20,27,80,0.03779244151169766,True
A2_refit_TP,adjacent,2,trend,0.3,False,0.3780251607802582,0.3427265597448763,0.035298601035381946,0.03482384828116195,4,0.003734578910650599,104729:+0.0329;130363:+0.0364;155921:+0.0367;196613:+0.0351;262147:+0.0330,0.43384260179662526,0.4115529956009215,0.03529860103538193,0.015729274889814474,0.05841230177545971,0.0001999600079984003,22,27,80,0.015996800639872025,True
A2_refit_TP,adjacent,3,trend,0.3,False,0.3780251607802582,0.3283810739227288,0.049644086857529426,0.048508909941309755,4,0.009866353754801382,104729:+0.0440;130363:+0.0448;155921:+0.0506;196613:+0.0538;262147:+0.0493,0.43384260179662526,0.4012955244973891,0.049644086857529426,0.022359318405266632,0.08288976841034851,0.0001999600079984003,23,27,80,0.015996800639872025,True
A2_refit_TP,adjacent,5,trend,0.3,False,0.3780251607802582,0.3049311097510217,0.07309405102923654,0.07205962762414522,4,0.026119293074217176,104729:+0.0679;130363:+0.0598;155921:+0.0761;196613:+0.0859;262147:+0.0706,0.43384260179662526,0.38645575646547375,0.07309405102923651,0.0391394713773719,0.11268058329959957,0.0001999600079984003,23,27,80,0.015996800639872025,True
