arm,policy,form,lam,k,n_draws,delta_mean,delta_sd,delta_q10,frac_harmful,delta_free_mean,frac_harmful_free
A2_refit,adjacent,affine,0.03,1,100,-0.0039312614534173255,0.023120556976405318,-0.03565406068798407,0.53,0.010474471498188729,0.26
A2_refit,adjacent,affine,0.03,2,100,-0.019140360553816328,0.031020264402348972,-0.055122918699207116,0.73,-0.0016288567757921956,0.51
A2_refit,adjacent,affine,0.03,3,100,-0.015355358677880411,0.03614007686522959,-0.05477096976116365,0.68,0.007178239350368273,0.4
A2_refit,adjacent,affine,0.03,5,100,-0.003900211168527097,0.03700435668240456,-0.05256736470963528,0.49,0.04154621164732722,0.13
A2_refit,adjacent,affine,0.03,10,100,0.08494282688679566,0.01650834245426144,0.06556542049436145,0.0,0.10517606888856255,0.0
A2_refit,adjacent,affine,0.1,1,100,-0.0013660750402960365,0.021878457840795756,-0.030885985923587204,0.48,0.012270871629998535,0.23
A2_refit,adjacent,affine,0.1,2,100,0.014893234973727392,0.020062473217689857,-0.012508787087767025,0.24,0.03210907369263417,0.06
A2_refit,adjacent,affine,0.1,3,100,0.021550591563318126,0.02074901891150303,-0.004968402340215405,0.13,0.042090657737253165,0.01
A2_refit,adjacent,affine,0.1,5,100,0.029446010093935264,0.022846545903363488,-0.0022438417827403685,0.11,0.06361571505968149,0.0
A2_refit,adjacent,affine,0.1,10,100,0.08452674657340664,0.012318900405896173,0.0692803329489386,0.0,0.10481438069912075,0.0
A2_refit,adjacent,affine,0.3,1,100,0.0036573749960227696,0.01899802135252293,-0.02197391704792905,0.37,0.015444822486745146,0.2
A2_refit,adjacent,affine,0.3,2,100,0.02144129423699337,0.014911148659905348,0.0021787168098274306,0.09,0.03584814901009852,0.0
A2_refit,adjacent,affine,0.3,3,100,0.031228122735906024,0.012703596031273991,0.016061351711877392,0.02,0.047394419279883644,0.0
A2_refit,adjacent,affine,0.3,5,100,0.04468227529042289,0.011634688534183934,0.029435059444583744,0.0,0.06602444210287828,0.0
A2_refit,adjacent,affine,0.3,10,100,0.07572922251868663,0.008486001120354292,0.06425307917185306,0.0,0.09387030815181013,0.0
A2_refit,adjacent,affine,1.0,1,100,0.009304795481282102,0.013152836425341841,-0.0080882537171234,0.23,0.017208473491543048,0.11
A2_refit,adjacent,affine,1.0,2,100,0.02000612706508694,0.011499410532173014,0.005678305083546198,0.04,0.029979832706285552,0.0
A2_refit,adjacent,affine,1.0,3,100,0.02792148443216393,0.009743029176357118,0.015420321312836289,0.0,0.03886509342994583,0.0
A2_refit,adjacent,affine,1.0,5,100,0.0410185208537939,0.007174804253963965,0.031188905888215386,0.0,0.05268750102061505,0.0
A2_refit,adjacent,affine,1.0,10,100,0.05840844753215874,0.00580725913267461,0.05125536104020441,0.0,0.07151888531376674,0.0
A2_refit,adjacent,affine,3.0,1,100,0.008521857068596293,0.006907395260397561,-0.0012363687703051574,0.15,0.01228578624757768,0.06
A2_refit,adjacent,affine,3.0,2,100,0.01540500247913217,0.007314160551081862,0.006585007551789918,0.03,0.020754949625179372,0.0
A2_refit,adjacent,affine,3.0,3,100,0.021110149106960376,0.006902107907360052,0.01195165842070398,0.0,0.027222410304138158,0.0
A2_refit,adjacent,affine,3.0,5,100,0.03115677987747317,0.005557391641967158,0.02392273691119534,0.0,0.037212893353772925,0.0
A2_refit,adjacent,affine,3.0,10,100,0.042603458124891545,0.004312755857470497,0.037001218533935024,0.0,0.050824241960456165,0.0
A2_refit,adjacent,affine,10.0,1,100,0.004484816996344645,0.0026193929780160127,0.0004905582555112975,0.04,0.0054530931586255285,0.02
A2_refit,adjacent,affine,10.0,2,100,0.00818414909391418,0.0033484290749817834,0.004246662791072437,0.01,0.009979334337777635,0.0
A2_refit,adjacent,affine,10.0,3,100,0.011549661197443238,0.0035042441428989935,0.007401021739626451,0.0,0.013940865202756215,0.0
A2_refit,adjacent,affine,10.0,5,100,0.01767409955057607,0.0032753596300382436,0.013524284020451027,0.0,0.020656800722581217,0.0
A2_refit,adjacent,affine,10.0,10,100,0.027005579358140356,0.002810768481886934,0.023305365377258823,0.0,0.03112195240713112,0.0
A2_refit,adjacent,offset,0.03,1,100,-0.0029946170365012163,0.01984988777445046,-0.030348373074569945,0.51,0.007857986534706356,0.27
A2_refit,adjacent,offset,0.03,2,100,0.015136346806102747,0.013624746289679248,-0.001220092431997549,0.13,0.023801453857593163,0.08
A2_refit,adjacent,offset,0.03,3,100,0.022939498042574384,0.009984450649437667,0.01021069971958265,0.01,0.030762911822329486,0.0
A2_refit,adjacent,offset,0.03,5,100,0.03071270095211205,0.006433545716047076,0.022126012889077736,0.0,0.03681881040145318,0.0
A2_refit,adjacent,offset,0.03,10,100,0.036063971970184586,0.003765263067897826,0.031083032204045003,0.0,0.04071612592533387,0.0
A2_refit,adjacent,offset,0.1,1,100,-0.0006141385309650899,0.01871558157177835,-0.0272654808514185,0.45,0.009554377710704179,0.25
A2_refit,adjacent,offset,0.1,2,100,0.015430167800635624,0.01322279184105841,-0.0007455452880817669,0.12,0.02378575928748371,0.05
A2_refit,adjacent,offset,0.1,3,100,0.02286404216399859,0.009804290732987529,0.010247593544018241,0.01,0.03049484655572943,0.0
A2_refit,adjacent,offset,0.1,5,100,0.030489953316401187,0.006374913615752618,0.02196212156986558,0.0,0.03651796902714096,0.0
A2_refit,adjacent,offset,0.1,10,100,0.03589114897520793,0.0037473205086502445,0.030923346513527107,0.0,0.040507237653054945,0.0
A2_refit,adjacent,offset,0.3,1,100,0.003914643841215323,0.01613078702354438,-0.020668004398062007,0.36,0.012443699018937254,0.18
A2_refit,adjacent,offset,0.3,2,100,0.0159627203011827,0.0121996259919475,0.0005298105562057232,0.08,0.023532912915297164,0.04
A2_refit,adjacent,offset,0.3,3,100,0.02258059024394099,0.009325812685976079,0.010295408510167836,0.0,0.029701492594286106,0.0
A2_refit,adjacent,offset,0.3,5,100,0.029858095936887565,0.006212564714095954,0.021516007747431194,0.0,0.03567327099134985,0.0
A2_refit,adjacent,offset,0.3,10,100,0.0354042028170383,0.0036967981236448867,0.03047493770770021,0.0,0.039920490588894124,0.0
A2_refit,adjacent,offset,1.0,1,100,0.008693262944479675,0.010897325012257309,-0.0060428585738456385,0.19,0.013939223796088997,0.12
A2_refit,adjacent,offset,1.0,2,100,0.015961669403541847,0.009647835716504636,0.0036065456573410094,0.05,0.021583508307911517,0.02
A2_refit,adjacent,offset,1.0,3,100,0.021160773303387698,0.007961136441866844,0.01045999494368996,0.0,0.026905517961096193,0.0
A2_refit,adjacent,offset,1.0,5,100,0.027744991477860848,0.0056993603758669405,0.020043604359115445,0.0,0.032920049773572754,0.0
A2_refit,adjacent,offset,1.0,10,100,0.03378071691059584,0.003531019539229379,0.0293846274816634,0.0,0.03798195578223872,0.0
A2_refit,adjacent,offset,3.0,1,100,0.007792835807258931,0.005646421560240837,-0.00046352965165852295,0.12,0.009927968882481824,0.06
A2_refit,adjacent,offset,3.0,2,100,0.01285000253000106,0.0060897843356085,0.005042015150565293,0.03,0.01591526908635136,0.01
A2_refit,adjacent,offset,3.0,3,100,0.016884883799457275,0.005623442263036749,0.009384540042456879,0.0,0.02057870663136117,0.0
A2_refit,adjacent,offset,3.0,5,100,0.022776564813323925,0.0045863348333205775,0.01637392984427946,0.0,0.026751527833351708,0.0
A2_refit,adjacent,offset,3.0,10,100,0.029809342568060657,0.0031262310136541327,0.02605931704266417,0.0,0.033310361061764236,0.0
A2_refit,adjacent,offset,10.0,1,100,0.003732196045480607,0.0021384879741590344,0.0006963553505923759,0.05,0.004389292951099556,0.04
A2_refit,adjacent,offset,10.0,2,100,0.006611950929463634,0.0026981406240104964,0.003277020903894512,0.01,0.007819291949045947,0.0
A2_refit,adjacent,offset,10.0,3,100,0.009244691873777439,0.0027922082197164503,0.005761990548894713,0.0,0.010930875863389637,0.0
A2_refit,adjacent,offset,10.0,5,100,0.013700571416266558,0.0027152574642308894,0.009847525149378778,0.0,0.0159060071875161,0.0
A2_refit,adjacent,offset,10.0,10,100,0.020945160679530755,0.002237070252983151,0.018073492762966742,0.0,0.0231681012789762,0.0
A2_refit,adjacent,scale,0.03,1,100,-0.04339625041053382,0.051060252371887,-0.11278063197704027,0.79,-0.024624966691364956,0.63
A2_refit,adjacent,scale,0.03,2,100,-0.024635321883394175,0.04547208942565565,-0.09381749277275558,0.66,-0.005246140793950873,0.54
A2_refit,adjacent,scale,0.03,3,100,0.004625764876449253,0.031207236837993875,-0.034645087928092524,0.39,0.027638816941566394,0.21
A2_refit,adjacent,scale,0.03,5,100,0.04809380283298721,0.022606088913151315,0.01616641899043213,0.0,0.06952553420591819,0.0
A2_refit,adjacent,scale,0.03,10,100,0.09945492922491468,0.012150021581957883,0.08648717589515253,0.0,0.12456537643941244,0.0
A2_refit,adjacent,scale,0.1,1,100,-0.004460789703270886,0.02717591027365563,-0.04227140595255963,0.5,0.01459610512159639,0.24
A2_refit,adjacent,scale,0.1,2,100,0.005994818456877937,0.026496239185243953,-0.02896094145051787,0.38,0.028676205427781872,0.1
A2_refit,adjacent,scale,0.1,3,100,0.021221722871954018,0.021195352105608335,-0.004034205603553675,0.15,0.04549761165934457,0.02
A2_refit,adjacent,scale,0.1,5,100,0.05174439813184255,0.016393345035102504,0.030537697360800486,0.0,0.07371380709529188,0.0
A2_refit,adjacent,scale,0.1,10,100,0.09427885053457015,0.011170938499235415,0.08112774454499776,0.0,0.11838385423739906,0.0
A2_refit,adjacent,scale,0.3,1,100,0.006418247799804139,0.014533001035620023,-0.01374680837013031,0.36,0.018392992601163612,0.07
A2_refit,adjacent,scale,0.3,2,100,0.015133550571026002,0.015230793221514178,-0.0032717306763249466,0.13,0.03256397982411281,0.02
A2_refit,adjacent,scale,0.3,3,100,0.024499671298024595,0.0143406575174671,0.007362699093437181,0.07,0.044165626697696074,0.01
A2_refit,adjacent,scale,0.3,5,100,0.04646370052123425,0.011428719671911317,0.03396966837321689,0.0,0.06578478409974338,0.0
A2_refit,adjacent,scale,0.3,10,100,0.07924136151284561,0.009123941183129432,0.06756235685899308,0.0,0.1002672626366066,0.0
A2_refit,adjacent,scale,1.0,1,100,0.005126873284424456,0.0059455495647298216,-0.003113841002370776,0.22,0.00997446233040897,0.05
A2_refit,adjacent,scale,1.0,2,100,0.011207412088725537,0.007471976540080405,0.00306485144000071,0.07,0.01965072343196332,0.01
A2_refit,adjacent,scale,1.0,3,100,0.016775664808660964,0.008091732258778567,0.006978231459291895,0.04,0.027270385099591277,0.01
A2_refit,adjacent,scale,1.0,5,100,0.030334443207398438,0.007448912798466453,0.0212736640393964,0.0,0.04189299639026649,0.0
A2_refit,adjacent,scale,1.0,10,100,0.051470827502247525,0.006337111362954161,0.043482755766921205,0.0,0.06627392412541276,0.0
A2_refit,adjacent,scale,3.0,1,100,0.002606628577859678,0.0020767640485960925,-0.0002704743122824149,0.14,0.003993890531507333,0.05
A2_refit,adjacent,scale,3.0,2,100,0.005581308581133524,0.00299869314132976,0.0025695295629572902,0.04,0.008247241166952383,0.01
A2_refit,adjacent,scale,3.0,3,100,0.008398575334880063,0.003481891460875315,0.003792256641935271,0.01,0.011854093067325013,0.0
A2_refit,adjacent,scale,3.0,5,100,0.0151419624265761,0.0036608566748024722,0.010616832293253876,0.0,0.01931583102666062,0.0
A2_refit,adjacent,scale,3.0,10,100,0.025925669889320168,0.0038859929128199984,0.020798636457216295,0.0,0.033630934935533284,0.0
A2_refit,adjacent,scale,10.0,1,100,0.0010602636928246506,0.0007562793519187585,8.299246472586731e-05,0.08,0.0012756598798070373,0.05
A2_refit,adjacent,scale,10.0,2,100,0.0021208731950334075,0.0010745191801684792,0.0009821780946326075,0.03,0.002678550861375659,0.01
A2_refit,adjacent,scale,10.0,3,100,0.0031383036191641534,0.001240466768485194,0.0016369439571762845,0.0,0.0039159778439047666,0.0
A2_refit,adjacent,scale,10.0,5,100,0.005473540943945509,0.0012911144506652047,0.0038481206261908596,0.0,0.006590500826558852,0.0
A2_refit,adjacent,scale,10.0,10,100,0.009832908292136351,0.0016591335397389358,0.0076341491234502065,0.0,0.012280589809008964,0.0
A2_refit,adjacent,trend,0.03,1,100,-0.04339625041053382,0.051060252371887,-0.11278063197704027,0.79,-0.024624966691364956,0.63
A2_refit,adjacent,trend,0.03,2,100,-0.03436993481074746,0.0462902586418727,-0.10358040902157359,0.75,-0.016329426932421922,0.59
A2_refit,adjacent,trend,0.03,3,100,-0.0045668894971579435,0.034012610025027465,-0.04632917886676378,0.54,0.013893157075925153,0.36
A2_refit,adjacent,trend,0.03,5,100,0.042052447071693935,0.024222583596870594,0.010551024306008306,0.04,0.05517228492234864,0.06
A2_refit,adjacent,trend,0.03,10,100,0.10765197737172424,0.014160137217063662,0.08893776069762681,0.0,0.12825933389612085,0.0
A2_refit,adjacent,trend,0.1,1,100,-0.004460789703270886,0.02717591027365563,-0.04227140595255963,0.5,0.01459610512159639,0.24
A2_refit,adjacent,trend,0.1,2,100,0.0026519903098601617,0.026685876928725205,-0.03441798157534962,0.4,0.026407082892991228,0.14
A2_refit,adjacent,trend,0.1,3,100,0.01890242337095027,0.023362753272858743,-0.01258278532771051,0.21,0.04235773169080433,0.06
A2_refit,adjacent,trend,0.1,5,100,0.052324539129382355,0.01856388622567415,0.0312592547831801,0.0,0.07013753728977785,0.0
A2_refit,adjacent,trend,0.1,10,100,0.1072678951397029,0.013109461911287461,0.0899160929180871,0.0,0.12905038830551743,0.0
A2_refit,adjacent,trend,0.3,1,100,0.006418247799804139,0.014533001035620023,-0.01374680837013031,0.36,0.018392992601163612,0.07
A2_refit,adjacent,trend,0.3,2,100,0.016999154719022375,0.016951862264415977,-0.004062143416470576,0.14,0.03827869600454575,0.02
A2_refit,adjacent,trend,0.3,3,100,0.029190074719352564,0.017591427040985857,0.0073792780666636585,0.07,0.05210026898710993,0.01
A2_refit,adjacent,trend,0.3,5,100,0.05572465499245914,0.015099986545186465,0.03564053155162681,0.0,0.07572219769581198,0.0
A2_refit,adjacent,trend,0.3,10,100,0.0996737065400768,0.01191870155161135,0.0823640277582335,0.0,0.12191006364644577,0.0
