fold,n_test,n_test_condition_cells,pooled_r2,pooled_mae
0,1340,55,0.8072839404237291,0.24932431257518567
1,1340,56,0.6272942149856957,0.29839808829282227
2,1340,54,0.7280966364107737,0.23183734524599464
3,1340,55,0.7192044163466573,0.1992710196870526
4,1339,54,0.8270610234250694,0.18788396030490448
