design,order,budget,n_flat_fallbacks
BP,RANDOM,6,7
BP,MAXMIN,6,32
BP,AOPT,6,0
BP,UNCERT,6,0
BP,RANDOM,9,1
BP,MAXMIN,9,3
BP,AOPT,9,0
BP,UNCERT,9,0
BP,RANDOM,12,0
BP,MAXMIN,12,0
BP,AOPT,12,0
BP,UNCERT,12,0
BP,RANDOM,16,0
BP,MAXMIN,16,0
BP,AOPT,16,0
BP,UNCERT,16,0
BP,RANDOM,20,0
BP,MAXMIN,20,0
BP,AOPT,20,0
BP,UNCERT,20,0
BP,RANDOM,24,0
BP,MAXMIN,24,0
BP,AOPT,24,0
BP,UNCERT,24,0
BP,FULL,full,0
