grouping,pair_label,n_rows,baseline_mae,baseline_sign_accuracy,2d_ensemble_mae,2d_ensemble_sign_accuracy,delta3d_unshrunk_mae,delta3d_unshrunk_sign_accuracy,delta3d_mae,delta3d_sign_accuracy,simplicial_unshrunk_mae,simplicial_unshrunk_sign_accuracy,simplicial_mae,simplicial_sign_accuracy,mae_reduction_simplicial_vs_delta3d
pair_type,Sm-Eu,106,0.1630010427267819,0.7169811320754716,0.1629565628521399,0.7264150943396226,0.16689784165507074,0.7547169811320755,0.1633653051533219,0.7264150943396226,0.19546506104969175,0.6509433962264151,0.1628066004581567,0.7264150943396226,0.0005587046951651964
pair_type,Gd-Tb,98,0.11738915619549138,0.8979591836734694,0.11641914800838156,0.8979591836734694,0.12597294013381583,0.9387755102040817,0.12218892411433756,0.8877551020408163,0.18015770737711287,0.9183673469387755,0.12602765314810307,0.8877551020408163,-0.0038387290337655172
pair_type,Dy-Ho,96,0.1119908242937781,0.75,0.11136595121646688,0.7395833333333334,0.10560511221936168,0.8020833333333334,0.11025545604937763,0.7916666666666666,0.12436500517163572,0.5729166666666666,0.10938965358754345,0.78125,0.0008658024618341809
pair_type,Ho-Er,96,0.10916089343838282,0.6770833333333334,0.10906718721166753,0.6770833333333334,0.08516578130249915,0.6979166666666666,0.10344019058562388,0.6770833333333334,0.09788047183886193,0.4166666666666667,0.10384006875668929,0.6770833333333334,-0.00039987817106540424
pair_type,La-Ce,95,0.20145242490231027,0.8210526315789474,0.19964474856849682,0.8210526315789474,0.18312349606838763,0.8315789473684211,0.19456917015577346,0.8315789473684211,0.18898729955137733,0.8105263157894737,0.19363205655625412,0.8315789473684211,0.0009371135995193403
pair_type,Er-Tm,89,0.07402160093648477,0.5280898876404494,0.07446171681256969,0.5168539325842697,0.07008855549273593,0.5056179775280899,0.07335057930987601,0.5056179775280899,0.08674679193080695,0.4606741573033708,0.07247893959230035,0.5056179775280899,0.0008716397175756591
pair_type,Tb-Dy,88,0.15005870013080355,0.6136363636363636,0.15027750476279406,0.6022727272727273,0.13769668371128294,0.7727272727272727,0.14556672191811448,0.7840909090909091,0.1381651857935016,0.8181818181818182,0.14657448286319608,0.7840909090909091,-0.0010077609450815928
pair_type,Tm-Yb,86,0.054106020730894516,0.5116279069767442,0.05449796640801221,0.5,0.060043921300981594,0.5232558139534884,0.05560044013727785,0.4883720930232558,0.0630244859346082,0.4883720930232558,0.055351368161860086,0.5232558139534884,0.00024907197541776394
pair_type,Eu-Gd,83,0.10317288728065135,0.7469879518072289,0.10347229969039216,0.7469879518072289,0.097230633729109,0.7469879518072289,0.10013846963409805,0.7469879518072289,0.14689377675247775,0.43373493975903615,0.09848048993074074,0.7469879518072289,0.0016579797033573068
pair_type,Yb-Lu,82,0.09886531731799761,0.573170731707317,0.09969386412477095,0.573170731707317,0.08790741154573116,0.5487804878048781,0.09827256703043054,0.5487804878048781,0.08899845328885998,0.4878048780487805,0.09831933404864494,0.5487804878048781,-4.676701821440532e-05
pair_type,Ce-Pr,81,0.15747193445795674,0.8395061728395061,0.15777157803057512,0.8395061728395061,0.15859298036883682,0.8148148148148148,0.16041212832843993,0.8148148148148148,0.16037683438957337,0.8024691358024691,0.16537976919561848,0.8148148148148148,-0.004967640867178547
pair_type,Pr-Nd,81,0.11761849567264478,0.7901234567901234,0.11705928577624325,0.7901234567901234,0.13283634992145602,0.7777777777777778,0.12378772352879673,0.7901234567901234,0.17558494738303382,0.5308641975308642,0.12794067474774196,0.7777777777777778,-0.004152951218945225
