design,regime,n_tasks,e_random,G14,ORACLE,DENTATE_wm,G14_over_oracle,DENTATE_over_oracle,oracle_frac_of_e_random,frac_direction_slots_saveable
B,pooled,455,6.905645338426908,2.2065445536908452,1.6195154889812517,1.6238331520106004,1.362472028642876,1.0026660214482201,0.23452051323420184,0.989010989010989
B,within_publication,1230,6.237882634528976,0.009434818794574893,0.0446056314958754,0.010148151306687893,0.21151631482781075,0.22750829808622422,0.007150764788193804,0.36585365853658536
B,within_chemotype,1335,5.506297815238748,0.37470864257024555,0.44086550309221373,0.37470864257024555,0.8499386773110019,0.8499386773110019,0.08006568440088964,0.5168539325842697
BR,pooled,455,6.905645338426908,2.1492837329594243,1.6195154889812517,1.64173184790828,1.327115268475401,1.01371790456972,0.23452051323420184,0.989010989010989
BR,within_publication,1230,6.237882634528976,0.008598634879122683,0.0446056314958754,0.010025299903348685,0.1927701635592309,0.2247541300760579,0.007150764788193804,0.36585365853658536
BR,within_chemotype,1335,5.506297815238748,0.29312077393359787,0.44086550309221373,0.29312077393359787,0.6648757316634212,0.6648757316634212,0.08006568440088964,0.5168539325842697
BQ,pooled,455,6.905645338426908,2.1789980625836822,1.6195154889812517,1.5905272615281398,1.3454629346918876,0.9821006790917778,0.23452051323420184,0.989010989010989
BQ,within_publication,1230,6.237882634528976,0.009028314729534243,0.0446056314958754,0.009741647241647243,0.20240302461291404,0.2183950078713275,0.007150764788193804,0.36585365853658536
BQ,within_chemotype,1335,5.506297815238748,0.37469185682973205,0.44086550309221373,0.37469185682973205,0.8499006027953145,0.8499006027953145,0.08006568440088964,0.5168539325842697
A,pooled,455,6.905645338426908,2.4915092721446888,1.6195154889812517,1.4784029338389784,1.5384288011422234,0.9128674247931772,0.23452051323420184,0.989010989010989
A,within_publication,1230,6.237882634528976,0.007605550501891964,0.044605631495875396,0.007321584242315949,0.17050650886077548,0.16414035620127837,0.007150764788193803,0.36585365853658536
A,within_chemotype,1335,5.506297815238748,0.4189504251586381,0.44086550309221373,0.33177814051444343,0.950290785330528,0.752560901652237,0.08006568440088964,0.5168539325842697
BP,pooled,455,6.905645338426908,1.9882198208352135,1.6195154889812517,1.353818707457593,1.2276633563325123,0.8359405739979714,0.23452051323420184,0.989010989010989
BP,within_publication,1230,6.237882634528976,0.0046240491667320915,0.0446056314958754,0.007196932471322715,0.10366514297997706,0.16134582629971736,0.007150764788193804,0.36585365853658536
BP,within_chemotype,1335,5.506297815238748,0.3334504504445281,0.44086550309221373,0.3334504504445281,0.7563541445309724,0.7563541445309724,0.08006568440088964,0.5168539325842697
