design,check,point,ci_low,ci_high,p_two_sided,p_perm_leadseed,p_perm_altseed,p_perm_per_seed_max,null_sd_pooled,null_sd_single_seed,n_tasks,n_ext,n_blocks,extra1,extra2,extra3,loco_min,loco_max,worst_block
BR,seed_130363,2.590910545185261,,,,,,,,,91.0,,,,,,,,
BR,seed_155921,2.094371465768919,,,,,,,,,91.0,,,,,,,,
BR,seed_196613,1.9550197282652944,,,,,,,,,91.0,,,,,,,,
BR,seed_262147,1.8196714549822819,,,,,,,,,91.0,,,,,,,,
BQ,headline,2.1789980625836822,0.4682765413067176,4.069607086751335,0.01,0.0,0.0,0.0,0.1487953420739875,0.33879185841367954,455.0,90.0,45.0,,,,,,
BQ,e_random_e_model,2.1789980625836822,,,,,,,,,,,,6.905645338426908,4.726647275843226,0.31553865798153685,,,
BQ,saved_heavy,0.6678174960682433,,,,,,,,,,,,,,,,,
BQ,saved_light,3.69017862909912,,,,,,,,,,,,,,,,,
BQ,drop_sc009_diglycolamides,1.479286917061799,0.2109613316685624,2.4071290690655753,0.02,,0.0,,,,455.0,67.0,44.0,,,,,,
BQ,sc009_only,0.4837112722366864,,,,,,,,,455.0,23.0,1.0,,,,,,
BQ,width_matched_nmetals_hi,-0.9752506960904725,,,,,,,,,455.0,90.0,,,,,,,
BQ,width_matched_nmetals_lo,-0.8878654176588435,,,,,,,,,455.0,90.0,,,,,,,
BQ,width_matched_dentate_hi,1.5905272615281398,,,,,,,,,455.0,90.0,,,,,,,
BQ,width_matched_absa_hi,-0.7989390243414544,,,,,,,,,455.0,90.0,,,,,,,
BQ,cand_nmetals_5_8,0.42477834455107183,,,,,,,,,330.0,26.0,16.0,,,,,,
BQ,cand_nmetals_9_14,1.9129934123136068,,,,,,,,,455.0,52.0,27.0,,,,,,
BQ,call_collapsed_to_chemotype,1.9027258634926523,,,,,,,,,455.0,90.0,,,,,,,
BQ,loco_chemotype,2.1789980625836822,,,,,,,,,,,45.0,,,,1.479286917061799,2.6998689686620874,sc009
BQ,lopo_publication,2.1789980625836822,,,,,,,,,,,58.0,,,,1.5327516190306765,2.5726560996712697,pub_126bbe7976
BQ,publication_blocked_bootstrap,2.1789980625836822,0.4612899804031208,4.007179692919061,0.01,,,,,,,,41.0,,,,,,
BQ,pair_bootstrap,2.1789980625836822,1.7981002254127847,2.58604968740358,0.0,,,,,,,,91.0,,,,,,
BQ,leave_one_metal_out,2.1789980625836822,,,,,,,,,,,14.0,,,,1.9651676655272972,2.3089704366692754,Yb
BQ,band_cands_le_q1,2.19473967142692,,,,,,,,,140.0,,,,,,,,
BQ,band_cands_mid,2.1343850464791863,,,,,,,,,215.0,,,,,,,,
BQ,band_cands_gt_q3,2.2528777948278136,,,,,,,,,100.0,,,,,,,,
BQ,strong_threshold_0.2,1.6390559724499774,0.4875174815708064,3.0987515775428256,,,,,,,,,,,,,,,
BQ,strong_threshold_0.3,2.1789980625836822,0.4682765413067176,4.069607086751335,,,,,,,,,,,,,,,
BQ,strong_threshold_0.5,2.722980694432865,0.5470166006597404,4.51075617057688,,,,,,,,,,,,,,,
BQ,strong_threshold_1.0,3.427941619969398,0.5019515196685327,5.326664626554481,,,,,,,,,,,,,,,
BQ,min_candidates_5,2.1789980625836822,,,,,,,,,455.0,,,,,,,,
BQ,min_candidates_10,2.1789980625836822,,,,,,,,,455.0,,,,,,,,
BQ,min_candidates_20,2.1789980625836822,,,,,,,,,455.0,,,,,,,,
BQ,seed_104729,2.2454903246959796,,,,,,,,,91.0,,,,,,,,
BQ,seed_130363,2.445842387070707,,,,,,,,,91.0,,,,,,,,
BQ,seed_155921,2.3797007232741105,,,,,,,,,91.0,,,,,,,,
BQ,seed_196613,1.9085017518675773,,,,,,,,,91.0,,,,,,,,
BQ,seed_262147,1.9154551260100354,,,,,,,,,91.0,,,,,,,,
A,headline,2.4915092721446888,0.7708890886974877,4.544156307830471,0.004,0.0,0.0,0.0,0.1512662425468023,0.3372733503480476,455.0,90.0,45.0,,,,,,
