band,comparison,value,reference,candidate,point,ci95_low,ci95_high,bca_low,bca_high,p_two_sided,bootstrap_se,mde_80,block_macro,n_units,units_improved,seeds_positive,n_seeds,loco_min,loco_max,loco_sign_stable,margin,passes_intervals,passes_P1
far,P1_M_SELECTED_vs_C_DIRECT_ROW,mae_all,C_DIRECT_ROW,M_SELECTED,0.052083114269901844,-0.04256714077000755,0.13847609407918987,-0.03463627245058584,0.14881961996165238,0.298,0.04783221504480779,0.1339302021254618,0.03530593368373763,19,13,5,5,0.016554967146259977,0.06909380033540628,True,0.02,False,False
mid,P1_M_SELECTED_vs_C_DIRECT_ROW,mae_all,C_DIRECT_ROW,M_SELECTED,-0.04059227169139753,-0.10460684398282372,-0.0018888149854550573,-0.09208146610092979,0.0030031453575195773,0.033,0.026153756707818394,0.0732305187818915,-0.07343819924782909,30,10,1,5,-0.05867052957127714,-0.032149324522206375,True,0.02,False,False
near,P1_M_SELECTED_vs_C_DIRECT_ROW,mae_all,C_DIRECT_ROW,M_SELECTED,-0.027385792030509445,-0.0883878553745895,0.03007676409960811,-0.11116876134482089,0.01587379601588677,0.379,0.029668493556439787,0.0830717819580314,-0.016857213575235917,55,22,0,5,-0.03687290815572139,-0.001144306278283779,True,0.02,False,False
