arm,quantity,macro_mae_base,macro_mae_oracle,gain,n_groups
C_DIRECT_ROW,oracle_gain_per_extractant,0.49532081290529495,0.40884950632716033,0.08647130657813462,450
C_DIRECT_ROW,oracle_gain_per_cell,0.49532081290529495,0.40490555454513694,0.09041525836015801,2605
C_DIRECT_ROW,pair_rmse,0.7802804912480723,0.2813799616701809,0.4989005295778914,70750
C_DIRECT_ROW,sign_share_of_abs_error,0.09726229289012733,,,70750
M_SELECTED,oracle_gain_per_extractant,0.5014269541262518,0.4157126133983612,0.08571434072789064,450
M_SELECTED,oracle_gain_per_cell,0.5014269541262518,0.4111376315565488,0.09028932256970301,2605
M_SELECTED,pair_rmse,0.7421855354628081,0.2994352009691726,0.4427503344936355,70750
M_SELECTED,sign_share_of_abs_error,0.10900718112162365,,,70750
M_PHYSICS_radius+radius_sq,oracle_gain_per_extractant,0.49792999555684175,0.4129201742135752,0.08500982134326657,450
M_PHYSICS_radius+radius_sq,oracle_gain_per_cell,0.49792999555684175,0.40798334204768977,0.08994665350915199,2605
M_PHYSICS_radius+radius_sq,pair_rmse,0.7270950085839847,0.30328785338372105,0.42380715520026363,70750
M_PHYSICS_radius+radius_sq,sign_share_of_abs_error,0.10550589646475696,,,70750
M_LOWRANK_K2,oracle_gain_per_extractant,0.49549797750991226,0.40559040873453434,0.08990756877537792,450
M_LOWRANK_K2,oracle_gain_per_cell,0.49549797750991226,0.40061220567646244,0.09488577183344982,2605
M_LOWRANK_K2,pair_rmse,0.7203779343113395,0.3012960500813654,0.41908188422997406,70750
M_LOWRANK_K2,sign_share_of_abs_error,0.11756697595740932,,,70750
X_ENS_DIRECT+LOWRANK_K2,oracle_gain_per_extractant,0.48098083670010805,0.39008071456357374,0.09090012213653431,450
X_ENS_DIRECT+LOWRANK_K2,oracle_gain_per_cell,0.48098083670010805,0.3851753201286675,0.09580551657144054,2605
X_ENS_DIRECT+LOWRANK_K2,pair_rmse,0.7254020125705714,0.2843930178613179,0.4410089947092535,70750
X_ENS_DIRECT+LOWRANK_K2,sign_share_of_abs_error,0.09671115202478431,,,70750
