arm,n_pairs,n_units,n_incomplete_units,max_recon_resid,nonintegrable_share_of_pred_sse,pairwise_sse,integrable_err_sse,amplitude_share,shape_share,amplitude_share_m_ge_4,n_units_m_ge_4,n_units_m_eq_2,sse_share_m_eq_2,sd_a_obs,sd_a_pred,sd_ratio
C_DIRECT_ROW,70750,2605,0,8.881784197001252e-16,1.485257867740284e-32,43075.263385330065,43075.263385330065,0.8699576422765247,0.13004235772347528,0.8707896241230477,1605,690,0.0065045621299027676,1.1820607758859925,0.4988571296356506,2.3695377006024394
M_SELECTED,70750,2605,0,8.881784197001252e-16,1.5177791862386141e-32,38971.885360302724,38971.885360302724,0.8372276118643306,0.16277238813566924,0.8374045286632682,1605,690,0.007381550247103989,1.1820607758859925,0.6241019022960618,1.8940188638060678
M_PHYSICS_radius+radius_sq,70750,2605,0,8.881784197001252e-16,1.4623821672571742e-32,37403.20096917293,37403.20096917293,0.8260086299143593,0.1739913700856407,0.8261236669142166,1605,690,0.007543415234407312,1.1820607758859925,0.6442104116319455,1.8348985898746002
M_LOWRANK_K2,70750,2605,0,8.881784197001252e-16,1.4548064443390375e-32,36715.31405316907,36715.31405316907,0.8250692842046955,0.17493071579530428,0.8251916855087491,1605,690,0.007378014929006114,1.1820607758859925,0.6517114220000412,1.8137794366996958
X_ENS_DIRECT+LOWRANK_K2,70750,2605,0,8.881784197001252e-16,1.4284463371787277e-32,37229.22164878155,37229.22164878155,0.8462977067310719,0.15370229326892815,0.8468757899242756,1605,690,0.007197891136105175,1.1820607758859925,0.5112100139736437,2.3122801658320715
