arm,macro_mae_g1,best_g,macro_mae_best_g,oracle_gain
C_DIRECT_ROW,0.49532081290529495,1.05,0.4949457643868973,0.0003750485183976471
M_SELECTED,0.5014269541262518,0.95,0.5012890775490246,0.0001378765772271917
M_PHYSICS_radius+radius_sq,0.49792999555684175,1.0,0.49792999555684175,0.0
M_LOWRANK_K2,0.49549797750991226,1.0,0.49549797750991226,0.0
X_ENS_DIRECT+LOWRANK_K2,0.48098083670010805,1.2,0.4783855576474392,0.002595279052668875
