g,macro_mae,arm
0.8,0.5011745330399957,C_DIRECT_ROW
0.85,0.4990879814339083,C_DIRECT_ROW
0.9,0.49739865638139796,C_DIRECT_ROW
0.95,0.49614458523101124,C_DIRECT_ROW
1.0,0.49532081290529495,C_DIRECT_ROW
1.05,0.4949457643868973,C_DIRECT_ROW
1.1,0.49506535721120326,C_DIRECT_ROW
1.15,0.49567766086882814,C_DIRECT_ROW
1.2,0.49675531934995953,C_DIRECT_ROW
1.25,0.49830063994042817,C_DIRECT_ROW
1.3,0.5003043872705657,C_DIRECT_ROW
1.35,0.5026541535763357,C_DIRECT_ROW
1.4,0.505322757676838,C_DIRECT_ROW
1.45,0.5083171390241318,C_DIRECT_ROW
1.5,0.5115914043287325,C_DIRECT_ROW
1.55,0.5151625231033126,C_DIRECT_ROW
1.6,0.5190019374904826,C_DIRECT_ROW
1.65,0.5231137365221536,C_DIRECT_ROW
1.7,0.5274608308238182,C_DIRECT_ROW
1.75,0.5320267626104277,C_DIRECT_ROW
1.8,0.5368307958320429,C_DIRECT_ROW
1.85,0.5418976047055164,C_DIRECT_ROW
1.9,0.5472710618268029,C_DIRECT_ROW
1.95,0.5529983788074959,C_DIRECT_ROW
2.0,0.5590124616990557,C_DIRECT_ROW
0.8,0.5033874977294183,M_SELECTED
0.85,0.502267545122457,M_SELECTED
0.9,0.5015643445013886,M_SELECTED
0.95,0.5012890775490246,M_SELECTED
1.0,0.5014269541262518,M_SELECTED
1.05,0.5019993664081883,M_SELECTED
1.1,0.502938790010431,M_SELECTED
1.15,0.5043096181748045,M_SELECTED
1.2,0.5060745136592522,M_SELECTED
1.25,0.508211393131735,M_SELECTED
1.3,0.510727620156056,M_SELECTED
1.35,0.5136882423167503,M_SELECTED
1.4,0.5171005062840204,M_SELECTED
1.45,0.5209528678616878,M_SELECTED
1.5,0.5252157256156804,M_SELECTED
1.55,0.5299188712842121,M_SELECTED
1.6,0.5350405142142153,M_SELECTED
1.65,0.5405858125558145,M_SELECTED
1.7,0.5465647356120572,M_SELECTED
1.75,0.552920852568972,M_SELECTED
1.8,0.5596211598640235,M_SELECTED
1.85,0.5666815181269239,M_SELECTED
1.9,0.5740466931910714,M_SELECTED
1.95,0.5816947779492319,M_SELECTED
2.0,0.589641405414591,M_SELECTED
0.8,0.5009106466896349,M_PHYSICS_radius+radius_sq
0.85,0.49948960902813394,M_PHYSICS_radius+radius_sq
0.9,0.4985244109806942,M_PHYSICS_radius+radius_sq
0.95,0.4980195347262681,M_PHYSICS_radius+radius_sq
1.0,0.49792999555684175,M_PHYSICS_radius+radius_sq
1.05,0.498306296383641,M_PHYSICS_radius+radius_sq
1.1,0.4991124244671773,M_PHYSICS_radius+radius_sq
1.15,0.5002768278012423,M_PHYSICS_radius+radius_sq
1.2,0.5017757824077191,M_PHYSICS_radius+radius_sq
1.25,0.5036492355610022,M_PHYSICS_radius+radius_sq
1.3,0.5059088708295996,M_PHYSICS_radius+radius_sq
1.35,0.5085811024126715,M_PHYSICS_radius+radius_sq
1.4,0.5116569056739635,M_PHYSICS_radius+radius_sq
1.45,0.5151131967949653,M_PHYSICS_radius+radius_sq
1.5,0.5189857657372211,M_PHYSICS_radius+radius_sq
1.55,0.5232981590071809,M_PHYSICS_radius+radius_sq
1.6,0.5280240076937037,M_PHYSICS_radius+radius_sq
1.65,0.533139285029099,M_PHYSICS_radius+radius_sq
1.7,0.5386423410265119,M_PHYSICS_radius+radius_sq
1.75,0.5445204605895383,M_PHYSICS_radius+radius_sq
1.8,0.5507636299349652,M_PHYSICS_radius+radius_sq
1.85,0.5573598107199106,M_PHYSICS_radius+radius_sq
1.9,0.5642665180764399,M_PHYSICS_radius+radius_sq
1.95,0.5714341055329709,M_PHYSICS_radius+radius_sq
2.0,0.578838566903017,M_PHYSICS_radius+radius_sq
0.8,0.4980432847636826,M_LOWRANK_K2
0.85,0.4967822334066712,M_LOWRANK_K2
0.9,0.4959832861736784,M_LOWRANK_K2
0.95,0.49555358452924303,M_LOWRANK_K2
1.0,0.49549797750991226,M_LOWRANK_K2
1.05,0.49580910673333634,M_LOWRANK_K2
1.1,0.49650250905915694,M_LOWRANK_K2
1.15,0.49763653904118577,M_LOWRANK_K2
1.2,0.4992465943887412,M_LOWRANK_K2
1.25,0.5013612068169621,M_LOWRANK_K2
1.3,0.5039344252519615,M_LOWRANK_K2
1.35,0.5068971675395195,M_LOWRANK_K2
1.4,0.5103216361399378,M_LOWRANK_K2
1.45,0.5142188301892909,M_LOWRANK_K2
1.5,0.5185992819020835,M_LOWRANK_K2
1.55,0.52346663962221,M_LOWRANK_K2
1.6,0.5288147316300303,M_LOWRANK_K2
1.65,0.5346330848628634,M_LOWRANK_K2
1.7,0.5409006689055329,M_LOWRANK_K2
1.75,0.5476320796813298,M_LOWRANK_K2
1.8,0.5547509638389999,M_LOWRANK_K2
1.85,0.5622513290967105,M_LOWRANK_K2
