step,full_arm,k,mae,n_ligands,delta_from_previous
OLD GLOBAL + CENTRAL + OLD ADAPTER,REC_ecfp_plus_recovered | OFFSET_K1@CENTRAL,1,0.6963986244888282,99,
NEW GLOBAL + CENTRAL + OLD ADAPTER,GEN9_SHAPE_RECOMPOSED | OFFSET_K1@CENTRAL,1,0.6656721269496029,99,0.030726497539225295
OLD GLOBAL + LEARNED ACQ + OLD ADAPTER,REC_ecfp_plus_recovered | OFFSET_K1@LEARNED_BLEND,1,0.7402611190712463,99,-0.07458899212164338
NEW GLOBAL + LEARNED ACQ + OLD ADAPTER,GEN9_SHAPE_RECOMPOSED | OFFSET_K1@LEARNED_BLEND,1,0.719051507115799,99,0.02120961195544724
NEW GLOBAL + LEARNED ACQ + NEW ADAPTER,GEN9_SHAPE_RECOMPOSED | SERIES_MAP@LEARNED_BLEND,1,0.719051507115799,99,0.0
OLD GLOBAL + CENTRAL + OLD ADAPTER,REC_ecfp_plus_recovered | OFFSET_K1@CENTRAL,2,0.6567169245096419,99,
NEW GLOBAL + CENTRAL + OLD ADAPTER,GEN9_SHAPE_RECOMPOSED | OFFSET_K1@CENTRAL,2,0.6248551295467113,99,0.03186179496293062
OLD GLOBAL + LEARNED ACQ + OLD ADAPTER,REC_ecfp_plus_recovered | OFFSET_K1@LEARNED_BLEND,2,0.6865209366147383,99,-0.061665807068027045
NEW GLOBAL + LEARNED ACQ + OLD ADAPTER,GEN9_SHAPE_RECOMPOSED | OFFSET_K1@LEARNED_BLEND,2,0.6615394040342402,99,0.024981532580498178
NEW GLOBAL + LEARNED ACQ + NEW ADAPTER,GEN9_SHAPE_RECOMPOSED | SERIES_MAP@LEARNED_BLEND,2,0.6478955984476403,99,0.013643805586599833
