full_arm,global_model,arm,k,mae,n_ligands
GEN9_A0_ROW_ONLY | NEAREST_OBSERVED@CENTRAL,GEN9_A0_ROW_ONLY,NEAREST_OBSERVED@CENTRAL,1,0.8318047597214827,99
GEN9_A0_ROW_ONLY | NEAREST_OBSERVED@CENTRAL,GEN9_A0_ROW_ONLY,NEAREST_OBSERVED@CENTRAL,2,0.7652427802847994,99
GEN9_A0_ROW_ONLY | NEAREST_OBSERVED@CENTRAL,GEN9_A0_ROW_ONLY,NEAREST_OBSERVED@CENTRAL,3,0.6963713714779662,99
GEN9_A0_ROW_ONLY | NEAREST_OBSERVED@CENTRAL,GEN9_A0_ROW_ONLY,NEAREST_OBSERVED@CENTRAL,5,0.6062102267411391,99
GEN9_A0_ROW_ONLY | NEAREST_OBSERVED@CENTRAL_THEN_SPREAD,GEN9_A0_ROW_ONLY,NEAREST_OBSERVED@CENTRAL_THEN_SPREAD,1,0.8252974768084728,99
GEN9_A0_ROW_ONLY | NEAREST_OBSERVED@CENTRAL_THEN_SPREAD,GEN9_A0_ROW_ONLY,NEAREST_OBSERVED@CENTRAL_THEN_SPREAD,2,0.6950799164142283,99
GEN9_A0_ROW_ONLY | NEAREST_OBSERVED@CENTRAL_THEN_SPREAD,GEN9_A0_ROW_ONLY,NEAREST_OBSERVED@CENTRAL_THEN_SPREAD,3,0.6004034513413431,99
GEN9_A0_ROW_ONLY | NEAREST_OBSERVED@CENTRAL_THEN_SPREAD,GEN9_A0_ROW_ONLY,NEAREST_OBSERVED@CENTRAL_THEN_SPREAD,5,0.5191199199517904,99
GEN9_A0_ROW_ONLY | NEAREST_OBSERVED@D_OPTIMAL,GEN9_A0_ROW_ONLY,NEAREST_OBSERVED@D_OPTIMAL,1,1.199971537757043,99
GEN9_A0_ROW_ONLY | NEAREST_OBSERVED@D_OPTIMAL,GEN9_A0_ROW_ONLY,NEAREST_OBSERVED@D_OPTIMAL,2,0.8021406853605014,99
GEN9_A0_ROW_ONLY | NEAREST_OBSERVED@D_OPTIMAL,GEN9_A0_ROW_ONLY,NEAREST_OBSERVED@D_OPTIMAL,3,0.6608554276600818,99
GEN9_A0_ROW_ONLY | NEAREST_OBSERVED@D_OPTIMAL,GEN9_A0_ROW_ONLY,NEAREST_OBSERVED@D_OPTIMAL,5,0.5533122148454758,99
GEN9_A0_ROW_ONLY | NEAREST_OBSERVED@MEDOID,GEN9_A0_ROW_ONLY,NEAREST_OBSERVED@MEDOID,1,0.8252974768084728,99
GEN9_A0_ROW_ONLY | NEAREST_OBSERVED@MEDOID,GEN9_A0_ROW_ONLY,NEAREST_OBSERVED@MEDOID,2,0.7720468667569355,99
GEN9_A0_ROW_ONLY | NEAREST_OBSERVED@MEDOID,GEN9_A0_ROW_ONLY,NEAREST_OBSERVED@MEDOID,3,0.7089494683909865,99
GEN9_A0_ROW_ONLY | NEAREST_OBSERVED@MEDOID,GEN9_A0_ROW_ONLY,NEAREST_OBSERVED@MEDOID,5,0.6217730265965451,99
GEN9_A0_ROW_ONLY | NEAREST_OBSERVED@ORACLE[OFFSET_K1],GEN9_A0_ROW_ONLY,NEAREST_OBSERVED@ORACLE[OFFSET_K1],1,0.6980172866980532,99
GEN9_A0_ROW_ONLY | NEAREST_OBSERVED@ORACLE[OFFSET_K1],GEN9_A0_ROW_ONLY,NEAREST_OBSERVED@ORACLE[OFFSET_K1],2,0.6243827811334424,99
