full_arm,n_records,n_ligands,n_units,nan_mae,inf_mae,min_n_eval,min_n_pool
GEN9_A0_ROW_ONLY | NEAREST_OBSERVED@CENTRAL,31500,143,31500,0,0,2,2
GEN9_A0_ROW_ONLY | NEAREST_OBSERVED@CENTRAL_THEN_SPREAD,31500,143,31500,0,0,2,2
GEN9_A0_ROW_ONLY | NEAREST_OBSERVED@D_OPTIMAL,31500,143,31500,0,0,2,2
GEN9_A0_ROW_ONLY | NEAREST_OBSERVED@MEDOID,31500,143,31500,0,0,2,2
GEN9_A0_ROW_ONLY | NEAREST_OBSERVED@ORACLE[OFFSET_K1],31500,143,31500,0,0,2,2
GEN9_A0_ROW_ONLY | NEAREST_OBSERVED@RANDOM,31500,143,31500,0,0,2,2
GEN9_A0_ROW_ONLY | NO_MODEL@CENTRAL,31500,143,31500,0,0,2,2
GEN9_A0_ROW_ONLY | NO_MODEL@CENTRAL_THEN_SPREAD,31500,143,31500,0,0,2,2
GEN9_A0_ROW_ONLY | NO_MODEL@D_OPTIMAL,31500,143,31500,0,0,2,2
GEN9_A0_ROW_ONLY | NO_MODEL@MEDOID,31500,143,31500,0,0,2,2
GEN9_A0_ROW_ONLY | NO_MODEL@ORACLE[OFFSET_K1],31500,143,31500,0,0,2,2
GEN9_A0_ROW_ONLY | NO_MODEL@RANDOM,31500,143,31500,0,0,2,2
GEN9_A0_ROW_ONLY | OFFSET_K1@CENTRAL,31500,143,31500,0,0,2,2
GEN9_A0_ROW_ONLY | OFFSET_K1@CENTRAL_THEN_SPREAD,31500,143,31500,0,0,2,2
GEN9_A0_ROW_ONLY | OFFSET_K1@D_OPTIMAL,31500,143,31500,0,0,2,2
GEN9_A0_ROW_ONLY | OFFSET_K1@MEDOID,31500,143,31500,0,0,2,2
GEN9_A0_ROW_ONLY | OFFSET_K1@ORACLE[OFFSET_K1],31500,143,31500,0,0,2,2
GEN9_A0_ROW_ONLY | OFFSET_K1@RANDOM,31500,143,31500,0,0,2,2
GEN9_A0_ROW_ONLY | OFFSET_K2@CENTRAL,31500,143,31500,0,0,2,2
GEN9_A0_ROW_ONLY | OFFSET_K2@CENTRAL_THEN_SPREAD,31500,143,31500,0,0,2,2
GEN9_A0_ROW_ONLY | OFFSET_K2@D_OPTIMAL,31500,143,31500,0,0,2,2
GEN9_A0_ROW_ONLY | OFFSET_K2@MEDOID,31500,143,31500,0,0,2,2
GEN9_A0_ROW_ONLY | OFFSET_K2@ORACLE[OFFSET_K1],31500,143,31500,0,0,2,2
GEN9_A0_ROW_ONLY | OFFSET_K2@RANDOM,31500,143,31500,0,0,2,2
GEN9_A0_ROW_ONLY | OFFSET_K3@CENTRAL,31500,143,31500,0,0,2,2
GEN9_A0_ROW_ONLY | OFFSET_K3@CENTRAL_THEN_SPREAD,31500,143,31500,0,0,2,2
GEN9_A0_ROW_ONLY | OFFSET_K3@D_OPTIMAL,31500,143,31500,0,0,2,2
GEN9_A0_ROW_ONLY | OFFSET_K3@MEDOID,31500,143,31500,0,0,2,2
GEN9_A0_ROW_ONLY | OFFSET_K3@ORACLE[OFFSET_K1],31500,143,31500,0,0,2,2
GEN9_A0_ROW_ONLY | OFFSET_K3@RANDOM,31500,143,31500,0,0,2,2
GEN9_A0_ROW_ONLY | SERIES_MAP@CENTRAL,31500,143,31500,0,0,2,2
GEN9_A0_ROW_ONLY | SERIES_MAP@CENTRAL_THEN_SPREAD,31500,143,31500,0,0,2,2
GEN9_A0_ROW_ONLY | SERIES_MAP@D_OPTIMAL,31500,143,31500,0,0,2,2
