arm,best_adapter_policy,k,mae
GEN9_A0_ROW_ONLY,ZERO_SHOT,0,1.059866963000906
GEN9_A0_ROW_ONLY,SLOPE_L_s1_K1@CENTRAL_THEN_SPREAD,1,0.6753536052185976
GEN9_A0_ROW_ONLY,SLOPE_L_s1_K3@CENTRAL_THEN_SPREAD,2,0.5898844075541246
GEN9_A0_ROW_ONLY,SLOPE_L_s1_K3@CENTRAL_THEN_SPREAD,3,0.5224146124290847
GEN9_A0_ROW_ONLY,SLOPE_L_s1_K3@D_OPTIMAL,5,0.4739515788879881
GEN9_REL_MONOLITH,ZERO_SHOT,0,1.0651898881419934
GEN9_REL_MONOLITH,SLOPE_L_s1_K1@MEDOID,1,0.6591255843529291
GEN9_REL_MONOLITH,SLOPE_L_s1_K3@CENTRAL_THEN_SPREAD,2,0.5758076617954855
GEN9_REL_MONOLITH,SLOPE_L_s1_K3@CENTRAL_THEN_SPREAD,3,0.5108601512899745
GEN9_REL_MONOLITH,SLOPE_L_s1_K3@D_OPTIMAL,5,0.4674988587972319
GEN9_SHAPE_RECOMPOSED,ZERO_SHOT,0,1.0357994416277343
GEN9_SHAPE_RECOMPOSED,SLOPE_L_s1_K1@CENTRAL_THEN_SPREAD,1,0.653872837772772
GEN9_SHAPE_RECOMPOSED,SLOPE_L_s1_K3@LEARNED_SCALAR,2,0.5746145336486465
GEN9_SHAPE_RECOMPOSED,SLOPE_L_s1_K3@CENTRAL_THEN_SPREAD,3,0.5127249638969309
GEN9_SHAPE_RECOMPOSED,SLOPE_L_s1_K3@MAX_PREDICTIVE_VARIANCE,5,0.4713181159708499
REC_ecfp_plus_recovered,ZERO_SHOT,0,1.0605303772612389
REC_ecfp_plus_recovered,SLOPE_L_s1_K3@MEDOID,1,0.6751828667813538
REC_ecfp_plus_recovered,SLOPE_L_s1_K3@MAX_PREDICTIVE_VARIANCE,2,0.5879150010234774
REC_ecfp_plus_recovered,SLOPE_L_s1_K3@LEARNED_BLEND,3,0.5207802054894238
REC_ecfp_plus_recovered,SLOPE_L_s1_K3@D_OPTIMAL,5,0.47429956979762583
