global_model,k,full_arm,arm,mae,n_ligands
GEN9_REL_MONOLITH,5,GEN9_REL_MONOLITH | SLOPE_L_s1_K3@D_OPTIMAL,SLOPE_L_s1_K3@D_OPTIMAL,0.4674988587972319,99
GEN9_SHAPE_RECOMPOSED,0,GEN9_SHAPE_RECOMPOSED | ZERO_SHOT,ZERO_SHOT,1.0357994416277343,99
GEN9_SHAPE_RECOMPOSED,1,GEN9_SHAPE_RECOMPOSED | SLOPE_L_s1_K1@CENTRAL_THEN_SPREAD,SLOPE_L_s1_K1@CENTRAL_THEN_SPREAD,0.653872837772772,99
GEN9_SHAPE_RECOMPOSED,2,GEN9_SHAPE_RECOMPOSED | SLOPE_L_s1_K3@LEARNED_SCALAR,SLOPE_L_s1_K3@LEARNED_SCALAR,0.5746145336486465,99
GEN9_SHAPE_RECOMPOSED,3,GEN9_SHAPE_RECOMPOSED | SLOPE_L_s1_K3@CENTRAL_THEN_SPREAD,SLOPE_L_s1_K3@CENTRAL_THEN_SPREAD,0.5127249638969309,99
GEN9_SHAPE_RECOMPOSED,5,GEN9_SHAPE_RECOMPOSED | SLOPE_L_s1_K3@MAX_PREDICTIVE_VARIANCE,SLOPE_L_s1_K3@MAX_PREDICTIVE_VARIANCE,0.4713181159708499,99
GEN9_X_MULTI_d2,0,GEN9_X_MULTI_d2 | ZERO_SHOT,ZERO_SHOT,1.2859988321572169,99
GEN9_X_MULTI_d2,1,GEN9_X_MULTI_d2 | NO_MODEL@CENTRAL_THEN_SPREAD,NO_MODEL@CENTRAL_THEN_SPREAD,0.8252974768084728,99
GEN9_X_MULTI_d2,2,GEN9_X_MULTI_d2 | NEAREST_OBSERVED@CENTRAL_THEN_SPREAD,NEAREST_OBSERVED@CENTRAL_THEN_SPREAD,0.6950799164142283,99
GEN9_X_MULTI_d2,3,GEN9_X_MULTI_d2 | NEAREST_OBSERVED@CENTRAL_THEN_SPREAD,NEAREST_OBSERVED@CENTRAL_THEN_SPREAD,0.6004034513413431,99
