construction,median_se,rms_se,ratio_rms_to_median
cohort median repsd 0.237,0.14763639013863222,0.3653074659065918,2.5549256497385566
frozen-cohort repsd 0.302,0.1881273832146284,0.46549727723118434,2.0050244337352248
quadratic-fit residual SE (what the summary used),0.0539072793558361,0.155648685050726,6.997199719728828
per-cell repsd propagated,0.0956594901057769,0.36549605120459355,3.943152943664089
