variant,n_cells,n_extractants,within_ss,between_ss,total_ss,within_share,within_rms
quadratic_with_intercept,182,15,25.893607866167304,38.32905930221991,64.22266716838722,0.40318487237965567,0.3771903639983754
centred_no_intercept,182,15,34.522206377424794,35.2935246388028,69.8157310162276,0.4944760425039542,0.43552549021063414
