feature,deployment_delta3d_blend_weight,component,interpretation,importance
pair__delta_Z,0.5,full_delta3d_forest_only,raw impurity importance; not an attribution of the blended predictor,0.1267435128104067
pair__delta_ionic_radius,0.5,full_delta3d_forest_only,raw impurity importance; not an attribution of the blended predictor,0.10622271959949395
pair__ionic_radius_B,0.5,full_delta3d_forest_only,raw impurity importance; not an attribution of the blended predictor,0.02974975700745775
delta3d__feat3d__complex_physical__coordination_number,0.5,full_delta3d_forest_only,raw impurity importance; not an attribution of the blended predictor,0.027361391131787427
pair__ionic_radius_A,0.5,full_delta3d_forest_only,raw impurity importance; not an attribution of the blended predictor,0.025178619065622482
pair__ionic_radius_mean,0.5,full_delta3d_forest_only,raw impurity importance; not an attribution of the blended predictor,0.022420747498449706
pair__Z_A,0.5,full_delta3d_forest_only,raw impurity importance; not an attribution of the blended predictor,0.022062700855284712
pair__Z_B,0.5,full_delta3d_forest_only,raw impurity importance; not an attribution of the blended predictor,0.020995361290471616
pair__Z_mean,0.5,full_delta3d_forest_only,raw impurity importance; not an attribution of the blended predictor,0.020597577583328062
base__ecfp_1911,0.5,full_delta3d_forest_only,raw impurity importance; not an attribution of the blended predictor,0.017730473712048445
base__MolLogP,0.5,full_delta3d_forest_only,raw impurity importance; not an attribution of the blended predictor,0.015184678770888449
delta3d__feat3d__derived_invariant__donor_angle_median_deg,0.5,full_delta3d_forest_only,raw impurity importance; not an attribution of the blended predictor,0.014582490954851
base__MolWt,0.5,full_delta3d_forest_only,raw impurity importance; not an attribution of the blended predictor,0.01429281507095026
delta3d__feat3d__complex_physical__donor_partial_charge_min,0.5,full_delta3d_forest_only,raw impurity importance; not an attribution of the blended predictor,0.013903185331950304
base__cond__acid_concentration_M,0.5,full_delta3d_forest_only,raw impurity importance; not an attribution of the blended predictor,0.013770866190285185
base__FractionCSP3,0.5,full_delta3d_forest_only,raw impurity importance; not an attribution of the blended predictor,0.013294801045868566
base__ecfp_591,0.5,full_delta3d_forest_only,raw impurity importance; not an attribution of the blended predictor,0.012321381388307543
delta3d__feat3d__complex_physical__dipole_magnitude,0.5,full_delta3d_forest_only,raw impurity importance; not an attribution of the blended predictor,0.012317524489375762
base__NumRotatableBonds,0.5,full_delta3d_forest_only,raw impurity importance; not an attribution of the blended predictor,0.012246698493143608
delta3d__feat3d__derived_invariant__shell_distance_cv,0.5,full_delta3d_forest_only,raw impurity importance; not an attribution of the blended predictor,0.012044969285006315
base__ecfp_1649,0.5,full_delta3d_forest_only,raw impurity importance; not an attribution of the blended predictor,0.011747138748870128
delta3d__feat3d__polyhedron_scalars__coreCN_donor_gap,0.5,full_delta3d_forest_only,raw impurity importance; not an attribution of the blended predictor,0.011306427066089779
