job,half,domain_status,n_row_entries,n_cells,support_score_mean,support_score_median
V5__primary,confirmation,CROSS_METAL_LIGAND_TRANSFER,2630,105,0.626792,0.643023
V5__primary,confirmation,UNSUPPORTED,92,4,0.408038,0.42089
V5__primary,selection,CROSS_METAL_LIGAND_TRANSFER,4084,105,0.711102,0.735217
V5__primary,selection,UNSUPPORTED,17,4,0.501147,0.344855
V1__copy,confirmation,CONDITION_EXTRAPOLATION,844,98,0.636584,0.617118
V1__copy,confirmation,CROSS_LIGAND_TRANSFER,1420,366,0.250576,0.250639
V1__copy,confirmation,CROSS_METAL_LIGAND_TRANSFER,763,130,0.420716,0.388251
V1__copy,confirmation,CROSS_METAL_TRANSFER,38,5,0.367628,0.335602
V1__copy,confirmation,INTERPOLATION,1526,124,0.769285,0.805371
V1__copy,confirmation,IN_DOMAIN,330,44,0.826028,0.864841
V1__copy,confirmation,UNSUPPORTED,408,90,0.242991,0.153813
V1__copy,selection,CONDITION_EXTRAPOLATION,1160,101,0.777732,0.811143
V1__copy,selection,CROSS_LIGAND_TRANSFER,1551,605,0.212258,0.231686
V1__copy,selection,CROSS_METAL_LIGAND_TRANSFER,303,84,0.375781,0.325678
V1__copy,selection,CROSS_METAL_TRANSFER,42,4,0.520388,0.53285
V1__copy,selection,INTERPOLATION,1443,108,0.788384,0.846426
V1__copy,selection,IN_DOMAIN,134,27,0.845614,0.864841
V1__copy,selection,UNSUPPORTED,613,115,0.475365,0.289494
V0__rows,none,CONDITION_EXTRAPOLATION,2474,317,0.570867,0.510402
V0__rows,none,CROSS_LIGAND_TRANSFER,66,32,0.252917,0.257071
V0__rows,none,CROSS_METAL_LIGAND_TRANSFER,4269,898,0.606237,0.63088
V0__rows,none,CROSS_METAL_TRANSFER,5,1,0.494473,0.494473
V0__rows,none,INTERPOLATION,23378,613,0.729322,0.761158
V0__rows,none,IN_DOMAIN,22510,265,0.811715,0.85391
V0__rows,none,UNSUPPORTED,173,32,0.44717,0.418201
V2__element,confirmation,CROSS_METAL_TRANSFER,5138,750,0.453125,0.496381
V2__element,confirmation,UNSUPPORTED,465,52,0.200313,0.192548
V2__element,selection,CROSS_METAL_TRANSFER,3655,565,0.455503,0.488971
V2__element,selection,UNSUPPORTED,888,86,0.186303,0.191917
