model,split_seed,extractant,n_rows,mae,offset_abs,bias,shape_mae,y_sd,rank_spearman,nn_train_tanimoto,nn_base_tanimoto,n_metals,n_conditions,n_series,ecfp_cluster,tanimoto_cluster,y_mean,prediction_mean,n_batches,n_publications,frac_name_mismatch,frac_aqueous_complexant,donor__n_total,DENTATE,coreCN,mechanism,mean_mae_over_seeds,is_worst
TREE_MC_lig2d_ext_massaction,130363,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCCOCCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,23,3.0000083631859202,3.0000083631859202,-3.0000083631859202,0.718476113977948,1.0866782550997884,0.642432541556398,0.5217391304347826,0.5106382978723404,1,23,2,a983f341ca863049,tan055,2.305955504944694,-0.6940528582412263,4,1,0.0,0.0,3.0,3.0,9.0,LEVEL_ONLY,3.2085809374520453,True
TREE_MC_lig2d_ext_massaction,155921,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCCOCCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,23,3.961835198450047,3.961835198450047,-3.961835198450047,0.7933147786644392,1.0866782550997884,0.5136393828672872,0.5106382978723404,0.5106382978723404,1,23,2,a983f341ca863049,tan055,2.305955504944694,-1.6558796935053521,4,1,0.0,0.0,3.0,3.0,9.0,LEVEL_ONLY,3.2085809374520453,True
TREE_MC_lig2d_ext_massaction,196613,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCCOCCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,23,2.8487390020278,2.836851086043801,-2.836851086043801,0.7326526330472164,1.0866782550997884,0.5831468018423629,0.5217391304347826,0.5106382978723404,1,23,2,a983f341ca863049,tan055,2.305955504944694,-0.5308955810991073,4,1,0.0,0.0,3.0,3.0,9.0,LEVEL_ONLY,3.2085809374520453,True
TREE_MC_lig2d_ext_massaction,262147,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCCOCCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,23,3.0547116644848544,3.0547116644848544,-3.0547116644848544,0.6803348362091722,1.0866782550997884,0.642432541556398,0.5217391304347826,0.4897959183673469,1,23,2,a983f341ca863049,tan055,2.305955504944694,-0.7487561595401607,4,1,0.0,0.0,3.0,3.0,9.0,LEVEL_ONLY,3.2085809374520453,True
TREE_MC_lig2d_ext_massaction,104729,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCc1cccc(CNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)c1,37,3.038666157772822,3.038666157772822,-3.038666157772822,0.8803440144733959,1.3982571666247858,0.820879707918467,0.44642857142857145,0.44642857142857145,1,37,4,690782a8b84aa453,tan055,1.6628636383466882,-1.3758025194261345,4,1,0.0,0.0,3.0,3.0,9.0,LEVEL_ONLY,3.127360467170056,True
TREE_MC_lig2d_ext_massaction,130363,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCc1cccc(CNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)c1,37,2.8760286921385982,2.8760286921385982,-2.8760286921385982,0.7971854706064327,1.3982571666247858,0.8440569256940721,0.4528301886792453,0.4528301886792453,1,37,4,690782a8b84aa453,tan055,1.6628636383466882,-1.2131650537919108,4,1,0.0,0.0,3.0,3.0,9.0,LEVEL_ONLY,3.127360467170056,True
TREE_MC_lig2d_ext_massaction,155921,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCc1cccc(CNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)c1,37,3.6371509644634714,3.6371509644634714,-3.6371509644634714,0.9963945445286002,1.3982571666247858,0.8385108524083087,0.4528301886792453,0.4528301886792453,1,37,4,690782a8b84aa453,tan055,1.6628636383466882,-1.9742873261167833,4,1,0.0,0.0,3.0,3.0,9.0,LEVEL_ONLY,3.127360467170056,True
TREE_MC_lig2d_ext_massaction,196613,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCc1cccc(CNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)c1,37,2.942426401410649,2.942426401410649,-2.942426401410649,0.8260380474984376,1.3982571666247858,0.8351156541558814,0.4528301886792453,0.4528301886792453,1,37,4,690782a8b84aa453,tan055,1.6628636383466882,-1.2795627630639603,4,1,0.0,0.0,3.0,3.0,9.0,LEVEL_ONLY,3.127360467170056,True
TREE_MC_lig2d_ext_massaction,262147,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCc1cccc(CNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)c1,37,3.1425301200647398,3.1425301200647398,-3.1425301200647398,0.7731125510675784,1.3982571666247858,0.7973676142884435,0.44642857142857145,0.44642857142857145,1,37,4,690782a8b84aa453,tan055,1.6628636383466882,-1.4796664817180514,4,1,0.0,0.0,3.0,3.0,9.0,LEVEL_ONLY,3.127360467170056,True
TREE_MC_lig2d_ext_massaction,104729,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCCCCCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,11,2.743184052528825,2.743184052528825,-2.743184052528825,0.8115299509115725,1.2710004765845633,0.92879698954084,0.5227272727272727,0.4897959183673469,1,11,2,5ba4ad363617d4ee,tan055,1.598709354691089,-1.1444746978377363,2,1,0.0,0.0,3.0,3.0,9.0,LEVEL_ONLY,2.7517324056804933,True
