arm,macro_mae_extractant,macro_mae_extractant_seed_sd,macro_mae_chemotype,macro_mae_adjacent,macro_mae_far,macro_sign_acc_strong,macro_pair_spearman,pooled_mae,pooled_mae_adjacent,pooled_mae_far,pooled_sign_acc_strong,n_units_mae_all,n_units_adjacent,n_units_far,n_units_sign,n_seeds,macro_curve_spearman
V2_BAG_MIX3,0.4577494125024161,0.009888130430619235,0.5054131894255693,0.1749899447941191,0.591142756681897,0.7705708751525737,0.5171677352601183,0.468226540094822,0.15791017930038995,0.6979761755470187,0.8579162031887282,90,83,88,86,5,0.4992725432127189
V2_BAG_MIX5,0.4584826641003426,0.0076399245040583,0.5052635024882871,0.176815821070608,0.5923598771911163,0.7727364664129807,0.5268445411459719,0.460421503032431,0.15596189248104178,0.6875614385865786,0.8711407736991719,90,83,88,86,5,0.5096638239669199
V2_BAG4@lean,0.46757617641190385,0.005592997136841059,0.5136560535792489,0.1817042915945829,0.6059245135402678,0.7647849204837265,0.5103048456733921,0.4556443612037548,0.15660948116587958,0.6778704667558612,0.8728958101594364,90,83,88,86,5,0.508382865777326
V2_DIRECT@cond,0.4709444031949552,0.013407600507749003,0.5274370272742223,0.17576711463713882,0.6075116854137198,0.755435045249784,0.5053095436697715,0.5247846205928713,0.17031366969737613,0.7938709951884398,0.792930416512174,90,83,88,86,5,0.4866587731759722
V2_CAL_BAG4@lean,0.47458550472398064,0.017434308850883786,0.5162721472009866,0.18404802098843423,0.615153074392772,0.7647849204837265,0.5103048456733921,0.45871493914398004,0.16007750089366474,0.6795812181488886,0.8728958101594364,90,83,88,86,5,0.508382865777326
V2_LOWRANK_K2@lean,0.4765393160214201,0.014331402468360255,0.5277940069691329,0.18610185168607846,0.6165303646919074,0.7662104230763044,0.48914715663698816,0.46199348479095115,0.1628581208301758,0.6793609198840449,0.8470646397231492,90,83,88,86,5,0.5149995118830031
V2_PHYSICS@lean,0.4822949212489055,0.0042240802213796376,0.5278554906139287,0.18476324441311653,0.6279840715991989,0.7706117451475348,0.4859044880731533,0.4699310146987619,0.16197994073700775,0.6962403889396866,0.860684711407737,90,83,88,86,5,0.5186250794054891
V2_BAG4@cond,0.4836621450117158,0.021976154146074105,0.5301952953351469,0.18085765139438287,0.6309177837365595,0.7236459614744235,0.45441270071659445,0.5407634699013144,0.17138663065873666,0.8186174306653459,0.7585959708317884,90,83,88,86,5,0.44209704736265343
V2_BAG4,0.4844277000361295,0.005107831096470589,0.5297801869555112,0.18381596704675598,0.6367216008448559,0.7484351766907755,0.4902848533402392,0.4854450283612269,0.16162458877186414,0.7292419326276872,0.8652329749103943,90,83,88,86,5,0.4657720141528528
V2_DIRECT@lean,0.48766124353650087,0.013816165931462981,0.5304112319582638,0.18441145302412673,0.6374369352279989,0.7333351404737777,0.4762383855922322,0.48473546838843284,0.16146123082020655,0.7297833737231705,0.8528982820417748,90,83,88,86,5,0.45575031043162734
C_DIRECT_ROW,0.49532081290529495,0.01852195881294761,0.5365246496736488,0.1841089568018473,0.6539652711907815,0.7218431230559683,0.4626349332498739,0.5245128768639454,0.16797196484692728,0.7985367314276824,0.8150537634408602,90,83,88,86,5,0.4107171569319119
M_LOWRANK_K2,0.49549797750991226,0.009641383976394871,0.5465608371071679,0.18874024784060475,0.6523929729977835,0.7297029967386971,0.42261006712854615,0.489728587124164,0.16638363025353947,0.7301611397246595,0.8301075268817204,90,83,88,86,5,0.4166873863141559
M_PHYSICS_radius+radius_sq,0.49792999555684175,0.007321158742346639,0.5424761748830363,0.18845974223300307,0.6571930224937601,0.7440131833137927,0.45133693414764553,0.4911850928941966,0.1656217394482363,0.7332395555216441,0.8521814361636386,90,83,88,86,5,0.4620516417798714
V2_PHYSICS@cond,0.4987583296548498,0.02892895077052989,0.543142159977895,0.1878086032816934,0.6531746682113412,0.7072329657178804,0.4087607391646288,0.572284648675956,0.18119103147411025,0.8625661627400423,0.6843900630329997,90,83,88,86,5,0.4165771344848485
V2_LOWRANK_K2@cond,0.5001269532504867,0.024320605175545053,0.5444277302039431,0.19044391290990526,0.6516175949365439,0.7083916678180612,0.38884460359062484,0.5639111874834445,0.18035365024733735,0.8478903245111533,0.7126683969843035,90,83,88,86,5,0.39785507469253234
B1_MEAN_CURVE,0.6032535776161899,0.014678601108058482,0.6495489717885915,0.20989492120248032,0.8187500459856366,0.6197793712385706,0.2709750673120821,0.5914108306051475,0.18477033785378733,0.9094161302792492,0.7879619330119886,90,83,88,86,5,0.20433513488574806
