extractant,extractant_name,n_rows_bundle,n_lanthanides_bundle,n_lanthanides_after_quarantine,n_rows_todga_quarantined,n_rows_sentinel,n_missing_publication_id,n_publications,in_chem_map,chemotype,chem_family,n_cells_frozen,n_cells_no_pub_in_key,n_cells_key_relaxed,n_cells_key_series,n_cells_key_none,n_cells_no_quarantine,exclusion_rule,kept,n_cells_frozen_gt0
C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1,2-5-8-15-18-21-hexaoxatricyclo[20.4.0.09-14]hexacosane,5,5,5,0,0,0,1,True,sc000,podand_ether,1,1,1,1,1,1,kept,True,True
C1COCCOCCOCCOCCOCCO1,1-4-7-10-13-16-hexaoxacyclooctadecane,5,5,5,0,0,0,1,True,sc001,podand_ether,1,1,1,1,1,1,kept,True,True
CC(C)CCCC(C)CCCCN(C)C(=O)COCC(=O)N(C)CCCCC(C)CCCC(C)C,DMDdecdDGA,14,14,14,0,0,0,1,True,sc007,diglycolamide,1,1,1,1,1,1,kept,True,True
CC(C)CCCCCP(=O)(CC(=O)N(CC(C)C)CC(C)C)c1ccccc1,6-MH-C9-B8D(iB)CMPO,6,6,6,0,0,0,1,True,sc008,phosphoryl,1,1,1,1,1,1,kept,True,True
CC(C)CN(CC(C)C)C(=O)COCC(=O)N(CC(C)C)CC(C)C,TIBDGA,8,8,8,0,0,0,1,True,sc010,diglycolamide,1,1,1,1,1,1,kept,True,True
CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)CCC6(C)C)n4)n3)nnc21,5-5-8-8-tetramethyl-3-[6-[6-(5-5-8-8-tetramethyl-6-7-dihydro-1-2-4-benzotriazin-3-yl)-2-pyridinyl]-2-pyridinyl]-6-7-dihydro-1-2-4-benzotriazine,19,14,14,0,0,0,2,True,sc012,n_heterocyclic_polydentate,1,1,1,1,1,1,kept,True,True
CC12CCC(c3nnc(-c4cccc(-c5nnc6c(n5)C5(C)CCC6C5(C)C)n4)nc31)C2(C)C,CA-BTP,22,14,14,0,0,0,2,True,sc015,n_heterocyclic_polydentate,1,1,1,1,1,1,kept,True,True
CCCCC(CC)CN(C)C(=O)COCC(=O)N(C)CC(CC)CCCC,DMDetHDGA,14,14,14,0,0,0,1,True,sc009,diglycolamide,1,1,1,1,1,1,kept,True,True
CCCCC(CC)CN(CC(=O)N(CC(CC)CCCC)CC(CC)CCCC)CC(=O)N(CC(CC)CCCC)CC(CC)CCCC,ADAAM(EH),22,2,2,0,0,0,1,True,sc016,amide_other,1,1,1,1,1,1,kept,True,True
CCCCC(CC)CN(CC(CC)CCCC)C(=O)COCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,TEHDGA,185,14,14,0,0,0,16,True,sc009,diglycolamide,6,6,12,13,7,6,kept,True,True
CCCCC(CC)CP(=O)(CC(=O)N(CC(C)C)CC(C)C)c1ccccc1,2-EH-C9-B8D(iB)CMPO,6,6,6,0,0,0,1,True,sc017,phosphoryl,1,1,1,1,1,1,kept,True,True
CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,DBD1MHDGA,134,6,6,0,0,0,1,True,sc018,diglycolamide,17,17,17,18,1,17,kept,True,True
CCCCCCC(CCCC)CCCN(C)C(=O)COCC(=O)N(C)CCCC(CCCC)CCCCCC,DMDdecHDGA,14,14,14,0,0,0,1,True,sc009,diglycolamide,1,1,1,1,1,1,kept,True,True
CCCCCCCCC(C)(C)SCC1CN(C(=O)COCC(=O)N2CC(C)C(CSC(C)(C)CCCCCCCC)C2)CC1C,cPSNDGA,14,14,14,0,0,0,1,True,sc019,diglycolamide,1,1,1,1,1,1,kept,True,True
CCCCCCCCCCCCN(C)C(=O)C1CC(OC)CC(C(=O)N(C)CCCCCCCCCCCC)O1,DMDO-HPyranDGA,72,7,7,0,0,0,1,True,sc020,diglycolamide,3,3,3,6,1,3,kept,True,True
CCCCCCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCCCCCC,DODDdDGA,13,13,13,0,0,0,1,True,sc009,diglycolamide,1,1,1,1,1,1,kept,True,True
CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COC1CCCN(CCCCCC)C1=O,N-N-didodecyl-2-(1-hexyl-2-oxopiperidin-3-yl)oxyacetamide,14,14,14,0,0,0,1,True,sc021,diglycolamide,1,1,1,1,1,1,kept,True,True
CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC,TDdDGA,267,14,14,0,0,0,4,True,sc009,diglycolamide,21,21,18,37,2,21,kept,True,True
CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCCOCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC,DOODA (C12),202,14,14,0,0,0,1,True,sc009,amide_other,10,10,6,28,1,10,kept,True,True
CCCCCCCCCCN(CCCCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,mTDDGA,45,9,9,0,0,0,1,True,sc027,diglycolamide,5,5,5,0,1,5,kept,True,True
CCCCCCCCCCN(CCCCCCCCCC)C(=O)COCC(=O)N(CCCCCC)CCCCCC,DHD2DGA,215,14,14,0,0,0,1,True,sc009,diglycolamide,20,20,20,22,1,20,kept,True,True
CCCCCCCCCCN(CCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCCCC)CCCCCCCCCC,TDDGA,59,8,8,0,0,0,3,True,sc009,diglycolamide,14,14,14,1,1,14,kept,True,True
CCCCCCCCCCN(CCCCCCCCCC)C(=O)[C@H](C)O[C@H](CC)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,Et-Me-TDDGA-Syn,14,14,14,0,0,0,1,True,sc027,diglycolamide,1,1,1,1,1,1,kept,True,True
CCCCCCCCCCN(CCCCCCCCCC)C(=O)[C@H](CCC)O[C@H](CCC)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,p-TDDGA-Syn,13,13,13,0,0,0,1,True,sc028,diglycolamide,1,1,1,1,1,1,kept,True,True
CCCCCCCCN(C(=O)c1ccc2ccc3cccnc3c2n1)c1ccc(C)cc1,N-(4-methylphenyl)-N-octyl-1-10-phenanthroline-2-carboxamide,14,14,14,0,0,0,1,True,sc029,n_heterocyclic_polydentate,1,1,1,1,1,1,kept,True,True
