# regime: cohort=sys_5cb78e5000d40860 (TODGA / nitrate / aliphatic), corpus-parameterised, nitrate Pr/Nd feed (assumed); holdout=none (computed regimes); averaging_unit=reference regime x beta grid; status_of_parameters=exploratory (DESIGN 13.5), D source nearest (decision m1_adopted = False), complexant betas ASSUMED_PLACEHOLDER sweep (U3), feed_status assumed
variant,log_beta_Nd,delta_log_beta,log_k_h,complexant_M,status,purity_mol,recovery_from_feed,recovery_total,enrichment_factor_Pr,complexant_mol_per_kg_oxide,consumption_index,regime_status,flags
none (TODGA only),,,,0.0,converged_newton,0.8806094833990353,0.5700313817820131,0.570031381782013,2.458624879289395,0.0,1098.506238804459,INADMISSIBLE,COST_INCOMPLETE|EQUILIBRIUM_ACID_ASSUMED_NOMINAL|HIGH_LOADING|LIGAND_LOSS_NOT_MEASURED|OA_ASSUMED|THIRD_PHASE_RISK
feed,1.0,0.0,2.0,0.05,converged_newton,0.8806072001611445,0.5700297029023257,0.5700297029023254,2.458571486582387,0.6951472870431424,1099.2046214664338,INADMISSIBLE,COST_INCOMPLETE|EQUILIBRIUM_ACID_ASSUMED_NOMINAL|HIGH_LOADING|LIGAND_LOSS_NOT_MEASURED|OA_ASSUMED|OOD_COMPLEXANT|THIRD_PHASE_RISK
feed,1.0,0.5,2.0,0.05,converged_newton,0.8806948695808486,0.570093111343684,0.5700931113436843,2.4606230720806077,0.6950699694872744,1099.082362750454,INADMISSIBLE,COST_INCOMPLETE|EQUILIBRIUM_ACID_ASSUMED_NOMINAL|HIGH_LOADING|LIGAND_LOSS_NOT_MEASURED|OA_ASSUMED|OOD_COMPLEXANT|THIRD_PHASE_RISK
feed,1.0,1.0,2.0,0.05,converged_newton,0.8809706708812195,0.5702926067916548,0.5702926067916542,2.4670969118938504,0.6948268253656745,1098.6978900680074,INADMISSIBLE,COST_INCOMPLETE|EQUILIBRIUM_ACID_ASSUMED_NOMINAL|HIGH_LOADING|LIGAND_LOSS_NOT_MEASURED|OA_ASSUMED|OOD_COMPLEXANT|THIRD_PHASE_RISK
feed,1.0,1.5,2.0,0.05,converged_newton,0.8818288154338673,0.5709134973018636,0.570913497301863,2.487433290587479,0.6940711743184547,1097.5030136169273,INADMISSIBLE,COST_INCOMPLETE|EQUILIBRIUM_ACID_ASSUMED_NOMINAL|HIGH_LOADING|LIGAND_LOSS_NOT_MEASURED|OA_ASSUMED|OOD_COMPLEXANT|THIRD_PHASE_RISK
feed,2.5,0.0,2.0,0.05,converged_newton,0.8805388157904781,0.569979417395159,0.5699794173951593,2.456973288344741,0.6952086152820529,1099.3015970065721,INADMISSIBLE,COST_INCOMPLETE|EQUILIBRIUM_ACID_ASSUMED_NOMINAL|HIGH_LOADING|LIGAND_LOSS_NOT_MEASURED|OA_ASSUMED|OOD_COMPLEXANT|THIRD_PHASE_RISK
feed,2.5,0.5,2.0,0.05,converged_newton,0.883129286732334,0.5718540847393186,0.5718540847393191,2.518821188646085,0.6929295638190527,1095.6978371309558,INADMISSIBLE,COST_INCOMPLETE|EQUILIBRIUM_ACID_ASSUMED_NOMINAL|HIGH_LOADING|LIGAND_LOSS_NOT_MEASURED|OA_ASSUMED|OOD_COMPLEXANT|THIRD_PHASE_RISK
feed,2.5,1.0,2.0,0.05,converged_newton,0.8902549099931122,0.5770228987750117,0.5770228987750086,2.7040083218825197,0.6867224894328963,1085.8828742040764,INADMISSIBLE,COST_INCOMPLETE|EQUILIBRIUM_ACID_ASSUMED_NOMINAL|HIGH_LOADING|LIGAND_LOSS_NOT_MEASURED|OA_ASSUMED|OOD_COMPLEXANT|THIRD_PHASE_RISK
feed,2.5,1.5,2.0,0.05,converged_newton,0.9062344342731538,0.5886813168513826,0.5886813168513828,3.22163197562012,0.6731224351164478,1064.377730135368,INADMISSIBLE,COST_INCOMPLETE|EQUILIBRIUM_ACID_ASSUMED_NOMINAL|HIGH_LOADING|LIGAND_LOSS_NOT_MEASURED|OA_ASSUMED|OOD_COMPLEXANT|THIRD_PHASE_RISK
feed,4.0,0.0,2.0,0.05,converged_newton,0.8791369214906829,0.5689475775980944,0.5689475775980929,2.424608442141445,0.6964694413137583,1101.295283563001,INADMISSIBLE,COST_INCOMPLETE|EQUILIBRIUM_ACID_ASSUMED_NOMINAL|HIGH_LOADING|LIGAND_LOSS_NOT_MEASURED|OA_ASSUMED|OOD_COMPLEXANT|THIRD_PHASE_RISK
feed,4.0,0.5,2.0,0.05,converged_newton,0.9095255318111417,0.5910756151506338,0.5910756151506305,3.3509473262393374,0.670395785834572,1060.0662042938382,INADMISSIBLE,COST_INCOMPLETE|EQUILIBRIUM_ACID_ASSUMED_NOMINAL|HIGH_LOADING|LIGAND_LOSS_NOT_MEASURED|OA_ASSUMED|OOD_COMPLEXANT|THIRD_PHASE_RISK
feed,4.0,1.0,2.0,0.05,converged_newton,0.9451207097023338,0.6174575185756519,0.6174575185756518,5.7406033288451965,0.641752006552027,1014.7731057656639,INADMISSIBLE,COST_INCOMPLETE|EQUILIBRIUM_ACID_ASSUMED_NOMINAL|HIGH_LOADING|LIGAND_LOSS_NOT_MEASURED|OA_ASSUMED|OOD_COMPLEXANT|THIRD_PHASE_RISK
feed,4.0,1.5,2.0,0.05,converged_newton,0.9735685636774924,0.6389595511132363,0.6389595511132357,12.27791220270609,0.6201560033278792,980.6243332801087,INADMISSIBLE,COST_INCOMPLETE|EQUILIBRIUM_ACID_ASSUMED_NOMINAL|HIGH_LOADING|LIGAND_LOSS_NOT_MEASURED|OA_ASSUMED|OOD_COMPLEXANT|THIRD_PHASE_RISK
scrub_only,1.0,0.0,2.0,0.05,converged_newton,0.8806385221694343,0.5699593260810293,0.5699593260810296,2.459304118814352,1.7627151867045454,1100.4078299309888,INADMISSIBLE,COST_INCOMPLETE|EQUILIBRIUM_ACID_ASSUMED_NOMINAL|HIGH_LOADING|LIGAND_LOSS_NOT_MEASURED|OA_ASSUMED|OOD_COMPLEXANT|THIRD_PHASE_RISK
scrub_only,1.0,0.5,2.0,0.05,converged_newton,0.8810096629335326,0.5701562632159595,0.5701562632159592,2.4680145874405603,1.7621063289212273,1100.0277391045574,INADMISSIBLE,COST_INCOMPLETE|EQUILIBRIUM_ACID_ASSUMED_NOMINAL|HIGH_LOADING|LIGAND_LOSS_NOT_MEASURED|OA_ASSUMED|OOD_COMPLEXANT|THIRD_PHASE_RISK
scrub_only,1.0,1.0,2.0,0.05,converged_newton,0.8821727668492971,0.5707736408311378,0.5707736408311376,2.495667436862084,1.7602003456640887,1098.8378935097091,INADMISSIBLE,COST_INCOMPLETE|EQUILIBRIUM_ACID_ASSUMED_NOMINAL|HIGH_LOADING|LIGAND_LOSS_NOT_MEASURED|OA_ASSUMED|OOD_COMPLEXANT|THIRD_PHASE_RISK
scrub_only,1.0,1.5,2.0,0.05,converged_newton,0.8857489812924102,0.572674004524049,0.5726740045240492,2.584219062295239,1.7543592898404872,1095.1915054761598,INADMISSIBLE,COST_INCOMPLETE|EQUILIBRIUM_ACID_ASSUMED_NOMINAL|HIGH_LOADING|LIGAND_LOSS_NOT_MEASURED|OA_ASSUMED|OOD_COMPLEXANT|THIRD_PHASE_RISK
scrub_only,2.5,0.0,2.0,0.05,converged_newton,0.8815073069424688,0.5678102065976663,0.5678102065976669,2.4797796505321923,1.769386932839694,1104.5727918838923,INADMISSIBLE,COST_INCOMPLETE|EQUILIBRIUM_ACID_ASSUMED_NOMINAL|HIGH_LOADING|LIGAND_LOSS_NOT_MEASURED|OA_ASSUMED|OOD_COMPLEXANT|THIRD_PHASE_RISK
scrub_only,2.5,0.5,2.0,0.05,converged_newton,0.8919942792502429,0.5733713588179643,0.573371358817964,2.7529229410509406,1.7522255767328745,1093.8594952749922,INADMISSIBLE,COST_INCOMPLETE|EQUILIBRIUM_ACID_ASSUMED_NOMINAL|HIGH_LOADING|LIGAND_LOSS_NOT_MEASURED|OA_ASSUMED|OOD_COMPLEXANT|THIRD_PHASE_RISK
scrub_only,2.5,1.0,2.0,0.05,converged_newton,0.9183017606893576,0.5875520990004162,0.5875520990004159,3.7467219548338364,1.709935104642027,1067.4588793551575,INADMISSIBLE,COST_INCOMPLETE|EQUILIBRIUM_ACID_ASSUMED_NOMINAL|HIGH_LOADING|LIGAND_LOSS_NOT_MEASURED|OA_ASSUMED|OOD_COMPLEXANT|THIRD_PHASE_RISK
scrub_only,2.5,1.5,2.0,0.05,converged_newton,0.9651742108701907,0.6150278220767583,0.6150278220767579,9.238117642001932,1.6335455467598852,1019.7712731823034,INADMISSIBLE,COST_INCOMPLETE|EQUILIBRIUM_ACID_ASSUMED_NOMINAL|HIGH_LOADING|LIGAND_LOSS_NOT_MEASURED|OA_ASSUMED|OOD_COMPLEXANT|THIRD_PHASE_RISK
scrub_only,4.0,0.0,2.0,0.05,converged_newton,0.8989534068591406,0.5261156408141253,0.5261156408141245,2.9654748993070834,1.909610515156436,1192.1099783143275,INADMISSIBLE,COST_INCOMPLETE|EQUILIBRIUM_ACID_ASSUMED_NOMINAL|HIGH_LOADING|LIGAND_LOSS_NOT_MEASURED|OA_ASSUMED|OOD_COMPLEXANT|THIRD_PHASE_RISK
scrub_only,4.0,0.5,2.0,0.05,converged_newton,0.9782624021296675,0.5706881807975045,0.5706881807975035,15.001081045003628,1.7604639340575492,1099.0024434802492,INADMISSIBLE,COST_INCOMPLETE|EQUILIBRIUM_ACID_ASSUMED_NOMINAL|HIGH_LOADING|LIGAND_LOSS_NOT_MEASURED|OA_ASSUMED|OOD_COMPLEXANT|THIRD_PHASE_RISK
scrub_only,4.0,1.0,2.0,0.05,converged_newton,0.9999999761053693,0.5988150956009494,0.5988150956009494,13950135.0460838,1.6777732680213449,1047.3812530265816,INADMISSIBLE,COST_INCOMPLETE|EQUILIBRIUM_ACID_ASSUMED_NOMINAL|HIGH_LOADING|LIGAND_LOSS_NOT_MEASURED|OA_ASSUMED|OOD_COMPLEXANT|THIRD_PHASE_RISK
