element,n_cells,mean_resid,boot_se,z,p_raw,median_abs_resid,p_holm
Ho,181,0.05788651261536925,0.01704841177147663,3.3954196667291945,0.0006852347927403742,0.07296018467420254,0.009593287098365239
Gd,225,-0.07154223452529478,0.02152028593750461,-3.32440910557857,0.0008860611141719055,0.06314278950213928,0.011518794484234771
Lu,169,-0.05725071454326909,0.019086759675717116,-2.9994988943097334,0.0027042410522662695,0.07432440647256561,0.032450892627195235
Nd,228,-0.0625495041255726,0.0215004254380047,-2.9092216945162632,0.0036232982393945156,0.08735111427877884,0.03985628063333967
Dy,221,0.033119930147256234,0.011848568427426391,2.79526850438675,0.005185662595989298,0.05766428719559122,0.051856625959892974
Tb,170,0.040137762345596927,0.01636119786658745,2.4532288328084806,0.014158024045374784,0.06811403453468637,0.12742221640837306
Ce,178,0.03323752780116,0.013570556421419038,2.4492383929593093,0.01431586621378844,0.060474115070263734,0.12742221640837306
Yb,166,-0.02447415839111408,0.010512118509910781,-2.32818516724673,0.01990227345480843,0.037722966800895597,0.139315914183659
Er,209,0.029376690414576696,0.014811663860068719,1.9833484402636452,0.04732852209987554,0.06167893147511405,0.2839711325992533
Tm,136,0.013044874062151162,0.009500660408577302,1.373049188283175,0.1697370556782788,0.02951921599401633,0.848685278391394
La,194,0.011721892771641877,0.01693157173864255,0.6923097839103302,0.48874280715153506,0.060985505693464545,1.0
Pr,164,0.0016557293181489016,0.018864550793903073,0.08776934771667211,0.9300600006967896,0.057010533448172,1.0
Sm,227,0.011453388288494468,0.02021375522218443,0.566613583799831,0.57097674399797,0.05590223190062665,1.0
Eu,196,0.0025529119888444197,0.009908668337338278,0.2576443071794446,0.7966814315861258,0.048468380895751104,1.0
