# regime: cohort=E1 records of sys_a7195d8a9d8696e0, band 20-30C; holdout=split-half by publication (20 seeded repeats, seed 18); averaging_unit=repeat
repeat,pubs_a,pubs_b,n_a,n_b,p_eff_a,p_eff_b,n_agree,p_eff_agree,n_fitted_both,p_eff_fitted_both,n_common_metals,intercept_r
0,"pub_0c3788daa5,pub_15b174237f,pub_58e30f4932,pub_88fa4f0145","pub_0d412f4721,pub_357f5739d1,pub_5a68dc5665,pub_92d20246e9",3.0,3.0651959511152027,2.459099919277112,3.4630401118454994,True,True,False,True,2,
1,"pub_0d412f4721,pub_15b174237f,pub_5a68dc5665,pub_92d20246e9","pub_0c3788daa5,pub_357f5739d1,pub_58e30f4932,pub_88fa4f0145",3.0290309410231617,3.2366460142231976,3.928780749851533,3.0171866382874573,True,True,True,True,2,
2,"pub_0c3788daa5,pub_357f5739d1,pub_5a68dc5665,pub_92d20246e9","pub_0d412f4721,pub_15b174237f,pub_58e30f4932,pub_88fa4f0145",3.0651959511152023,3.0,3.463040111845498,2.3881050253123117,True,True,False,True,2,
3,"pub_0c3788daa5,pub_0d412f4721,pub_15b174237f,pub_58e30f4932","pub_357f5739d1,pub_5a68dc5665,pub_88fa4f0145,pub_92d20246e9",3.0,3.0651959511152,2.754821363768891,3.463040111845499,True,True,False,True,2,
4,"pub_0d412f4721,pub_357f5739d1,pub_88fa4f0145,pub_92d20246e9","pub_0c3788daa5,pub_15b174237f,pub_58e30f4932,pub_5a68dc5665",3.034423728036907,3.0,3.437942972200762,2.754821363768869,True,True,False,True,2,
5,"pub_58e30f4932,pub_5a68dc5665,pub_88fa4f0145,pub_92d20246e9","pub_0c3788daa5,pub_0d412f4721,pub_15b174237f,pub_357f5739d1",2.8838492400312754,3.247791394216256,3.64482319449915,3.0878555847861824,True,True,True,True,2,
6,"pub_0c3788daa5,pub_0d412f4721,pub_357f5739d1,pub_5a68dc5665","pub_15b174237f,pub_58e30f4932,pub_88fa4f0145,pub_92d20246e9",3.247791394216256,2.8838492400312723,3.087855584786185,3.6448231944991525,True,True,True,True,2,
7,"pub_0d412f4721,pub_357f5739d1,pub_58e30f4932,pub_5a68dc5665","pub_0c3788daa5,pub_15b174237f,pub_88fa4f0145,pub_92d20246e9",3.2448064466021638,3.0028745805117976,3.025566672350624,3.694962148311126,True,True,True,True,2,
8,"pub_0c3788daa5,pub_357f5739d1,pub_58e30f4932,pub_5a68dc5665","pub_0d412f4721,pub_15b174237f,pub_88fa4f0145,pub_92d20246e9",3.2448064466021584,3.002934588744926,3.025566672350624,3.695498577725496,True,True,True,True,2,
9,"pub_15b174237f,pub_5a68dc5665,pub_88fa4f0145,pub_92d20246e9","pub_0c3788daa5,pub_0d412f4721,pub_357f5739d1,pub_58e30f4932",3.0290309410231613,3.2101701312869677,3.9287807498515335,2.9899982749073377,True,True,True,True,1,
10,"pub_0d412f4721,pub_357f5739d1,pub_5a68dc5665,pub_92d20246e9","pub_0c3788daa5,pub_15b174237f,pub_58e30f4932,pub_88fa4f0145",3.0651959511152027,3.0,3.4630401118454994,2.459099919277112,True,True,False,True,2,
11,"pub_15b174237f,pub_357f5739d1,pub_58e30f4932,pub_92d20246e9","pub_0c3788daa5,pub_0d412f4721,pub_5a68dc5665,pub_88fa4f0145",3.045243062407819,3.0,3.381143885394578,2.0,True,True,False,False,2,
12,"pub_0c3788daa5,pub_0d412f4721,pub_15b174237f,pub_58e30f4932","pub_357f5739d1,pub_5a68dc5665,pub_88fa4f0145,pub_92d20246e9",3.0,3.0651959511152,2.754821363768891,3.463040111845499,True,True,False,True,2,
13,"pub_0d412f4721,pub_15b174237f,pub_357f5739d1,pub_5a68dc5665","pub_0c3788daa5,pub_58e30f4932,pub_88fa4f0145,pub_92d20246e9",3.2477913942162564,2.8664507018002894,3.0878555847861855,3.623403062936487,True,True,True,True,2,
14,"pub_0c3788daa5,pub_0d412f4721,pub_357f5739d1,pub_5a68dc5665","pub_15b174237f,pub_58e30f4932,pub_88fa4f0145,pub_92d20246e9",3.247791394216256,2.8838492400312723,3.087855584786185,3.6448231944991525,True,True,True,True,2,
15,"pub_0c3788daa5,pub_0d412f4721,pub_357f5739d1,pub_5a68dc5665","pub_15b174237f,pub_58e30f4932,pub_88fa4f0145,pub_92d20246e9",3.247791394216256,2.8838492400312723,3.087855584786185,3.6448231944991525,True,True,True,True,2,
16,"pub_0c3788daa5,pub_0d412f4721,pub_357f5739d1,pub_88fa4f0145","pub_15b174237f,pub_58e30f4932,pub_5a68dc5665,pub_92d20246e9",3.144468373204181,2.8838492400312714,3.032576340002876,3.644823194499148,True,True,True,True,2,
17,"pub_0c3788daa5,pub_15b174237f,pub_357f5739d1,pub_92d20246e9","pub_0d412f4721,pub_58e30f4932,pub_5a68dc5665,pub_88fa4f0145",3.0651959511151983,3.0,3.463040111845496,2.730624689436009,True,True,False,True,2,
18,"pub_0c3788daa5,pub_15b174237f,pub_357f5739d1,pub_5a68dc5665","pub_0d412f4721,pub_58e30f4932,pub_88fa4f0145,pub_92d20246e9",3.247791394216252,2.838630248672828,3.087855584786184,3.589152038039354,True,True,True,True,2,
19,"pub_0c3788daa5,pub_0d412f4721,pub_357f5739d1,pub_5a68dc5665","pub_15b174237f,pub_58e30f4932,pub_88fa4f0145,pub_92d20246e9",3.247791394216256,2.8838492400312723,3.087855584786185,3.6448231944991525,True,True,True,True,2,
