# regime: cohort=E1 cohort systems; holdout=in_sample fit, reliability by jackknife and split-half over publications; averaging_unit=system; status_of_parameters=fitted_from_corpus
system_id,ligand,band,n,p_eff,se_n,se_p_eff,jackknife_se_n,jackknife_se_p_eff,split_half_n_agree,split_half_p_agree,split_half_intercept_r_median,slope_status_n,slope_status_p_eff,interpretable_n,interpretable_p_eff,n_points,n_publications,n_rows,n_metals,residual_sd,fit_manifest_sha256
sys_07ee9637c98c1e20,TODGA,20-30C,1.4080571489953313,2.6332432930372396,0.25847303403840005,0.059090259212375054,2.317383376832029,0.7249675254208655,10.0,20.0,0.9779104922148925,fitted,fitted,False,False,246,7,249,14,0.42244602400537395,1a50d0525319da9feab4ffc541f96ee81d8c265ad273d38f3c165d374cbe1ff4
sys_120bb57e9148dd0d,TEHDGA,20-30C,3.0,0.7716857434728617,0.0,0.12996894336566792,0.0,0.603872371675333,,,,assumed,fitted,False,False,31,2,31,4,0.40894894668932874,d1d0f945155b0e1cb1f2599922a285b0f631c4d4c4ad1858a045e3280f0dd894
sys_1419f400c83e9ad8,DMDODGA,20-30C,2.5969811055717917,1.5241482897180578,0.08206349247283236,0.06648960409491025,0.19444037018200033,0.23781633988468154,,,,fitted,fitted,True,True,239,2,239,14,0.28003061165408305,f17d244008e933b1bff2120a106515a8759acc5d3ebc6daa9d1fcdf3147ad677
sys_267144068d8e09d2,DMDODGA,20-30C,2.2223498852684997,1.296353488237991,0.06600412339276086,0.09189212114608425,0.38974582513011313,0.15009195301347256,,,,fitted,fitted,True,True,91,2,102,6,0.2849929392377856,9c49012d7e95ced932bff3212cd0af1ac9154edc4ffb27562414f86a6aab4583
sys_5cb78e5000d40860,TODGA,20-30C,2.453221448884056,2.1010445698240567,0.1459519506279149,0.15557035677243847,0.5430978633064496,0.29159016736244026,20.0,20.0,0.9317498596656577,fitted,fitted,False,True,402,27,488,14,0.8432253422872447,497d5f85284b126c0df688af05e10019c71ace202dcf50cf7f345025d2af2471
sys_81bcc3c06cbf0b4c,D3DODGA,20-30C,3.0,-0.1271475948810084,0.0,0.5408140628879653,0.0,1.2973489407742016,,,,assumed,fitted,False,False,28,3,28,1,0.6744202857907464,da97e9ab6073bfc4af07dffc0b01b52ae3064afe8216e7a14ee6588eb6d46c2d
sys_81e3169a7f85c2b9,TBDGA,20-30C,2.4154177797882004,3.138295548338001,0.1576544851229917,0.20661391408728483,0.4288890269803373,4.164123564371912,20.0,20.0,0.9427625277245881,fitted,fitted,True,False,173,4,173,10,0.5104735160908378,660c2e91014506ed889642098f22d543e21a53ea4839276070951d3a53e2f2ae
sys_95746e54b97ae741,NTAamide(C8),20-30C,3.0,-1.033665418949179,0.0,0.12155921317579578,0.0,1.5168327094745901,,,,assumed,fitted,False,False,20,2,20,14,0.2798318815414578,4efb81d6400397907760f86661e116770e90337854e6ccb485640329af74ef44
sys_a2a472b5124b09c6,TODGA,20-30C,3.759410181861412,2.7439267971995216,0.5848263578533827,0.10119484375099187,0.4842394431672133,1.1696364626897346,15.0,19.0,0.40426398109760675,fitted,fitted,False,False,263,8,264,14,0.7068878545745798,3ab97496e8617e50bbf05d10aff0be633dada4d146ab6d46e7cd9322b2d37b8d
sys_a7195d8a9d8696e0,TEHDGA,20-30C,3.024366533369695,3.3290884353450427,0.27366154470748477,0.1600027866217618,0.25234521269718113,0.4035191253641748,20.0,20.0,,fitted,fitted,True,True,69,8,70,2,0.5630026959950143,3064b8025ca187d21868038a44859502607067ecb2b404e3cd0b495c6ded9cd2
sys_a9fea6791c7a14d6,DMDOHEMA,20-30C,2.5021350666331506,2.696995137050094,0.2858855556139303,0.06607973704740525,0.27610159130476375,0.35292587438479406,,,,fitted,fitted,True,True,52,2,52,14,0.21268976254871308,35f3a0503a0f891b0c37736f8910e6d9d018b38bd7ef15e558507af3ae89dc6d
sys_b06c95ac0efc3d4e,C5BTBP,20-30C,1.2842322187211446,2.0,0.12426994988078713,0.0,0.857883890639427,0.0,,,,fitted,assumed,False,False,26,2,37,13,0.25426543939588375,b6121705fb9da987b794fc5cc22b1286263ad5dc19c3ad4c5d54b16e8b4eabfd
sys_be340fe5092ae17a,2-[1-(dioctylamino)-1-oxopropan-2-yl]oxy-N-N-dioctylpropanamide,20-30C,3.0655926446510415,1.5443233331887432,1.249308568990595,0.4461492443510526,0.03855064549757329,0.35175682932686764,20.0,20.0,,fitted,fitted,True,True,27,4,40,14,1.0099110866592054,e3e6910bd88077498abfc67a2ed968bb09881dcb6b3baf3027f063769fe85b93
sys_ebce91a448faa5c3,TODGA,20-30C,2.181710240977811,1.0781948113678979,0.529048244903745,0.3008656941698705,0.8302741445996669,1.4373234807143211,15.0,19.0,,fitted,fitted,False,False,39,6,39,14,0.6164034806243662,01153ad1fd41cf82f6464623e729f7dbefe0041a1446bea34b55dad1b8465c7b
