# regime: cohort=E1 records of sys_a2a472b5124b09c6, band 20-30C; holdout=split-half by publication (20 seeded repeats, seed 18); averaging_unit=repeat
repeat,pubs_a,pubs_b,n_a,n_b,p_eff_a,p_eff_b,n_agree,p_eff_agree,n_fitted_both,p_eff_fitted_both,n_common_metals,intercept_r
0,"pub_04794d6d09,pub_51c0693f9c,pub_a9266a9412,pub_b9dfc468cd","pub_37086f6378,pub_5a68dc5665,pub_af0c74798c,pub_f5d1922154",3.195506694149349,16.24767933999704,1.306890725597782,2.949872185395014,True,True,True,True,8,0.9148002995806361
1,"pub_37086f6378,pub_51c0693f9c,pub_af0c74798c,pub_f5d1922154","pub_04794d6d09,pub_5a68dc5665,pub_a9266a9412,pub_b9dfc468cd",3.4842567404671705,3.5508605499758823,2.790519294647215,-4.729653500271277,True,False,True,True,14,0.16440462853603405
2,"pub_04794d6d09,pub_5a68dc5665,pub_af0c74798c,pub_f5d1922154","pub_37086f6378,pub_51c0693f9c,pub_a9266a9412,pub_b9dfc468cd",3.0,3.725517290885505,2.0,2.7651659811003038,True,True,False,False,14,0.05640399283321594
3,"pub_04794d6d09,pub_37086f6378,pub_51c0693f9c,pub_a9266a9412","pub_5a68dc5665,pub_af0c74798c,pub_b9dfc468cd,pub_f5d1922154",3.903244846415954,3.0,2.7396043995028734,4.658911480699208,True,True,False,True,14,0.16571788523372227
4,"pub_37086f6378,pub_5a68dc5665,pub_b9dfc468cd,pub_f5d1922154","pub_04794d6d09,pub_51c0693f9c,pub_a9266a9412,pub_af0c74798c",16.22719186071212,3.231576661387727,2.9473045936726376,1.287499500754338,True,True,True,True,3,-0.02714814790925337
5,"pub_a9266a9412,pub_af0c74798c,pub_b9dfc468cd,pub_f5d1922154","pub_04794d6d09,pub_37086f6378,pub_51c0693f9c,pub_5a68dc5665",3.5508605499758876,3.9665910903930466,5.979013979009978,2.7240541606515216,True,True,True,True,8,0.9815490836169768
6,"pub_04794d6d09,pub_37086f6378,pub_5a68dc5665,pub_af0c74798c","pub_51c0693f9c,pub_a9266a9412,pub_b9dfc468cd,pub_f5d1922154",-93.31203738439073,3.2986361125650987,2.949872185394956,1.62889072425524,False,True,True,True,8,0.907351021382576
7,"pub_37086f6378,pub_5a68dc5665,pub_a9266a9412,pub_af0c74798c","pub_04794d6d09,pub_51c0693f9c,pub_b9dfc468cd,pub_f5d1922154",3.55086054997589,2.8349107189361833,2.949872185395006,1.419474840594674,True,True,True,True,8,0.873254305645201
8,"pub_04794d6d09,pub_5a68dc5665,pub_a9266a9412,pub_af0c74798c","pub_37086f6378,pub_51c0693f9c,pub_b9dfc468cd,pub_f5d1922154",3.2327766388206793,3.445489908110246,2.0,2.7843757224215033,True,True,True,False,14,0.06122786087684769
9,"pub_51c0693f9c,pub_af0c74798c,pub_b9dfc468cd,pub_f5d1922154","pub_04794d6d09,pub_37086f6378,pub_5a68dc5665,pub_a9266a9412",2.8089688558205714,3.2945674195271355,1.57614200543751,2.9081814659378984,True,True,True,True,8,0.9024220575840046
10,"pub_37086f6378,pub_5a68dc5665,pub_af0c74798c,pub_f5d1922154","pub_04794d6d09,pub_51c0693f9c,pub_a9266a9412,pub_b9dfc468cd",16.24767933999704,3.195506694149349,2.949872185395014,1.306890725597782,True,True,True,True,8,0.9148002995806361
11,"pub_51c0693f9c,pub_5a68dc5665,pub_a9266a9412,pub_f5d1922154","pub_04794d6d09,pub_37086f6378,pub_af0c74798c,pub_b9dfc468cd",3.5590905183747727,3.0,1.625713344882143,2.927302394226871,True,True,False,True,14,-0.06890501146447073
12,"pub_04794d6d09,pub_37086f6378,pub_51c0693f9c,pub_a9266a9412","pub_5a68dc5665,pub_af0c74798c,pub_b9dfc468cd,pub_f5d1922154",3.903244846415954,3.0,2.7396043995028734,4.658911480699208,True,True,False,True,14,0.16571788523372227
