# regime: cohort=E1 records of sys_be340fe5092ae17a, band 20-30C; holdout=split-half by publication (20 seeded repeats, seed 18); averaging_unit=repeat
repeat,pubs_a,pubs_b,n_a,n_b,p_eff_a,p_eff_b,n_agree,p_eff_agree,n_fitted_both,p_eff_fitted_both,n_common_metals,intercept_r
0,"pub_0af6736cb1,pub_86cd2c5ec0","pub_126bbe7976,pub_e287124c22",3.012918273274142,3.0,2.0,1.5194456203641038,True,True,False,False,2,
1,"pub_86cd2c5ec0,pub_e287124c22","pub_0af6736cb1,pub_126bbe7976",3.012918273274141,3.0,1.5194456203641022,2.0,True,True,False,False,1,
2,"pub_126bbe7976,pub_e287124c22","pub_0af6736cb1,pub_86cd2c5ec0",3.0,3.012918273274142,1.5194456203641038,2.0,True,True,False,False,2,
3,"pub_126bbe7976,pub_86cd2c5ec0","pub_0af6736cb1,pub_e287124c22",3.01291827327414,3.0,2.0,1.5194456203641058,True,True,False,False,2,
4,"pub_0af6736cb1,pub_e287124c22","pub_126bbe7976,pub_86cd2c5ec0",3.0,3.01291827327414,1.5194456203641058,2.0,True,True,False,False,2,
5,"pub_126bbe7976,pub_e287124c22","pub_0af6736cb1,pub_86cd2c5ec0",3.0,3.012918273274142,1.5194456203641038,2.0,True,True,False,False,2,
6,"pub_0af6736cb1,pub_86cd2c5ec0","pub_126bbe7976,pub_e287124c22",3.012918273274142,3.0,2.0,1.5194456203641038,True,True,False,False,2,
7,"pub_0af6736cb1,pub_e287124c22","pub_126bbe7976,pub_86cd2c5ec0",3.0,3.01291827327414,1.5194456203641058,2.0,True,True,False,False,2,
8,"pub_0af6736cb1,pub_e287124c22","pub_126bbe7976,pub_86cd2c5ec0",3.0,3.01291827327414,1.5194456203641058,2.0,True,True,False,False,2,
9,"pub_0af6736cb1,pub_e287124c22","pub_126bbe7976,pub_86cd2c5ec0",3.0,3.01291827327414,1.5194456203641058,2.0,True,True,False,False,2,
10,"pub_126bbe7976,pub_e287124c22","pub_0af6736cb1,pub_86cd2c5ec0",3.0,3.012918273274142,1.5194456203641038,2.0,True,True,False,False,2,
11,"pub_126bbe7976,pub_e287124c22","pub_0af6736cb1,pub_86cd2c5ec0",3.0,3.012918273274142,1.5194456203641038,2.0,True,True,False,False,2,
12,"pub_0af6736cb1,pub_e287124c22","pub_126bbe7976,pub_86cd2c5ec0",3.0,3.01291827327414,1.5194456203641058,2.0,True,True,False,False,2,
13,"pub_0af6736cb1,pub_86cd2c5ec0","pub_126bbe7976,pub_e287124c22",3.012918273274142,3.0,2.0,1.5194456203641038,True,True,False,False,2,
14,"pub_0af6736cb1,pub_86cd2c5ec0","pub_126bbe7976,pub_e287124c22",3.012918273274142,3.0,2.0,1.5194456203641038,True,True,False,False,2,
15,"pub_0af6736cb1,pub_126bbe7976","pub_86cd2c5ec0,pub_e287124c22",3.0,3.012918273274141,2.0,1.5194456203641022,True,True,False,False,1,
16,"pub_0af6736cb1,pub_126bbe7976","pub_86cd2c5ec0,pub_e287124c22",3.0,3.012918273274141,2.0,1.5194456203641022,True,True,False,False,1,
17,"pub_0af6736cb1,pub_126bbe7976","pub_86cd2c5ec0,pub_e287124c22",3.0,3.012918273274141,2.0,1.5194456203641022,True,True,False,False,1,
18,"pub_126bbe7976,pub_e287124c22","pub_0af6736cb1,pub_86cd2c5ec0",3.0,3.012918273274142,1.5194456203641038,2.0,True,True,False,False,2,
19,"pub_126bbe7976,pub_e287124c22","pub_0af6736cb1,pub_86cd2c5ec0",3.0,3.012918273274142,1.5194456203641038,2.0,True,True,False,False,2,
