# regime: cohort=E1 records of sys_07ee9637c98c1e20, band 20-30C; holdout=split-half by publication (20 seeded repeats, seed 18); averaging_unit=repeat
repeat,pubs_a,pubs_b,n_a,n_b,p_eff_a,p_eff_b,n_agree,p_eff_agree,n_fitted_both,p_eff_fitted_both,n_common_metals,intercept_r
0,"pub_37086f6378,pub_5a68dc5665,pub_cdc2243314","pub_4829d176ba,pub_917a4583d4,pub_af0c74798c,pub_f5d1922154",-1.3111123339409643,1.4480525177544503,2.700354791858536,2.0930939176435954,False,True,True,True,5,0.940586226534708
1,"pub_5a68dc5665,pub_cdc2243314,pub_f5d1922154","pub_37086f6378,pub_4829d176ba,pub_917a4583d4,pub_af0c74798c",3.0,1.450668272697877,1.5608927855496944,2.765238031105018,True,True,False,True,13,0.9821249649291439
2,"pub_37086f6378,pub_4829d176ba,pub_917a4583d4","pub_5a68dc5665,pub_af0c74798c,pub_cdc2243314,pub_f5d1922154",1.4506682726978695,3.0,2.765238031105013,1.5815502754867063,True,True,False,True,13,0.9861087295584502
3,"pub_37086f6378,pub_af0c74798c,pub_f5d1922154","pub_4829d176ba,pub_5a68dc5665,pub_917a4583d4,pub_cdc2243314",3.0,1.4470169039760639,2.8460522329274305,1.8269827107394723,True,True,False,True,12,0.9776940312601867
4,"pub_4829d176ba,pub_917a4583d4,pub_f5d1922154","pub_37086f6378,pub_5a68dc5665,pub_af0c74798c,pub_cdc2243314",1.448052517754452,-1.2654967376692192,2.0930939176435936,2.7003547918585302,False,True,True,True,5,0.9312746784277074
5,"pub_af0c74798c,pub_cdc2243314,pub_f5d1922154","pub_37086f6378,pub_4829d176ba,pub_5a68dc5665,pub_917a4583d4",3.0,1.4506590658243428,1.585816786942149,2.762872233857378,True,True,False,True,1,
6,"pub_37086f6378,pub_4829d176ba,pub_cdc2243314","pub_5a68dc5665,pub_917a4583d4,pub_af0c74798c,pub_f5d1922154",-1.132000056098753,1.4774391726933576,2.7282146583111717,1.613921457892673,False,True,True,True,13,0.9911760907278987
7,"pub_4829d176ba,pub_917a4583d4,pub_af0c74798c","pub_37086f6378,pub_5a68dc5665,pub_cdc2243314,pub_f5d1922154",1.4480525177544532,-13.115962247821965,2.0930939176435945,2.7003547918585205,False,True,True,True,5,0.9541978077034307
8,"pub_37086f6378,pub_917a4583d4,pub_af0c74798c","pub_4829d176ba,pub_5a68dc5665,pub_cdc2243314,pub_f5d1922154",1.45056914237606,1.4245403026791357,2.739765514101075,1.9763729825915157,True,True,True,True,12,0.9775666793460897
9,"pub_5a68dc5665,pub_cdc2243314,pub_f5d1922154","pub_37086f6378,pub_4829d176ba,pub_917a4583d4,pub_af0c74798c",3.0,1.450668272697877,1.5608927855496944,2.765238031105018,True,True,False,True,13,0.9821249649291439
10,"pub_4829d176ba,pub_917a4583d4,pub_cdc2243314","pub_37086f6378,pub_5a68dc5665,pub_af0c74798c,pub_f5d1922154",1.4470167941458958,-7.0695094744819205,1.8269544887897076,2.8466985948136956,False,True,True,True,5,0.9428141024943997
11,"pub_5a68dc5665,pub_af0c74798c,pub_f5d1922154","pub_37086f6378,pub_4829d176ba,pub_917a4583d4,pub_cdc2243314",3.0,1.4501876616453435,2.0,2.6417402659075533,True,True,False,False,13,0.9841961713278519
12,"pub_37086f6378,pub_4829d176ba,pub_af0c74798c","pub_5a68dc5665,pub_917a4583d4,pub_cdc2243314,pub_f5d1922154",-0.9011265583409671,1.4659447293205237,2.8738442669247175,1.5859531191657745,False,True,True,True,13,0.9917161641903266
13,"pub_5a68dc5665,pub_917a4583d4,pub_cdc2243314","pub_37086f6378,pub_4829d176ba,pub_af0c74798c,pub_f5d1922154",1.4460247306296126,-1.805625044575596,1.5720339526257263,2.873844266924717,False,True,True,True,13,0.9849612120765759
14,"pub_37086f6378,pub_4829d176ba,pub_917a4583d4","pub_5a68dc5665,pub_af0c74798c,pub_cdc2243314,pub_f5d1922154",1.4506682726978695,3.0,2.765238031105013,1.5815502754867063,True,True,False,True,13,0.9861087295584502
15,"pub_4829d176ba,pub_917a4583d4,pub_cdc2243314","pub_37086f6378,pub_5a68dc5665,pub_af0c74798c,pub_f5d1922154",1.4470167941458958,-7.0695094744819205,1.8269544887897076,2.8466985948136956,False,True,True,True,5,0.9428141024943997
16,"pub_37086f6378,pub_4829d176ba,pub_cdc2243314","pub_5a68dc5665,pub_917a4583d4,pub_af0c74798c,pub_f5d1922154",-1.132000056098753,1.4774391726933576,2.7282146583111717,1.613921457892673,False,True,True,True,13,0.9911760907278987
17,"pub_37086f6378,pub_5a68dc5665,pub_917a4583d4","pub_4829d176ba,pub_af0c74798c,pub_cdc2243314,pub_f5d1922154",1.450560194358485,3.0,2.737466232455111,1.9763283126227114,True,True,False,True,5,-0.3149412736852115
18,"pub_37086f6378,pub_5a68dc5665,pub_f5d1922154","pub_4829d176ba,pub_917a4583d4,pub_af0c74798c,pub_cdc2243314",-4.461344562825994,1.4470167941458967,2.846698594813695,1.8269544887897053,False,True,True,True,5,0.9283761392708892
19,"pub_4829d176ba,pub_5a68dc5665,pub_917a4583d4","pub_37086f6378,pub_af0c74798c,pub_cdc2243314,pub_f5d1922154",1.4480527418341231,3.0,2.0931514971323515,2.6929085533965313,True,True,False,True,12,0.9779104922148925
