# regime: cohort=E1 records of sys_5cb78e5000d40860, band 20-30C; holdout=split-half by publication (20 seeded repeats, seed 18); averaging_unit=repeat
repeat,pubs_a,pubs_b,n_a,n_b,p_eff_a,p_eff_b,n_agree,p_eff_agree,n_fitted_both,p_eff_fitted_both,n_common_metals,intercept_r
10,"pub_09a5fc4a7d,pub_0d412f4721,pub_1605e436d7,pub_2e9f2dbea9,pub_5472c4b438,pub_5a68dc5665,pub_ad5a7268e5,pub_af0c74798c,pub_bef16e560c,pub_cd72e4a7bb,pub_d3c970567f,pub_d68ed8c8cf,pub_f5d1922154","pub_04794d6d09,pub_227fd56641,pub_2c76a46f18,pub_328cdbeabc,pub_457a2adba4,pub_51c0693f9c,pub_58e30f4932,pub_86cd2c5ec0,pub_890299c726,pub_a9266a9412,pub_b4273fb42a,pub_be51bfd47a,pub_e4bbba9576,pub_f59e3c846a",2.090393918626855,2.6679961462472774,2.0014846621682802,2.300763114722236,True,True,True,True,12,0.9591771120863055
11,"pub_09a5fc4a7d,pub_0d412f4721,pub_1605e436d7,pub_2e9f2dbea9,pub_328cdbeabc,pub_5472c4b438,pub_58e30f4932,pub_86cd2c5ec0,pub_a9266a9412,pub_af0c74798c,pub_b4273fb42a,pub_f59e3c846a,pub_f5d1922154","pub_04794d6d09,pub_227fd56641,pub_2c76a46f18,pub_457a2adba4,pub_51c0693f9c,pub_5a68dc5665,pub_890299c726,pub_ad5a7268e5,pub_be51bfd47a,pub_bef16e560c,pub_cd72e4a7bb,pub_d3c970567f,pub_d68ed8c8cf,pub_e4bbba9576",2.130157877374439,3.2535997103208434,2.0867001581148004,1.625452624778819,True,True,True,True,14,0.9216040885121806
12,"pub_04794d6d09,pub_09a5fc4a7d,pub_2c76a46f18,pub_328cdbeabc,pub_457a2adba4,pub_51c0693f9c,pub_86cd2c5ec0,pub_890299c726,pub_a9266a9412,pub_af0c74798c,pub_be51bfd47a,pub_bef16e560c,pub_d3c970567f","pub_0d412f4721,pub_1605e436d7,pub_227fd56641,pub_2e9f2dbea9,pub_5472c4b438,pub_58e30f4932,pub_5a68dc5665,pub_ad5a7268e5,pub_b4273fb42a,pub_cd72e4a7bb,pub_d68ed8c8cf,pub_e4bbba9576,pub_f59e3c846a,pub_f5d1922154",2.622533255157511,2.25722126483154,2.2899364143871312,2.017573061152166,True,True,True,True,14,0.9493804874987142
13,"pub_09a5fc4a7d,pub_0d412f4721,pub_1605e436d7,pub_2c76a46f18,pub_457a2adba4,pub_5a68dc5665,pub_a9266a9412,pub_ad5a7268e5,pub_af0c74798c,pub_bef16e560c,pub_cd72e4a7bb,pub_d68ed8c8cf,pub_f5d1922154","pub_04794d6d09,pub_227fd56641,pub_2e9f2dbea9,pub_328cdbeabc,pub_51c0693f9c,pub_5472c4b438,pub_58e30f4932,pub_86cd2c5ec0,pub_890299c726,pub_b4273fb42a,pub_be51bfd47a,pub_d3c970567f,pub_e4bbba9576,pub_f59e3c846a",2.56143118112395,2.5324482508869433,2.0078045740663364,2.489765513614895,True,True,True,True,12,0.9319412940215164
14,"pub_0d412f4721,pub_1605e436d7,pub_227fd56641,pub_2e9f2dbea9,pub_5472c4b438,pub_58e30f4932,pub_86cd2c5ec0,pub_a9266a9412,pub_ad5a7268e5,pub_af0c74798c,pub_e4bbba9576,pub_f59e3c846a,pub_f5d1922154","pub_04794d6d09,pub_09a5fc4a7d,pub_2c76a46f18,pub_328cdbeabc,pub_457a2adba4,pub_51c0693f9c,pub_5a68dc5665,pub_890299c726,pub_b4273fb42a,pub_be51bfd47a,pub_bef16e560c,pub_cd72e4a7bb,pub_d3c970567f,pub_d68ed8c8cf",2.1382189867404175,3.2255156993970076,2.0960759313078956,1.4892435884147517,True,True,True,True,14,0.9436837655056672
15,"pub_04794d6d09,pub_1605e436d7,pub_2e9f2dbea9,pub_5a68dc5665,pub_86cd2c5ec0,pub_ad5a7268e5,pub_af0c74798c,pub_b4273fb42a,pub_be51bfd47a,pub_bef16e560c,pub_d68ed8c8cf,pub_e4bbba9576,pub_f5d1922154","pub_09a5fc4a7d,pub_0d412f4721,pub_227fd56641,pub_2c76a46f18,pub_328cdbeabc,pub_457a2adba4,pub_51c0693f9c,pub_5472c4b438,pub_58e30f4932,pub_890299c726,pub_a9266a9412,pub_cd72e4a7bb,pub_d3c970567f,pub_f59e3c846a",1.7573383684667185,3.4859260206962888,1.8476502257055993,2.3071181017139892,True,True,True,True,12,0.9413018182867334
16,"pub_0d412f4721,pub_227fd56641,pub_2c76a46f18,pub_2e9f2dbea9,pub_457a2adba4,pub_51c0693f9c,pub_58e30f4932,pub_5a68dc5665,pub_890299c726,pub_ad5a7268e5,pub_cd72e4a7bb,pub_f59e3c846a,pub_f5d1922154","pub_04794d6d09,pub_09a5fc4a7d,pub_1605e436d7,pub_328cdbeabc,pub_5472c4b438,pub_86cd2c5ec0,pub_a9266a9412,pub_af0c74798c,pub_b4273fb42a,pub_be51bfd47a,pub_bef16e560c,pub_d3c970567f,pub_d68ed8c8cf,pub_e4bbba9576",3.064179389321977,1.9816037333632546,2.776974092440855,1.8532428340525593,True,True,True,True,14,0.9384702560901715
17,"pub_04794d6d09,pub_09a5fc4a7d,pub_0d412f4721,pub_227fd56641,pub_2e9f2dbea9,pub_328cdbeabc,pub_890299c726,pub_a9266a9412,pub_af0c74798c,pub_b4273fb42a,pub_d3c970567f,pub_f59e3c846a,pub_f5d1922154","pub_1605e436d7,pub_2c76a46f18,pub_457a2adba4,pub_51c0693f9c,pub_5472c4b438,pub_58e30f4932,pub_5a68dc5665,pub_86cd2c5ec0,pub_ad5a7268e5,pub_be51bfd47a,pub_bef16e560c,pub_cd72e4a7bb,pub_d68ed8c8cf,pub_e4bbba9576",3.0082005061088504,2.0369595789905044,2.480990930090252,1.973006146443451,True,True,True,True,14,0.9326169094374652
18,"pub_0d412f4721,pub_227fd56641,pub_2c76a46f18,pub_328cdbeabc,pub_5472c4b438,pub_86cd2c5ec0,pub_a9266a9412,pub_ad5a7268e5,pub_b4273fb42a,pub_cd72e4a7bb,pub_d3c970567f,pub_d68ed8c8cf,pub_f59e3c846a","pub_04794d6d09,pub_09a5fc4a7d,pub_1605e436d7,pub_2e9f2dbea9,pub_457a2adba4,pub_51c0693f9c,pub_58e30f4932,pub_5a68dc5665,pub_890299c726,pub_af0c74798c,pub_be51bfd47a,pub_bef16e560c,pub_e4bbba9576,pub_f5d1922154",2.0172308182634255,2.8320345700046414,1.990943215708523,2.068867892038027,True,True,True,True,14,0.8889248626232313
19,"pub_09a5fc4a7d,pub_1605e436d7,pub_457a2adba4,pub_5472c4b438,pub_5a68dc5665,pub_890299c726,pub_a9266a9412,pub_ad5a7268e5,pub_af0c74798c,pub_be51bfd47a,pub_bef16e560c,pub_d3c970567f,pub_e4bbba9576","pub_04794d6d09,pub_0d412f4721,pub_227fd56641,pub_2c76a46f18,pub_2e9f2dbea9,pub_328cdbeabc,pub_51c0693f9c,pub_58e30f4932,pub_86cd2c5ec0,pub_b4273fb42a,pub_cd72e4a7bb,pub_d68ed8c8cf,pub_f59e3c846a,pub_f5d1922154",3.16801146273093,2.0047265079401035,1.9198697968316005,2.3857727767850734,True,True,True,True,14,0.8669381094563263
