# regime: cohort=E1 records of sys_ebce91a448faa5c3, band 20-30C; holdout=split-half by publication (20 seeded repeats, seed 18); averaging_unit=repeat
repeat,pubs_a,pubs_b,n_a,n_b,p_eff_a,p_eff_b,n_agree,p_eff_agree,n_fitted_both,p_eff_fitted_both,n_common_metals,intercept_r
0,"pub_04794d6d09,pub_5a68dc5665,pub_691fc07992","pub_a9266a9412,pub_cd72e4a7bb,pub_f5d1922154",2.927142107317889,2.6453584265782557,-7.576638942265732,1.2433598927480574,True,False,True,True,1,
1,"pub_04794d6d09,pub_691fc07992,pub_a9266a9412","pub_5a68dc5665,pub_cd72e4a7bb,pub_f5d1922154",2.745296383240765,-0.8442987213473647,1.2255215871609733,2.1063496624206737,False,True,True,True,2,
2,"pub_5a68dc5665,pub_691fc07992,pub_cd72e4a7bb","pub_04794d6d09,pub_a9266a9412,pub_f5d1922154",2.923951471772905,2.6363089220410214,2.1063267210737315,1.2179051672624466,True,True,True,True,2,
3,"pub_04794d6d09,pub_5a68dc5665,pub_a9266a9412","pub_691fc07992,pub_cd72e4a7bb,pub_f5d1922154",1.5869703384787623,2.9239514717729,0.9055249679552055,2.106326721073732,True,True,True,True,1,
4,"pub_04794d6d09,pub_a9266a9412,pub_cd72e4a7bb","pub_5a68dc5665,pub_691fc07992,pub_f5d1922154",2.645358426578256,2.924632171981234,1.2433598927480574,0.058684522645740006,True,True,True,True,2,
5,"pub_04794d6d09,pub_cd72e4a7bb,pub_f5d1922154","pub_5a68dc5665,pub_691fc07992,pub_a9266a9412",3.0,2.745296383240762,2.1063496624206772,1.2255215871609766,True,True,False,True,2,
6,"pub_5a68dc5665,pub_a9266a9412,pub_cd72e4a7bb","pub_04794d6d09,pub_691fc07992,pub_f5d1922154",2.6453584265782504,2.9246321719812327,1.2433598927480554,0.05868452264437857,True,True,True,True,2,
7,"pub_5a68dc5665,pub_cd72e4a7bb,pub_f5d1922154","pub_04794d6d09,pub_691fc07992,pub_a9266a9412",-0.8442987213473647,2.745296383240765,2.1063496624206737,1.2255215871609733,False,True,True,True,2,
8,"pub_691fc07992,pub_a9266a9412,pub_cd72e4a7bb","pub_04794d6d09,pub_5a68dc5665,pub_f5d1922154",2.750870665733557,3.0,1.2505272757473846,2.0,True,True,False,False,1,
9,"pub_5a68dc5665,pub_a9266a9412,pub_f5d1922154","pub_04794d6d09,pub_691fc07992,pub_cd72e4a7bb",2.6363089220410156,2.9239514717728974,1.2179051672624444,2.1063267210737306,True,True,True,True,2,
10,"pub_5a68dc5665,pub_a9266a9412,pub_cd72e4a7bb","pub_04794d6d09,pub_691fc07992,pub_f5d1922154",2.6453584265782504,2.9246321719812327,1.2433598927480554,0.05868452264437857,True,True,True,True,2,
11,"pub_04794d6d09,pub_a9266a9412,pub_cd72e4a7bb","pub_5a68dc5665,pub_691fc07992,pub_f5d1922154",2.645358426578256,2.924632171981234,1.2433598927480574,0.058684522645740006,True,True,True,True,2,
12,"pub_04794d6d09,pub_691fc07992,pub_a9266a9412","pub_5a68dc5665,pub_cd72e4a7bb,pub_f5d1922154",2.745296383240765,-0.8442987213473647,1.2255215871609733,2.1063496624206737,False,True,True,True,2,
13,"pub_04794d6d09,pub_5a68dc5665,pub_cd72e4a7bb","pub_691fc07992,pub_a9266a9412,pub_f5d1922154",-5.546932392321972,2.745296383240764,2.1063496624206737,1.225521587160976,False,True,True,True,1,
14,"pub_5a68dc5665,pub_691fc07992,pub_cd72e4a7bb","pub_04794d6d09,pub_a9266a9412,pub_f5d1922154",2.923951471772905,2.6363089220410214,2.1063267210737315,1.2179051672624466,True,True,True,True,2,
15,"pub_5a68dc5665,pub_691fc07992,pub_cd72e4a7bb","pub_04794d6d09,pub_a9266a9412,pub_f5d1922154",2.923951471772905,2.6363089220410214,2.1063267210737315,1.2179051672624466,True,True,True,True,2,
16,"pub_04794d6d09,pub_5a68dc5665,pub_cd72e4a7bb","pub_691fc07992,pub_a9266a9412,pub_f5d1922154",-5.546932392321972,2.745296383240764,2.1063496624206737,1.225521587160976,False,True,True,True,1,
17,"pub_5a68dc5665,pub_691fc07992,pub_a9266a9412","pub_04794d6d09,pub_cd72e4a7bb,pub_f5d1922154",2.745296383240762,3.0,1.2255215871609766,2.1063496624206772,True,True,False,True,2,
18,"pub_04794d6d09,pub_5a68dc5665,pub_a9266a9412","pub_691fc07992,pub_cd72e4a7bb,pub_f5d1922154",1.5869703384787623,2.9239514717729,0.9055249679552055,2.106326721073732,True,True,True,True,1,
19,"pub_5a68dc5665,pub_a9266a9412,pub_f5d1922154","pub_04794d6d09,pub_691fc07992,pub_cd72e4a7bb",2.6363089220410156,2.9239514717728974,1.2179051672624444,2.1063267210737306,True,True,True,True,2,
