arm,mechanism,weighting,aux_lambda,control,split_seed,fold,n_core,n_aux,n_level_train,n_shape_train,aux_weight_share,clip_lo,clip_hi
C_LN_PLUS_ACTINIDES|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,JOINT,HIERARCHICAL,1.0,NONE,104729,0,4866,4491,9357,8273,0.49999999999999994,-9.594593599850977,8.818181486600604
C_LN_PLUS_ACTINIDES|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,JOINT,HIERARCHICAL,1.0,NONE,104729,1,1495,1742,3237,2824,0.5,-9.021933790857123,7.100202059619041
C_LN_PLUS_ACTINIDES|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,JOINT,HIERARCHICAL,1.0,NONE,104729,2,4962,4549,9511,8398,0.5,-9.594593599850977,8.818181486600604
C_LN_PLUS_ACTINIDES|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,JOINT,HIERARCHICAL,1.0,NONE,104729,3,4747,4470,9217,8111,0.5,-8.107493857493855,8.322481572481564
C_LN_PLUS_ACTINIDES|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,JOINT,HIERARCHICAL,1.0,NONE,104729,4,4922,4009,8931,7950,0.5,-9.594593599850977,8.818181486600604
C_LN_PLUS_ACTINIDES|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,JOINT,HIERARCHICAL,1.0,NONE,130363,0,1436,2621,4057,3430,0.49999999999999994,-7.792289988492519,7.3768699654775585
C_LN_PLUS_ACTINIDES|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,JOINT,HIERARCHICAL,1.0,NONE,130363,1,4937,4497,9434,8369,0.5,-9.594593599850977,8.818181486600604
C_LN_PLUS_ACTINIDES|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,JOINT,HIERARCHICAL,1.0,NONE,130363,2,4766,4424,9190,8076,0.5,-9.594593599850977,8.818181486600604
C_LN_PLUS_ACTINIDES|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,JOINT,HIERARCHICAL,1.0,NONE,130363,3,4836,3744,8580,7676,0.5,-9.594593599850977,8.818181486600604
C_LN_PLUS_ACTINIDES|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,JOINT,HIERARCHICAL,1.0,NONE,130363,4,5017,3970,8987,8005,0.5,-9.594593599850977,8.818181486600604
C_LN_PLUS_ACTINIDES|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,JOINT,HIERARCHICAL,1.0,NONE,155921,0,1548,2597,4145,3515,0.5000000000000001,-9.279389730849642,7.872569879596599
C_LN_PLUS_ACTINIDES|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,JOINT,HIERARCHICAL,1.0,NONE,155921,1,4828,4375,9203,8127,0.5,-9.594593599850977,8.818181486600604
