split_seed,model,macro_mae,offset_mae,shape_mae,shape_r2,macro_mae_ligand,pooled_mae,pooled_r2,offset_share_of_sse,median_ligand_mae,worst_quartile_ligand_mae,rank_spearman,sign_accuracy,frac_within_0_5_log,frac_within_1_log,prediction_dispersion_ratio,n_rows,n_ligands,n_ecfp_clusters,n_superclusters,n_eff_pooled_rows,n_macro_units,nn_lt_0_4__macro_mae,nn_lt_0_4__offset_mae,nn_lt_0_4__shape_mae,nn_lt_0_4__n_rows,nn_lt_0_6__macro_mae,nn_lt_0_6__offset_mae,nn_lt_0_6__shape_mae,nn_lt_0_6__n_rows
104729,A_GEN10_CONTROL|JOINT|FROZEN_3|ANNOTATION_SAFE|HIERARCHICAL|lam1,1.007772125019675,0.864630708089668,0.48918890408947774,0.23718956172015748,1.0219969719911852,1.1921798365622185,0.19978916518211487,0.5294901338859762,0.8838338301148345,1.9965743617955765,0.5070458228052241,0.65090665100714,0.28239329268292684,0.4839939024390244,0.48572408510256876,5248,152,131,79,6.256051615740402,131,0.8987102990584175,0.7800316256075448,0.36503906224598515,396,1.0842925834046797,0.9695870404635389,0.5051301733568897,1282
130363,A_GEN10_CONTROL|JOINT|FROZEN_3|ANNOTATION_SAFE|HIERARCHICAL|lam1,0.9520848544668212,0.799403151567405,0.48593281313950953,0.3023543642065356,0.9680607842722966,1.092400471492134,0.30369704260476527,0.5054693918087091,0.847284566889799,1.9006350147186044,0.47285405345315284,0.6895415087367808,0.30373475609756095,0.5470655487804879,0.5424420582896607,5248,152,131,79,6.256051615740402,131,0.7998596471466837,0.684909610769777,0.36231804640219833,433,1.0017106185556683,0.8510877325240911,0.48067165605717255,1372
155921,A_GEN10_CONTROL|JOINT|FROZEN_3|ANNOTATION_SAFE|HIERARCHICAL|lam1,0.9460517649732978,0.7891526013767511,0.4724845299249174,0.3152717486773118,0.9581713334732921,1.0735340622537575,0.35211896785315033,0.4783496343178114,0.8838869596888782,1.8258599342259874,0.48171259235243685,0.6954792537439981,0.2930640243902439,0.5194359756097561,0.5377966512783244,5248,152,131,79,6.256051615740402,131,0.8470776198163122,0.723018079556818,0.4089741060381926,397,1.0592188218788048,0.8793231006252664,0.5140077548350074,1829
196613,A_GEN10_CONTROL|JOINT|FROZEN_3|ANNOTATION_SAFE|HIERARCHICAL|lam1,0.9845504851020751,0.8204248851943128,0.47476916547320963,0.28954181423972036,0.9806812232426271,1.1128416745216987,0.25901148147024833,0.5267576759800754,0.8869661713393008,1.9257941962491474,0.4601295523734186,0.6916742818442652,0.29897103658536583,0.5240091463414634,0.5005361307953989,5248,152,131,79,6.256051615740402,131,0.8923318368588845,0.7428492437406758,0.39945130455083344,406,1.1036714685725035,0.9486378526408902,0.5158697037461072,1159
262147,A_GEN10_CONTROL|JOINT|FROZEN_3|ANNOTATION_SAFE|HIERARCHICAL|lam1,0.9999699660677015,0.8716866754626742,0.49048184425664504,0.2883942107802233,1.030618049832508,1.1485846409861353,0.25051951917235427,0.53136396430259,0.9119857798839615,2.0430170783678583,0.4232495418256768,0.6839800738803072,0.28277439024390244,0.5036204268292683,0.49642897707602957,5248,152,131,79,6.256051615740402,131,0.8991428841253345,0.7468875172422138,0.4139607573251072,406,1.1415633564792333,0.9953531556544166,0.549794797596531,1273
104729,A_GEN10_CONTROL|JOINT|FROZEN_3|FROZEN_8|HIERARCHICAL|lam1,0.9944048690260086,0.8520242696125676,0.48743839046408793,0.2238259340267299,1.0100706867134586,1.1894234239391275,0.2068437779690968,0.5169891050550265,0.9101798647596588,1.9653780468370374,0.5175298002883978,0.6401354925894639,0.28277439024390244,0.4839939024390244,0.48744540348372,5248,152,131,79,6.256051615740402,131,0.8882821253304153,0.7714193161612102,0.36085714364587357,396,1.0692779815037248,0.9534698023320126,0.5020084801472263,1282
130363,A_GEN10_CONTROL|JOINT|FROZEN_3|FROZEN_8|HIERARCHICAL|lam1,0.9465300692427974,0.7925148187905591,0.48571269739074446,0.29827767773331115,0.961341199327744,1.085195273652287,0.31176777449175574,0.496746478358043,0.843559179693979,1.8961105534536278,0.4703714660212688,0.6886475758613001,0.3043064024390244,0.5472560975609756,0.540771453600346,5248,152,131,79,6.256051615740402,131,0.7953250720815591,0.6703434566898243,0.35887433960007986,433,0.9969793679315304,0.8491090397539536,0.4807858341365264,1372
155921,A_GEN10_CONTROL|JOINT|FROZEN_3|FROZEN_8|HIERARCHICAL|lam1,0.9385813876165281,0.7844620743662055,0.47247814801947624,0.314928672482334,0.9527431042788046,1.0819602932055117,0.33920512417738025,0.4882879319122579,0.8789196830291142,1.8396011818160294,0.47323275336331355,0.6960089142065194,0.29496951219512196,0.5161966463414634,0.5280353941885462,5248,152,131,79,6.256051615740402,131,0.8221149709737936,0.6833342412624519,0.4102772128291572,397,1.0578608143477424,0.8764166947017994,0.5140311586009257,1829
196613,A_GEN10_CONTROL|JOINT|FROZEN_3|FROZEN_8|HIERARCHICAL|lam1,0.9787983212933677,0.8199395233705496,0.4719900032075724,0.29157531618810906,0.974267179718948,1.1191093169733717,0.2490259009133905,0.5343868244329604,0.8665477656932075,1.9202256612853732,0.4686300185355227,0.6899942323534615,0.30297256097560976,0.522484756097561,0.5022151864352377,5248,152,131,79,6.256051615740402,131,0.8861618295908252,0.7304712249840724,0.40162481660241484,406,1.0980235131116183,0.947690582400264,0.5105773024075984,1159
262147,A_GEN10_CONTROL|JOINT|FROZEN_3|FROZEN_8|HIERARCHICAL|lam1,0.9891080714973661,0.8569169661896682,0.4919939986477902,0.2878766440842949,1.0211216037963615,1.1330648547798694,0.27011663174370226,0.5184312499437039,0.9249493694696227,2.024801501311556,0.41974436016389455,0.6851587254233882,0.2852515243902439,0.5093368902439024,0.49985076792279115,5248,152,131,79,6.256051615740402,131,0.9046789496938606,0.7508552562295918,0.41184307941603054,406,1.1201937781154088,0.9650131559352614,0.5490820240550915,1273
