arm,subset,n_pairs,macro_mae_baseline,macro_mae_amplitude_oracle,macro_mae_shape_oracle,macro_mae_best_global_gain,macro_mae_best_amp_only_gain,best_amp_only_gain,macro_mae_best_amp_offset,best_amp_offset,macro_mae_best_per_extractant_gain,macro_mae_best_per_cell_gain
C_DIRECT_ROW,all,70750,0.49532081290529495,0.2096019170570898,0.43002562325213234,0.4949457643868973,0.4948531850852456,1.05,0.4918339150898975,0.1,0.40884950632716033,0.40490555454513694
C_DIRECT_ROW,adjacent(gap=1),11740,0.18410895680184727,0.14232688838201654,0.10159924394904012,0.18407321898758094,0.1839096451453158,1.1,0.1837963043985796,-0.05,0.16741633657115101,0.16484755723431294
C_DIRECT_ROW,far(gap>=7),17410,0.7449809663487132,0.1803169574376305,0.7515907540362841,0.7421344006812258,0.7418305356001327,1.1,0.7437269427308255,0.05,0.5606337897257028,0.5534711314862479
M_SELECTED,all,70750,0.5014269541262518,0.21452848013793607,0.4337617884948469,0.5012890775490246,0.5014269541262518,1.0,0.5014269541262518,0.0,0.4157126133983612,0.4111376315565488
M_SELECTED,adjacent(gap=1),11740,0.1895681207852038,0.14683781764182213,0.10350147327938444,0.18932726364924138,0.1895681207852038,1.0,0.1877898198936268,-0.15,0.17426016989308624,0.17240492396094456
M_SELECTED,far(gap>=7),17410,0.7671390868956391,0.18547779312239593,0.7691557628217265,0.7671390868956391,0.7669573673733586,1.05,0.7671390868956391,0.0,0.5743236378881998,0.5665399153841625
M_PHYSICS_radius+radius_sq,all,70750,0.49792999555684175,0.21370611232135578,0.43011886954595224,0.49792999555684175,0.49792999555684175,1.0,0.49781308069007596,0.05,0.4129201742135752,0.40798334204768977
M_PHYSICS_radius+radius_sq,adjacent(gap=1),11740,0.18845974223300307,0.1445165322317281,0.10343702408223354,0.18845974223300307,0.18845974223300307,1.0,0.18698753757215827,-0.15,0.17089957916998047,0.1692207607677882
M_PHYSICS_radius+radius_sq,far(gap>=7),17410,0.7551409628560621,0.1844955904498576,0.7600372154841706,0.7551409628560621,0.754923858150588,1.05,0.7551409628560621,0.0,0.567580654596507,0.5590555259551686
M_LOWRANK_K2,all,70750,0.49549797750991226,0.21330200510600425,0.42849421124483345,0.49549797750991226,0.4951977064429441,1.05,0.49549797750991226,0.0,0.40559040873453434,0.40061220567646244
M_LOWRANK_K2,adjacent(gap=1),11740,0.18874024784060475,0.14484372223127662,0.10320825063985103,0.18849581288607814,0.18870517480596824,1.05,0.18740530087413765,-0.15,0.17176630074704777,0.17003036969124202
M_LOWRANK_K2,far(gap>=7),17410,0.749545577812569,0.1846618201713086,0.7531919229906077,0.7488550975735397,0.7481161607389948,1.1,0.749545577812569,0.0,0.5524094139333532,0.543684751254222
X_ENS_DIRECT+LOWRANK_K2,all,70750,0.48098083670010805,0.20671427226297925,0.4164952374203083,0.4783855576474392,0.4779240340037284,1.2,0.4799822936616628,0.1,0.39008071456357374,0.3851753201286675
X_ENS_DIRECT+LOWRANK_K2,adjacent(gap=1),11740,0.18222956940646035,0.14077436037595192,0.09946901447002938,0.18173459733401226,0.1812423784967651,1.25,0.1813903690384399,-0.1,0.163866155607226,0.16163800083217814
X_ENS_DIRECT+LOWRANK_K2,far(gap>=7),17410,0.7237326542805599,0.1773173962720549,0.7267578508418066,0.715996192193186,0.7157643058963096,1.25,0.7231007196752038,0.05,0.5246723377228768,0.516550696689938
