arm,subset,gain,macro_mae,pooled_mae,n_pairs
C_DIRECT_ROW,all,0.8,0.5011745330399957,0.5386111142871456,70750
C_DIRECT_ROW,all,0.85,0.4990879814339083,0.5345423855985728,70750
C_DIRECT_ROW,all,0.9,0.49739865638139796,0.5308333886607316,70750
C_DIRECT_ROW,all,0.95,0.49614458523101124,0.5274850098585404,70750
C_DIRECT_ROW,all,1.0,0.49532081290529495,0.5245128768639454,70750
C_DIRECT_ROW,all,1.05,0.4949457643868973,0.5219523375016003,70750
C_DIRECT_ROW,all,1.1,0.49506535721120326,0.5198382956186086,70750
C_DIRECT_ROW,all,1.15,0.49567766086882814,0.5181844119534913,70750
C_DIRECT_ROW,all,1.2,0.49675531934995953,0.5169491279572525,70750
C_DIRECT_ROW,all,1.25,0.49830063994042817,0.5161236114398599,70750
C_DIRECT_ROW,all,1.3,0.5003043872705657,0.5157325986451993,70750
C_DIRECT_ROW,all,1.35,0.5026541535763357,0.5157120086125698,70750
C_DIRECT_ROW,all,1.4,0.505322757676838,0.5160360446735686,70750
C_DIRECT_ROW,all,1.45,0.5083171390241318,0.5167190668572226,70750
C_DIRECT_ROW,all,1.5,0.5115914043287325,0.5177260921464193,70750
C_DIRECT_ROW,all,1.55,0.5151625231033126,0.5190410834739118,70750
C_DIRECT_ROW,all,1.6,0.5190019374904826,0.5206773881466155,70750
C_DIRECT_ROW,all,1.65,0.5231137365221536,0.5226303773839638,70750
C_DIRECT_ROW,all,1.7,0.5274608308238182,0.5248795836986673,70750
C_DIRECT_ROW,all,1.75,0.5320267626104277,0.5274036240637643,70750
C_DIRECT_ROW,all,1.8,0.5368307958320429,0.5302319345862468,70750
C_DIRECT_ROW,all,1.85,0.5418976047055164,0.5333818460808302,70750
C_DIRECT_ROW,all,1.9,0.5472710618268029,0.5368362567402186,70750
C_DIRECT_ROW,all,1.95,0.5529983788074959,0.5406239061150104,70750
C_DIRECT_ROW,all,2.0,0.5590124616990557,0.5447056256444083,70750
C_DIRECT_ROW,adjacent(gap=1),0.8,0.18474935840969864,0.16877664428457412,11740
C_DIRECT_ROW,adjacent(gap=1),0.85,0.1843769714427671,0.1684035777446845,11740
C_DIRECT_ROW,adjacent(gap=1),0.9,0.18414652314777955,0.1681570800125455,11740
C_DIRECT_ROW,adjacent(gap=1),0.95,0.18407321898758094,0.1680250532850336,11740
C_DIRECT_ROW,adjacent(gap=1),1.0,0.18410895680184727,0.16797196484692728,11740
C_DIRECT_ROW,adjacent(gap=1),1.05,0.18424652283453707,0.1679991737360272,11740
C_DIRECT_ROW,adjacent(gap=1),1.1,0.18450086021534148,0.16810771797769233,11740
C_DIRECT_ROW,adjacent(gap=1),1.15,0.18485278475097558,0.1683007838594045,11740
C_DIRECT_ROW,adjacent(gap=1),1.2,0.1852832282091822,0.1685634188159502,11740
C_DIRECT_ROW,adjacent(gap=1),1.25,0.1857873197505589,0.16889310395164556,11740
C_DIRECT_ROW,adjacent(gap=1),1.3,0.18638594300095476,0.16931481652150804,11740
C_DIRECT_ROW,adjacent(gap=1),1.35,0.18706425731391316,0.16983446095552504,11740
C_DIRECT_ROW,adjacent(gap=1),1.4,0.18779838567537852,0.17044372593150275,11740
C_DIRECT_ROW,adjacent(gap=1),1.45,0.18860763899961017,0.1711259939834809,11740
C_DIRECT_ROW,adjacent(gap=1),1.5,0.18948637327544726,0.17186873377018574,11740
C_DIRECT_ROW,adjacent(gap=1),1.55,0.19043595130977528,0.17268325104747223,11740
C_DIRECT_ROW,adjacent(gap=1),1.6,0.1914675922671738,0.1735619131083979,11740
C_DIRECT_ROW,adjacent(gap=1),1.65,0.19258345368551782,0.17450185541107766,11740
C_DIRECT_ROW,adjacent(gap=1),1.7,0.1937781509588902,0.1754995287673198,11740
C_DIRECT_ROW,adjacent(gap=1),1.75,0.19506303184803903,0.17655475288485215,11740
C_DIRECT_ROW,adjacent(gap=1),1.8,0.1964353516755029,0.17767092983133434,11740
C_DIRECT_ROW,adjacent(gap=1),1.85,0.19786598222271204,0.17884367126837294,11740
C_DIRECT_ROW,adjacent(gap=1),1.9,0.19935043252944956,0.18005914678607107,11740
C_DIRECT_ROW,adjacent(gap=1),1.95,0.20087229652818062,0.1813181198809072,11740
C_DIRECT_ROW,adjacent(gap=1),2.0,0.20243608126187707,0.18262954757221653,11740
C_DIRECT_ROW,far(gap>=7),0.8,0.7616269881192753,0.9992893355423202,17410
