regime,split_seed,endpoint,n_rows,n_ligands,n_cells,n_ecfp_clusters,n_chemotype_blocks
unseen_chemotype,104729,all,5248,152,2405,131,79
unseen_chemotype,104729,multi_metal_cells,3364,90,521,77,45
unseen_chemotype,130363,all,5248,152,2405,131,79
unseen_chemotype,130363,multi_metal_cells,3364,90,521,77,45
unseen_chemotype,155921,all,5248,152,2405,131,79
unseen_chemotype,155921,multi_metal_cells,3364,90,521,77,45
unseen_chemotype,196613,all,5248,152,2405,131,79
unseen_chemotype,196613,multi_metal_cells,3364,90,521,77,45
unseen_chemotype,262147,all,5248,152,2405,131,79
unseen_chemotype,262147,multi_metal_cells,3364,90,521,77,45
unseen_ligand,104729,all,5248,152,2405,131,79
unseen_ligand,104729,multi_metal_cells,3364,90,521,77,45
unseen_ligand,130363,all,5248,152,2405,131,79
unseen_ligand,130363,multi_metal_cells,3364,90,521,77,45
unseen_ligand,155921,all,5248,152,2405,131,79
unseen_ligand,155921,multi_metal_cells,3364,90,521,77,45
unseen_ligand,196613,all,5248,152,2405,131,79
unseen_ligand,196613,multi_metal_cells,3364,90,521,77,45
unseen_ligand,262147,all,5248,152,2405,131,79
unseen_ligand,262147,multi_metal_cells,3364,90,521,77,45
unseen_series,104729,all,5248,152,2405,131,79
unseen_series,104729,multi_metal_cells,3364,90,521,77,45
unseen_series,130363,all,5248,152,2405,131,79
unseen_series,130363,multi_metal_cells,3364,90,521,77,45
unseen_series,155921,all,5248,152,2405,131,79
unseen_series,155921,multi_metal_cells,3364,90,521,77,45
unseen_series,196613,all,5248,152,2405,131,79
unseen_series,196613,multi_metal_cells,3364,90,521,77,45
unseen_series,262147,all,5248,152,2405,131,79
unseen_series,262147,multi_metal_cells,3364,90,521,77,45
