regime,split_seed,endpoint,comparison,reference,candidate,statistic,point_delta,ci95_low,ci95_high,p_worse_one_sided,units_improved,units_total,bootstrap_blocks,bootstrap_replicates,block_macro_delta,n_blocks_positive,largest_block_unit_share,cluster_robust_se,cluster_robust_low,cluster_robust_high,cluster_robust_p_two_sided,bca_low,bca_high,bca_z0,bca_acceleration,preregistered,question
unseen_chemotype,104729,all,C1_HIER_RIDGE_vs_MONO_RIDGE,MONO_RIDGE,C1_HIER_RIDGE,mae,0.003103755480583933,-0.0055632476212891715,0.014332020452632674,0.2443511297740452,62,131,79,5000,0.005237681916505397,43,0.21374045801526717,0.004948349051606973,-0.00674765072426492,0.012955161685432787,0.5323399512637521,-0.006521775788776237,0.013439510772149802,-0.01855011304703817,-0.034210972999525545,True,"hypothesis C2: does partial pooling help where the ligand is known, and vanish where it is not?"
unseen_chemotype,104729,all,C1_HIER_RIDGE_vs_MONO_RIDGE,MONO_RIDGE,C1_HIER_RIDGE,offset_mae,0.005289499909141148,-0.005906357827190909,0.021223190411401124,0.19016196760647872,63,131,79,5000,0.009240693838764523,42,0.21374045801526717,0.006606329602562985,-0.007862692015725273,0.018441691834007568,0.4257539376969703,-0.006390353496431259,0.02062673152568892,0.004010615991203968,-0.021081774460442976,True,"hypothesis C2: does partial pooling help where the ligand is known, and vanish where it is not?"
unseen_chemotype,104729,all,C1_HIER_RIDGE_vs_MONO_RIDGE,MONO_RIDGE,C1_HIER_RIDGE,shape_mae,0.0012955788369347309,-3.639260847154609e-05,0.0029848107269003846,0.028794241151769647,60,131,79,5000,0.0014828490808318643,36,0.21374045801526717,0.0007325764607952965,-0.00016286886272002784,0.0027540265365894896,0.08088312638421692,2.1470932038408162e-05,0.0030760399505908773,0.019552946376962338,0.013193151303042727,True,"hypothesis C2: does partial pooling help where the ligand is known, and vanish where it is not?"
unseen_chemotype,104729,all,C2_TWO_STAGE_vs_MONO_ET,MONO_ET,C2_TWO_STAGE,mae,-0.19082739219099779,-0.31098781145970394,-0.04175819026613505,0.9974005198960207,54,131,79,5000,-0.1362280010280509,32,0.21374045801526717,0.07228742760319429,-0.33474060554675444,-0.04691417883524113,0.010013472938708358,-0.34669423382611425,-0.06633059193801101,-0.05718227193180179,-0.09922105572822393,True,hypothesis C3: does the two-stage structure substitute for chemical coverage?
unseen_chemotype,104729,all,C2_TWO_STAGE_vs_MONO_ET,MONO_ET,C2_TWO_STAGE,offset_mae,-0.22421737359641347,-0.3631297046698161,-0.055893955307136284,0.998000399920016,51,131,79,5000,-0.16564459708330673,31,0.21374045801526717,0.08185535138487021,-0.3871788599675333,-0.061255887225293626,0.00762945811986721,-0.39725487617295396,-0.08342504671052714,-0.05668013317416303,-0.09694227808788529,True,hypothesis C3: does the two-stage structure substitute for chemical coverage?
unseen_chemotype,104729,all,C2_TWO_STAGE_vs_MONO_ET,MONO_ET,C2_TWO_STAGE,shape_mae,-0.00012182416294652376,-0.03387818662312979,0.023140909842576475,0.5076984603079384,64,131,79,5000,-0.013227652305560491,34,0.21374045801526717,0.014563048099425765,-0.029114625784651973,0.028870977458758926,0.9933468984538408,-0.029679195508431767,0.02560896630135247,0.012533469508069276,0.06464565015326972,True,hypothesis C3: does the two-stage structure substitute for chemical coverage?
unseen_chemotype,104729,all,C2_TRUECENTRE_vs_MONO_ET,MONO_ET,C2_TRUECENTRE,mae,0.014541673195302461,-0.024635897819139004,0.041750519905873015,0.23635272945410918,72,131,79,5000,-0.010833801615330419,39,0.21374045801526717,0.017406939963133743,-0.020112882207283432,0.04919622859788835,0.4060469145962693,-0.017244669386294535,0.04792830593117678,0.058688775225833746,0.08846516044001823,False,"hypothesis C3, amendment — EXPLORATORY: the variant was chosen after a one-seed preview, so this contrast is exploratory-confirmed at best"
unseen_chemotype,104729,all,C2_TRUECENTRE_vs_MONO_ET,MONO_ET,C2_TRUECENTRE,offset_mae,0.011124980458392535,-0.026896213263803623,0.03781513669694623,0.26354729054189163,70,131,79,5000,-0.00678766112197675,38,0.21374045801526717,0.015838761297993456,-0.020407571045325788,0.04265753196211086,0.48452714032550415,-0.02386437037933664,0.039391591099072684,0.004511946203065805,0.032658928957655556,False,"hypothesis C3, amendment — EXPLORATORY: the variant was chosen after a one-seed preview, so this contrast is exploratory-confirmed at best"
unseen_chemotype,104729,all,C2_TRUECENTRE_vs_MONO_ET,MONO_ET,C2_TRUECENTRE,shape_mae,0.004228299583855213,-0.007819697446346143,0.01269530938528827,0.236752649470106,67,131,79,5000,-0.005084668251223632,41,0.21374045801526717,0.005088565725040994,-0.005902256574298287,0.014358855742008712,0.4085431536312618,-0.006849721218907655,0.013440768597826905,0.009023984261129213,0.04139184272638809,False,"hypothesis C3, amendment — EXPLORATORY: the variant was chosen after a one-seed preview, so this contrast is exploratory-confirmed at best"
unseen_chemotype,104729,all,C3_SHARED_RIDGE_vs_C1_HIER_RIDGE,C1_HIER_RIDGE,C3_SHARED_RIDGE,mae,-0.0014820988314467433,-0.012095063717466038,0.007218527363313841,0.6214757048590281,69,131,79,5000,-0.00026542273354475626,40,0.21374045801526717,0.004710707869175492,-0.010860397784822937,0.007896200121929452,0.7538876884274204,-0.012956832803413355,0.006786226281988206,-0.01704589771498915,-0.021626084749558995,False,descriptive: what does stacking the pair-difference rows cost the level fit?
