block,target,design,estimator,n_cells,spearman,partial_spearman_given_n_metals,loco_spearman_min,loco_spearman_max,sd_pred,sd_true
molformer__mean,log_abs_a,BP,ridge@10,289,0.2482469982245749,0.25536830870736354,0.1603279867852842,0.5337000572983756,0.45088466649358855,0.9250498603066324
molformer__mean,log_abs_a,BP,ridge@100,289,0.22767883847050663,0.2539072699385978,0.13776331720361462,0.43662792858420035,0.33059338000655747,0.9250498603066324
molformer__mean,log_abs_a,BP,ridge@1000,289,0.17211788612464388,0.22980972722187396,0.06813017330645536,0.3398617219516109,0.2610355995922635,0.9250498603066324
molformer__mean,log_abs_a,BP,ridge@10000,289,0.20129370270586383,0.24180135506646655,0.1037290604902168,0.45216352693629913,0.19270282394284308,0.9250498603066324
molformer__mean,log_abs_a,BP,cosine@0.1,289,0.1792915410507494,0.1753299387720642,0.08495985258121623,0.4879049498524172,0.3631064423289419,0.9250498603066324
molformer__mean,log_abs_a,BP,cosine@1,289,0.1652759271268978,0.17304173709296447,0.06293388172697124,0.4425713464228908,0.28081820492265064,0.9250498603066324
molformer__mean,log_abs_a,BP,cosine@10,289,0.16983818989835212,0.20147877118756866,0.07801238544082703,0.37397954966779423,0.1728357512412066,0.9250498603066324
molformer__mean,log_abs_a,BP,rbf@0.1,289,0.17188311536927664,0.14448911834005565,0.09726597684502965,0.3402339018912633,0.19867393950324772,0.9250498603066324
molformer__mean,log_abs_a,BP,rbf@1,289,0.1303161065641021,0.1602166580874847,0.04288372937988531,0.30587523424876595,0.14176920224076475,0.9250498603066324
molformer__mean,log_abs_a,BP,rbf@10,289,-0.0905891802586312,-0.08559317844835522,-0.20194681210765755,0.22791600181776714,0.10574534869257535,0.9250498603066324
