design,model,n_units,n_chemotypes,macro_accuracy,ci_low,ci_high,pooled_accuracy,seconds,gain,gain_lo,gain_hi,p_two_sided,units_better,units_worse
B,TOPO39,82,40,0.8400158378207159,0.7370347707847706,0.9153351758289298,0.7937716262975778,1.2,,,,,,
B,chemberta_mtr__cls,82,40,0.6791584837926301,0.4877029142650612,0.8055130120598246,0.6588235294117647,2.1,-0.16085735402808574,-0.3560661617367275,-0.035141383460775985,0.0044,4.0,21.0
B,molformer__mean,82,40,0.6567638053003907,0.5434477136771504,0.7556684491978608,0.6581314878892733,3.2,-0.1832520325203252,-0.29447096631205677,-0.08147420634920646,0.0002,9.0,30.0
B,chemberta_mlm__mean,82,40,0.6456921127652836,0.5728191073571642,0.7536748844375962,0.5965397923875433,2.0,-0.19432372505543238,-0.2697599721706864,-0.07132511556240374,0.0016,9.0,31.0
B,chemberta_mtr__mean,82,40,0.6261799176433323,0.4711853866261911,0.7458143398268399,0.5155709342560554,1.9,-0.2138359201773836,-0.3739167325428195,-0.09259206349206349,0.0,3.0,28.0
B,morgan2,82,40,0.6188628444726005,0.48316802351876975,0.7456748917748918,0.6089965397923875,1.7,-0.22115299334811528,-0.37993219532992256,-0.06156238498343762,0.011,8.0,33.0
B,molformer__cls,82,40,0.5828983211910042,0.4852764563335215,0.7159139883685338,0.5633217993079584,3.1,-0.2571175166297117,-0.36455892867677414,-0.1109376684636119,0.0002,7.0,38.0
B,morgan3,82,40,0.5652043078872347,0.42389544951172864,0.6822939943521653,0.5633217993079584,2.2,-0.2748115299334812,-0.4250113636363636,-0.14224355858045704,0.0,4.0,31.0
B,chemberta_mlm__cls,82,40,0.4759698025551684,0.38269652851496333,0.62314639905549,0.43737024221453286,2.2,-0.36404603526554746,-0.4799453143681715,-0.17943808624859903,0.0,9.0,45.0
B,MAJORITY,82,40,0.34778904022806467,0.2386962481962482,0.5213798840330282,0.26782006920415224,1.0,-0.49222679759265126,-0.6231806989374264,-0.27581550802139043,0.0,9.0,65.0
BR,TOPO39,82,40,0.8346499841621794,0.7295702212547179,0.9104255411255412,0.797923875432526,1.2,,,,,,
BR,chemberta_mtr__cls,82,40,0.668426776475557,0.49252885094095405,0.7853032261389402,0.6449826989619377,2.0,-0.16622320768662233,-0.3493131507381508,-0.043295885023284984,0.0046,7.0,26.0
BR,molformer__mean,82,40,0.6525952908879737,0.5499956140350878,0.749116404133501,0.6339100346020762,3.3,-0.18205469327420548,-0.2837339060939061,-0.0734759665621735,0.001,8.0,31.0
BR,chemberta_mlm__mean,82,40,0.647318129025446,0.5754250720120049,0.7531993320299771,0.6214532871972318,1.6,-0.1873318551367332,-0.26710861385473356,-0.05575757575757576,0.0036,10.0,35.0
BR,chemberta_mtr__mean,82,40,0.6199714919227114,0.4607229629087003,0.734569673531968,0.528719723183391,1.9,-0.21467849223946783,-0.38228515535097807,-0.0921472620946306,0.0,6.0,31.0
