block,target,design,estimator,n_cells,spearman,partial_spearman_given_n_metals,loco_spearman_min,loco_spearman_max,sd_pred,sd_true
size4,log_abs_a,B,ridge,289,0.1264096609829463,0.09604191597752161,0.03882895404913565,0.5113355350418393,0.35031806471469157,0.9250498603066324
size4,log_abs_a,BP,ridge,289,0.11069992986437895,-0.002108153188092188,0.020941563547748236,0.44552631787165753,0.2557578455515134,0.9250498603066324
TOPO39,log_abs_a,B,ridge,289,-0.04475795604844631,-0.11945198991857878,-0.12535472962977098,0.05052525389462079,0.22250045894368617,0.9250498603066324
TOPO39,log_abs_a,BP,ridge,289,0.08706666206992059,0.030542349891292512,-0.10206433148602559,0.19123389441823202,0.23920503409088142,0.9250498603066324
LEAN209,log_abs_a,B,ridge,289,0.01639215581317678,0.013562234628371313,-0.06428947275496152,0.14113605221048664,0.5716630647365588,0.9250498603066324
LEAN209,log_abs_a,BP,ridge,289,-0.11909109019978005,-0.16831262635784985,-0.17719654466944043,0.1354001225183429,0.37431104842018925,0.9250498603066324
molformer__mean,log_abs_a,B,ridge,289,0.3732266599703447,0.3993363234432888,0.30108433815216207,0.5616331197411533,0.3793015816879152,0.9250498603066324
molformer__mean,log_abs_a,BP,ridge,289,0.22767883847050663,0.2539072699385978,0.13776331720361462,0.43662792858420035,0.33059338000655747,0.9250498603066324
chemberta_mtr__mean,log_abs_a,B,ridge,289,0.10618104828950752,0.054611928861217574,0.016399994006612184,0.41713838824557115,0.4981363302045196,0.9250498603066324
chemberta_mtr__mean,log_abs_a,BP,ridge,289,-0.03337727041339218,-0.12393007225669249,-0.13562499790025195,0.014922594928781412,0.34584135952063194,0.9250498603066324
morgan2,log_abs_a,B,ridge,289,0.12799083627933414,0.05599578608782732,0.05388394258866259,0.2349313370165992,0.28003072286695996,0.9250498603066324
morgan2,log_abs_a,BP,ridge,289,-0.059369598098228074,-0.12825987295174543,-0.1776326212927999,0.03492759038590203,0.22395742553105677,0.9250498603066324
