comparison,arm_scored,support_design,value,reference,candidate,point,ci95_low,ci95_high,bca_low,bca_high,p_two_sided,bootstrap_se,mde_80,block_macro,n_units,units_improved,seeds_positive,n_seeds,loco_min,loco_max,loco_sign_stable,margin,passes_intervals,passes_P1
B1_MEAN_CURVE|random|vs_zero_shot,B1_MEAN_CURVE,random,mae_all,zero_shot,conditional,0.1751734393536111,0.09751147597442761,0.22528754517772728,0.10846292594774169,0.2300880728518313,0.0,0.03242606239438338,0.09079297470427346,0.14981806520121405,89,83,5,5,0.14492581305479701,0.19168748088022028,True,0.02,True,True
B1_MEAN_CURVE|random|vs_rescale,B1_MEAN_CURVE,random,mae_all,rescale,conditional,0.13096836153650215,0.046763345189726226,0.189596353250499,0.06587457632524464,0.20454524891502146,0.0005,0.03707156044853626,0.10380036925590153,0.09610275826345961,89,80,5,5,0.08898949690353901,0.14780106852852193,True,0.02,True,True
B1_MEAN_CURVE|random|vs_no_model_linear,B1_MEAN_CURVE,random,mae_all,no_model_linear,conditional,0.03315664437218693,-0.020891294432683824,0.11784653082847348,-0.025610235146014283,0.11120694054942531,0.273,0.03621165330984958,0.10139262926757882,0.05734484972128897,89,41,4,5,0.015001594015767072,0.06420563435209958,True,0.02,False,False
B1_MEAN_CURVE|widest|vs_zero_shot,B1_MEAN_CURVE,widest,mae_all,zero_shot,conditional,0.3310904945807568,0.23117482602052103,0.40630472098865794,0.24947560558164858,0.4215480455414678,0.0,0.045240714547841065,0.126674000733955,0.3125582439390091,89,86,5,5,0.2851926584661211,0.35095349542892035,True,0.02,True,True
B1_MEAN_CURVE|widest|vs_rescale,B1_MEAN_CURVE,widest,mae_all,rescale,conditional,0.2295627712839733,0.12007743430060817,0.31964820515967945,0.14122428431551337,0.34859693380649037,0.0,0.05437161024984086,0.15224050869955438,0.1917273979249538,89,83,5,5,0.1617671180297118,0.24554664888234928,True,0.02,True,True
B1_MEAN_CURVE|widest|vs_no_model_linear,B1_MEAN_CURVE,widest,mae_all,no_model_linear,conditional,-0.005874756040201387,-0.02410726836065875,0.013844826326762026,-0.025100342542642238,0.012915636550717927,0.5445,0.00936855117514522,0.026231943290406616,-0.0059185869318014415,89,41,0,5,-0.010564386437021595,-0.0014208459021097376,True,0.02,False,False
C_DIRECT_ROW|random|vs_zero_shot,C_DIRECT_ROW,random,mae_all,zero_shot,conditional,0.14285564579737517,0.08532689526865748,0.1781874227544328,0.09287860444138958,0.18230963726571928,0.0,0.02407354937082638,0.06740593823831385,0.11390285256737812,89,81,5,5,0.12069982747532805,0.15657121349758094,True,0.02,True,True
C_DIRECT_ROW|random|vs_rescale,C_DIRECT_ROW,random,mae_all,rescale,conditional,0.08230424844092925,0.031369263545733404,0.11278061920359936,0.03731825868146574,0.11566962475624579,0.003,0.021304468592582983,0.059652512059232346,0.05486511110398435,89,82,5,5,0.06262600526619955,0.09546086764412949,True,0.02,True,True
C_DIRECT_ROW|random|vs_no_model_linear,C_DIRECT_ROW,random,mae_all,no_model_linear,conditional,0.07194714264005028,0.026731967330968637,0.143884895501758,0.026532737487414304,0.14372837605474176,0.001,0.03024924427637225,0.0846978839738423,0.09281974416704773,89,58,5,5,0.05397146506057438,0.09213122147737712,True,0.02,True,True
C_DIRECT_ROW|widest|vs_zero_shot,C_DIRECT_ROW,widest,mae_all,zero_shot,conditional,0.27461100305119074,0.2079985747491127,0.3231495232869072,0.22063466383893812,0.3362553744617984,0.0,0.0294928870989516,0.08258008387706448,0.2582545713051758,89,86,5,5,0.24712742232333504,0.2808634561430402,True,0.02,True,True
C_DIRECT_ROW|widest|vs_rescale,C_DIRECT_ROW,widest,mae_all,rescale,conditional,0.13538744801453392,0.09275979405255123,0.16562327282680986,0.09866441771394004,0.17353698354543795,0.0,0.018988829134625778,0.053168721576952176,0.12213047651885602,89,82,5,5,0.11946085407834565,0.13972016019355937,True,0.02,True,True
