design,order,budget,macro_mae,n_draws,n_flat_fallbacks
BR,AOPT_R,6,0.5366607610339551,1,0
BR,BIGGEST,6,0.5614669888752254,1,0
BR,RANDCM,6,0.5477692552279416,6,2
BR,RANDOM,6,0.6004251494837284,6,36
BR,AOPT_R,9,0.5441358018835689,1,0
BR,BIGGEST,9,0.5162171741282435,1,0
BR,RANDCM,9,0.5243067734788898,6,0
BR,RANDOM,9,0.5665454307913567,6,6
BR,AOPT_R,12,0.5157441309072102,1,0
BR,BIGGEST,12,0.5407336175232824,1,0
BR,RANDCM,12,0.5196690563973272,6,0
BR,RANDOM,12,0.544169705195376,6,0
BR,AOPT_R,16,0.540741981465611,1,0
BR,BIGGEST,16,0.5202689730316761,1,0
BR,RANDCM,16,0.5063717322208727,6,0
BR,RANDOM,16,0.5293847635430561,6,0
BR,AOPT_R,20,0.5026383295816816,1,0
BR,BIGGEST,20,0.5022876415806123,1,0
BR,RANDCM,20,0.49571495154459244,6,0
BR,RANDOM,20,0.5091976529323478,6,0
BR,AOPT_R,24,0.4910193918581009,1,0
BR,BIGGEST,24,0.5057752583486065,1,0
BR,RANDCM,24,0.4943881180985279,6,0
BR,RANDOM,24,0.49810237832504994,6,0
BQ,AOPT_R,6,0.589092075161937,1,0
BQ,BIGGEST,6,0.5741680445788491,1,0
BQ,RANDCM,6,0.5570151375181182,6,2
BQ,RANDOM,6,0.5929834995331618,6,38
BQ,AOPT_R,9,0.5654876662973687,1,0
BQ,BIGGEST,9,0.5378297835766406,1,0
BQ,RANDCM,9,0.5437828392334678,6,0
BQ,RANDOM,9,0.5981733841239841,6,6
BQ,AOPT_R,12,0.5823756273601035,1,0
BQ,BIGGEST,12,0.5364572756220471,1,0
BQ,RANDCM,12,0.538324399513999,6,0
BQ,RANDOM,12,0.571148839761185,6,0
BQ,AOPT_R,16,0.5459018177599093,1,0
BQ,BIGGEST,16,0.5092701175620855,1,0
BQ,RANDCM,16,0.5134206698901239,6,0
BQ,RANDOM,16,0.5340402665388562,6,0
BQ,AOPT_R,20,0.5149549715472855,1,0
BQ,BIGGEST,20,0.4946269650256861,1,0
BQ,RANDCM,20,0.5044275124640897,6,0
BQ,RANDOM,20,0.5190720327506172,6,0
BQ,AOPT_R,24,0.5249174085862844,1,0
BQ,BIGGEST,24,0.5106304289515016,1,0
BQ,RANDCM,24,0.4974777648574859,6,0
BQ,RANDOM,24,0.5069053717626039,6,0
A,AOPT_R,6,0.5331601766296297,1,0
A,BIGGEST,6,0.5635218462688438,1,0
A,RANDCM,6,0.5199426416883643,6,0
A,RANDOM,6,0.5942383518044688,6,34
A,AOPT_R,9,0.5099452557538489,1,0
A,BIGGEST,9,0.51306035068115,1,0
A,RANDCM,9,0.5168291819992233,6,0
A,RANDOM,9,0.5788932841875001,6,7
A,AOPT_R,12,0.5112670907813028,1,0
A,BIGGEST,12,0.5089430218020453,1,0
A,RANDCM,12,0.514635429501837,6,0
A,RANDOM,12,0.552199565552157,6,0
A,AOPT_R,16,0.5061413295443493,1,0
A,BIGGEST,16,0.5205613674297763,1,0
A,RANDCM,16,0.5080847996472625,6,0
A,RANDOM,16,0.5290843686547659,6,0
A,AOPT_R,20,0.4938201384178858,1,0
A,BIGGEST,20,0.5066489425248696,1,0
A,RANDCM,20,0.49935448096705554,6,0
A,RANDOM,20,0.5148819540569962,6,0
A,AOPT_R,24,0.4987050358149242,1,0
A,BIGGEST,24,0.5112194962378607,1,0
A,RANDCM,24,0.49682101429437003,6,0
A,RANDOM,24,0.5065306562857957,6,0
