comparison,value,reference,candidate,point,ci95_low,ci95_high,bca_low,bca_high,p_two_sided,bootstrap_se,mde_80,block_macro,n_units,units_improved,seeds_positive,n_seeds,loco_min,loco_max,loco_sign_stable,margin,passes_intervals,passes_P1,design,endpoint
AOPTR_vs_RANDOM,mae_all,RANDOM,AOPT_R,0.06279524954891563,0.03495522521404885,0.08214153444736172,0.04147085813117603,0.08877980006496189,0.0,0.012586151734609488,0.03524122485690656,0.04939653171935319,90,75,5,5,0.04819879360949522,0.06529787549023866,True,0.02,True,True,BP,ABC_mae_all
AOPTALL_vs_RANDOM,mae_all,RANDOM,AOPT_ALL,0.03236512274584188,0.019804191558323622,0.04282099842799128,0.01954448155338872,0.04268252966862447,0.0,0.005827959247278788,0.016318285892380605,0.03359537717795869,90,71,5,5,0.030412073823375917,0.033993280950124063,True,0.02,True,True,BP,ABC_mae_all
BIGGEST_vs_RANDOM,mae_all,RANDOM,BIGGEST,0.057037223702197624,0.026130582067084192,0.07786145675858609,0.03330364523982194,0.08366713281674698,0.0,0.013635764423271258,0.038180140385159524,0.04630568615600965,90,74,5,5,0.0418883945172943,0.06087997887801833,True,0.02,True,True,BP,ABC_mae_all
DGAFIRST_vs_RANDOM,mae_all,RANDOM,DGAFIRST,0.011101162739332336,0.001229150097718387,0.02163505705423914,0.003075076155536235,0.024859020894295713,0.0274,0.005149385963804475,0.014418280698652529,0.010312207703287357,90,52,3,5,0.007227678263231315,0.012244749316113013,True,0.02,True,False,BP,ABC_mae_all
AOPTR_vs_BIGGEST,mae_all,BIGGEST,AOPT_R,0.005758025846718024,-0.0038450121260066436,0.018035970995047754,-0.0019062846745027313,0.022119890067677492,0.2434,0.005442356132312883,0.01523859717047607,0.0030908455633435416,90,50,4,5,0.0017917672346383549,0.006959839860873865,True,0.02,False,False,BP,ABC_mae_all
AOPTR_vs_DGAFIRST,mae_all,DGAFIRST,AOPT_R,0.05169408680958331,0.025805842695145312,0.0717194959887672,0.03136556220099727,0.0793652685997898,0.0,0.012490331309409188,0.03497292766634572,0.039084324016065826,90,76,5,5,0.036594357543514595,0.05406222818221067,True,0.02,True,True,BP,ABC_mae_all
AOPTR_vs_RANDCM,mae_all,RANDCM,AOPT_R,0.01731582577994352,-0.0030386723402279904,0.03448205074114166,0.0006433815890769913,0.041813383503945534,0.1492,0.010592994383053115,0.02966038427254872,0.00608291722494985,90,61,5,5,0.0036305505567312954,0.019788107690079847,True,0.02,False,False,BP,ABC_mae_all
BIGGEST_vs_RANDCM,mae_all,RANDCM,BIGGEST,0.011557799933225494,-0.012638230152441376,0.02992785881932331,-0.007433614789661718,0.037427231672643654,0.4904,0.01165128953833141,0.032623610707327944,0.0029920716616063077,90,57,4,5,-0.0026798485354696255,0.015323006329552418,False,0.02,False,False,BP,ABC_mae_all
RANDCM_vs_RANDOM,mae_all,RANDOM,RANDCM,0.04547942376897212,0.031572296457240356,0.057666938480805424,0.03329914758534614,0.059251742756094926,0.0,0.00647910033962818,0.018141480950958903,0.043313614494403345,90,79,5,5,0.04132393137556815,0.04741739707421739,True,0.02,True,True,BP,ABC_mae_all
AOPTR_vs_RANDOM,mae_all,RANDOM,AOPT_R,0.04819879360949522,0.03119204685407646,0.06362673369707643,0.031239800214803687,0.06371273105337873,0.0,0.0083333320139828,0.02333332963915184,0.04812564925095289,67,54,5,5,0.04444521301554432,0.05113784239345806,True,0.02,True,True,BP,ABC_mae_all_noDGAscored
