design,unit,comparison,value,reference,candidate,point,ci95_low,ci95_high,bca_low,bca_high,p_two_sided,bootstrap_se,mde_80,block_macro,n_units,units_improved,seeds_positive,n_seeds,loco_min,loco_max,loco_sign_stable,margin,passes_intervals,passes_P1
BP,extractant,AOPTR_vs_RANDOM,mae_all,RANDOM,AOPT_R,0.06279524954891563,0.03495522521404885,0.08214153444736172,0.04147085813117603,0.08877980006496189,0.0,0.012586151734609488,0.03524122485690656,0.04939653171935319,90,75,5,5,0.04819879360949522,0.06529787549023866,True,0.02,True,True
BP,extractant,BIGGEST_vs_RANDOM,mae_all,RANDOM,BIGGEST,0.057037223702197624,0.026130582067084192,0.07786145675858609,0.03330364523982194,0.08366713281674698,0.0,0.013635764423271258,0.038180140385159524,0.04630568615600965,90,74,5,5,0.0418883945172943,0.06087997887801833,True,0.02,True,True
BP,extractant,AOPTR_vs_BIGGEST,mae_all,BIGGEST,AOPT_R,0.005758025846718024,-0.0038450121260066436,0.018035970995047754,-0.0019062846745027313,0.022119890067677492,0.2434,0.005442356132312883,0.01523859717047607,0.0030908455633435416,90,50,4,5,0.0017917672346383549,0.006959839860873865,True,0.02,False,False
BP,extractant,AOPTR_vs_RANDCM,mae_all,RANDCM,AOPT_R,0.01731582577994352,-0.0030386723402279904,0.03448205074114166,0.0006433815890769913,0.041813383503945534,0.1492,0.010592994383053115,0.02966038427254872,0.00608291722494985,90,61,5,5,0.0036305505567312954,0.019788107690079847,True,0.02,False,False
BP,extractant,RANDCM_vs_RANDOM,mae_all,RANDOM,RANDCM,0.04547942376897212,0.031572296457240356,0.057666938480805424,0.03329914758534614,0.059251742756094926,0.0,0.00647910033962818,0.018141480950958903,0.043313614494403345,90,79,5,5,0.04132393137556815,0.04741739707421739,True,0.02,True,True
BP,chemotype,AOPTR_vs_RANDOM,mae_all,RANDOM,AOPT_R,0.04939653171935318,0.029387893257649837,0.06803577159379198,0.028357975641053294,0.06742410719639055,0.0,0.009779434737055039,0.027382417263754105,0.04939653171935318,45,36,5,5,0.045709322086068545,0.053708660566444834,True,0.02,True,True
BP,chemotype,BIGGEST_vs_RANDOM,mae_all,RANDOM,BIGGEST,0.04630568615600967,0.026512327164795225,0.06423580964855446,0.025170475629632028,0.06334653671831145,0.0,0.009628059672053728,0.02695856708175044,0.04630568615600967,45,36,5,5,0.04391910577715329,0.049904542751235195,True,0.02,True,True
BP,chemotype,AOPTR_vs_BIGGEST,mae_all,BIGGEST,AOPT_R,0.003090845563343531,-0.008755595848089544,0.016566930642529728,-0.007564397836151115,0.018672138284319066,0.637,0.006426759588325631,0.017994926847311767,0.003090845563343531,45,23,3,5,-0.0009360307824491862,0.004834475746595582,False,0.02,False,False
BP,chemotype,AOPTR_vs_RANDCM,mae_all,RANDCM,AOPT_R,0.00608291722494984,-0.005166499343882604,0.016216191666809116,-0.006449722648979257,0.015327161552338967,0.266,0.005465679219720855,0.015303901815218394,0.00608291722494984,45,29,4,5,0.0047826436578197054,0.009042960453949575,True,0.02,False,False
BP,chemotype,RANDCM_vs_RANDOM,mae_all,RANDOM,RANDCM,0.043313614494403345,0.028847814467717364,0.0569406679040197,0.028483878041119147,0.056718245331339893,0.0,0.007176185517888525,0.020093319450087868,0.043313614494403345,45,38,5,5,0.04055688523795857,0.04608312891513233,True,0.02,True,True
