design,order,budget,macro_mae,n_draws,n_flat_fallbacks
BP,AOPT_ALL,6,0.6564485651519945,1,0
BP,AOPT_R,6,0.5697893667771213,1,0
BP,BIGGEST,6,0.570282144166369,1,0
BP,DGAFIRST,6,0.6365255806697817,6,0
BP,RANDCM,6,0.5720561308447479,6,0
BP,RANDOM,6,0.6402416387070344,6,36
BP,AOPT_ALL,9,0.5953433352794141,1,0
BP,AOPT_R,9,0.5229821977582275,1,0
BP,BIGGEST,9,0.5276336328634543,1,0
BP,DGAFIRST,9,0.6020429430312716,6,0
BP,RANDCM,9,0.5631837329207273,6,0
BP,RANDOM,9,0.6270669767964329,6,3
BP,AOPT_ALL,12,0.5328465715234804,1,0
BP,AOPT_R,12,0.5089522778258624,1,0
BP,BIGGEST,12,0.5102361049134106,1,0
BP,DGAFIRST,12,0.5786261076534062,6,0
BP,RANDCM,12,0.5381593129230281,6,0
BP,RANDOM,12,0.597347931848221,6,0
BP,AOPT_ALL,16,0.5085924417722815,1,0
BP,AOPT_R,16,0.49231860818305995,1,0
BP,BIGGEST,16,0.5108641062842049,1,0
BP,DGAFIRST,16,0.5484427746824266,6,0
BP,RANDCM,16,0.5188202588316427,6,0
BP,RANDOM,16,0.5632555766851978,6,0
BP,AOPT_ALL,20,0.49683090463777557,1,0
BP,AOPT_R,20,0.5033477155391515,1,0
BP,BIGGEST,20,0.5068903042072332,1,0
BP,DGAFIRST,20,0.5331616488329004,6,0
BP,RANDCM,20,0.5069799797085557,6,0
BP,RANDOM,20,0.5364613589761019,6,0
BP,AOPT_ALL,24,0.4924754310152153,1,0
BP,AOPT_R,24,0.5025663224782961,1,0
BP,BIGGEST,24,0.5085983512073546,1,0
BP,DGAFIRST,24,0.5113219545494321,6,0
BP,RANDCM,24,0.504652028012678,6,0
BP,RANDOM,24,0.5123545028422245,6,0
